isbn13	date	publisher	series	volume	title	kana	creators	creators_roled
9784575420135	2024.11	双葉社	モンスターコミックス	2	S級パーティーから追放された狩人、実は世界最強 : 射程9999の男、帝国の狙撃手として無双する. 2	エスキュウパーティーカラツイホウサレタカリウドジツワセカイサイキョウ:シャテイキ	カズミヤ, アキラ/茨木野, 1991-	カズミヤアキラ:漫画/茨木野:原作/へいろー:キャラクター原案
9784046841063	2024.11	KADOKAWA			SCP財団コミックアノマリー = SCP FOUNDATION COMIC ANOMALY	エスシーピーザイダンコミックアノマリー	安曇, 祈	アヅミイノリ:著/SCP財団:原作
9784824010032	2024.11	オーバーラップ	ガルドコミックス	9	Sランク冒険者である俺の娘たちは重度のファザコンでした. 9	エスランクボウケンシャデアルオレノムスメタチワジュウドノファザコンデシタ	友橋, かめつ/しゅにち	友橋かめつ:原作/しゅにち:漫画/希望つばめ 原作イラスト:
9784065372074	2024.11	講談社	BE・LOVE KC	3	エネ夫デスゲーム : 奈落の底の夫婦たち. 3	エネオデスゲーム:ナラクノソコノフウフタチ	六反, りょう/最上, 蛍	六反りょう:原作/最上蛍:作画
9784779651038	2024.11	三栄	サンエイムック		MF GHOST&amp;頭文字D&amp;バリバリ伝説大解剖 : 完全保存版	エムエフゴーストアンドイニシャルディーアンドバリバリデンセツダイカイボウ:カンゼ		
9784596717412	2024.11	ハーパーコリンズ・ジャパン	marmalade comics	1	エリート外交官の狡猾な求婚 : 仮面夫婦のはずが、予想外の激情で堕とされました. 1	エリートガイコウカンノコウカツナキュウコン:カメンフウフノハズガヨソウガイノゲキ	汐宮, ゆき/伊月, ジュイ	汐宮ゆき:著/伊月ジュイ:原作
9784757595057	2024.11	スクウェア・エニックス	ガンガンコミックスup!	11	エリスの聖杯. 11	エリスノセイハイ	常磐, くじら/桃山, ひなせ	常磐くじら:原作/桃山ひなせ:漫画
9784868120070	2024.11	ワニマガジン社	WANIMAGAZINE COMICS SPEC		えろいろまん	エロイロマン	エロ井ロエ 著	エロ井ロエ:著
9784832204577	2024.11	芳文社	芳文社コミックス	4	Angelの翼. 4	エンジェルノツバサ	千葉, 潔和, 1961-	千葉きよかず:
9784098536856	2024.11	小学館	サンデーうぇぶり少年サンデーコミックス	5	厭談夜話. 5	エンダンヨバナシ	夜馬裕/外本, 健生	夜馬裕 怪談:/外本ケンセイ:漫画
9784098045563	2024.11	小学館	My first big	たっぷり栄養を蓄えた海のミルク!牡蠣編	美味しんぼ : 名品集. たっぷり栄養を蓄えた海のミルク!牡蠣編	オイシンボ:メイヒンシュウ	雁屋, 哲, 1941-/花咲, アキラ, 1956-	雁屋哲:作/花咲アキラ:画
9784434348471	2024.11	アルファポリス	アルファポリスCOMICS	9	追い出された万能職に新しい人生が始まりました. 9	オイダサレタバンノウショクニアタラシイジンセイガハジマリマシタ	東堂, 大稀/宇崎, 鷹丸	東堂大稀:原作/宇崎鷹丸:漫画/らむ屋:キャラクター原案
