title	vol	version	special_isbn	normal_isbn	conf	normal_title
カーニヴァル	17	特装版	9784758031783		none	
カーニヴァル	18	特装版	9784758032346		none	
カーニヴァル	19	特装版	9784758032704		none	
カーニヴァル	20	特装版	9784758033176		none	
風光る	45	一色扉絵集つき特装版	9784099430795	9784098712991	high	風光る（45）
鍵盤の上のカレス	1	初回限定版	9784862529442		none	
奇異太郎少年の妖怪絵日記	9	ドラマCD付限定版	9784896376067	9784896376050	high	奇異太郎少年の妖怪絵日記（9）
君と綴るうたかた	6	初回限定版	9784758026604	9784758028301	high	君と綴るうたかた（6）
金田一37歳の事件簿	5	特装版	9784065173336	9784065173343	high	金田一37歳の事件簿（5）
きのう何食べた?	19	特装版	9784065258200		none	
きのう何食べた?	20	特装版	9784065296141		none	
きのう何食べた?	22	特装版	9784065335376		none	
寄宿学校のジュリエット	11	特装版	9784065146897		none	
寄宿学校のジュリエット	16	特装版	9784065176320		none	
北山くんと南谷くん	3	小冊子付き特別版	9784781623191		none	
傷モノの花嫁	4	小冊子付き特装版	9784065360347	9784065360330	high	傷モノの花嫁（4）
恋と弾丸	8	特装版	9784099430887	9784098713196	high	恋と弾丸（8）
恋と弾丸	12	特装版	9784099431204	9784098718412	high	恋と弾丸（12）
恋と嘘	8	限定版	9784063970371		none	
恋と嘘	9	特装版	9784065170359		none	
恋と嘘	10	特装版	9784065188804		none	
恋と嘘	11	特装版	9784065216705		none	
恋と呼ぶには気持ち悪い	4	特装版	9784758015851		none	
恋する暴君	6	限定版	9784877241988		none	
このはな綺譚	15	[メロンブックス限定版]	9784344851993		none	
これはゾンビですか?	6	ブルーレイ付き限定版	9784047128064		none	
くまのむちゃうま日記	1	つくるか…オリジナルむちゃうま手帖付き特装版	9784065282878	9784065282861	high	くまのむちゃうま日記（1）
組長娘と世話係	6	イラストBOOK付限定版	9784867161661		none	
組長娘と世話係	10	特製描きおろし小冊子&ブロマイドセット付限定版	9784867164440		none	
組長娘と世話係	12	描き下ろし小冊子付限定版	9784867166031		none	
黒い吹雪	1	限定復刻版	9784883793075		none	
黒崎くんの言いなりになんてならない	19	特装版	9784065260395		none	
薬屋のひとりごと	18	オリジナル描き下ろし扇子付き特装版	9784099431501	9784091578174	high	薬屋のひとりごと〜猫猫の後宮謎解き手帳〜（18）
空挺ドラゴンズ	6	特装版	9784065155301	9784065155271	high	空挺ドラゴンズ（6）
巨人族の花嫁	1	ドラマCD付特装版	9784434268403		none	
巨人族の花嫁	3	[特装版]	9784434285875		none	
虚構推理	15	ミニカラー画集付き特装版	9784065226230		none	
虚構推理	20	SDアクリルジオラマ&番外編小冊子付き特装版	9784065339992		none	
Landreaall	19	限定版	9784758056649	9784758056632	high	Landreaall（19）
Landreaall	20	限定版	9784758057172	9784758057165	high	Landreaall（20）
Landreaall	21	限定版	9784758057707	9784758057691	high	Landreaall（21）
Landreaall	22	限定版	9784758058230		none	
Landreaall	23	限定版	9784758058766	9784758058759	high	Landreaall（23）
Landreaall	24	限定版	9784758059206	9784758059190	high	Landreaall（24）
Landreaall	25	限定版	9784758059770		none	
Landreaall	27	特装版	9784758031646		none	
Landreaall	28	特装版	9784758032070		none	
Landreaall	29	限定版	9784758032476	9784758032469	high	Landreaall（29）
Landreaall	30	特装版	9784758033138	9784758033121	high	Landreaall（30）
ロンリーガールに逆らえない	6	初回限定版	9784758024808	9784758026994	high	ロンリーガールに逆らえない(6)
ろんぐらいだぁす!短編集	1	特装版	9784048995412	9784048994521	med	ろんぐらいだぁす！（1） 新装版
ろんぐらいだぁす!	3	限定版	9784758064477	9784048994569	high	ろんぐらいだぁす！（3） 新装版
ろんぐらいだぁす!	4	特装版	9784758064842	9784048994583	high	ろんぐらいだぁす！（4） 新装版
ろんぐらいだぁす!	5	特装版	9784758065078	9784048994613	high	ろんぐらいだぁす！（5） 新装版
ろんぐらいだぁす!	7	特装版	9784758065979	9784048994682	high	ろんぐらいだぁす！（7） 新装版
ろんぐらいだぁす!	8	特装版	9784758066341	9784048994699	high	ろんぐらいだぁす！（8） 新装版 _ _
