slug	title	edition	cnt	nums
majikyuu-4-koma-maji-de-watashi-ni-koishinasai-s	マジキュー4コマ真剣で私に恋しなさい!S	通常版	2	[5, 6]
majikyuu-4-koma-steins-gate	マジキュー4コマ STEINS;GATE	通常版	3	[3, 5, 6]
mama	ママ	ワイド版	4	[3, 4, 5, 6]
manga-de-zesshou-shinfogia	まんがDE絶唱しんふぉぎあ	通常版	3	[2, 3, 4]
maoujou-no-nisemono-hime	魔王城のニセモノ姫	通常版	3	[2, 3, 4]
marii-to-ellie-no-atelier-zaaruburugu-no-renkinjutsushi-sekando-season	マリーとエリーのアトリエザールブルグの錬金術士 Second	通常版	5	[4, 5, 6, 7, 8]
marino-syndrome	まりのシンドローム	デラックス版	8	[2, 3, 4, 5, 6, 7, 8, 9]
matamoya-daikichi	またもや大吉	通常版	2	[2, 3]
matatabisou-wa-nekoyashiki	またたび荘は猫屋敷	通常版	2	[2, 3]
matsuoka-kunio-youkai-taiji	松岡國男妖怪退治	通常版	3	[2, 3, 4]
medarot-2	メダロット2	通常版	3	[2, 3, 4]
megumi-no-daigo-kyuukoku-no-orange	め組の大吾救国のオレンジ	デラックス版	2	[11, 12]
mei-tantei-asami-mitsuhiko-ando-ryojou-mystery-comic-selection	名探偵浅見光彦＆旅情ミステリーコミックセレクション	通常版	8	[2, 6, 7, 18, 19, 20, 21, 23]
meitantei-conan-tokubetsuhen-2016	名探偵コナン 特別編	通常版	15	[16, 18, 21, 24, 27, 28, 30, 32]
mezase-mangaka-tezuka-akatsuka-show-jushou-sakuhinshuu	めざせ漫画家!手塚・赤塚賞受賞作品集	デラックス版	8	[13, 14, 15, 16, 17, 18, 19, 20]
miboujin-wa-ogenkijirushi	未亡人はお元気印	通常版	3	[2, 3, 4]
migawari-romantica	身代わりロマンチカ	通常版	2	[2, 3]
mikoto-chan-wa-kirawaretakunai	みことちゃんは嫌われたくない!	通常版	4	[2, 3, 4, 5]
milky-comic	milky comic	通常版	5	[8, 10, 23, 26, 30]
