slug	title	edition	numbers
sekai-saikyou-no-majo-hajimemashita	世界最強の魔女、始めました	デラックス版	7,8,9,10,11
senmonogatari	千物語	通常版	7,8
transformers-classics	トランスフォーマークラシックス	通常版	7,8,9,10,11
agapes-1999	Agapes	通常版	6,7,8,9
alfheim-no-kishi	妖精国の騎士	文庫版	6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
cafe	cafe	通常版	6,7,8,9,10
damekko-doubutsu	だめっこどうぶつ	通常版	6,7,8
fermat-no-ryouri	フェルマーの料理	デラックス版	6,7
gundam-exa-2013	ガンダムEXA	通常版	6,7
houkago-pedal	放課後ペダル	通常版	6,7,8
ikenai-luna-sensei-r	いけない!ルナ先生R	デラックス版	6,7,8
inukko-club	犬っこ倶楽部	通常版	6,7
joker	JOKER	通常版	6,7,8,9,10
karen-osakabe-2011	花恋	通常版	6,7
kirikiritei-no-buraun-sensei	きりきり亭のぶら雲先生	通常版	6,7,8,9
majima-kun-suttobasu	真島クンすっとばす!!	通常版	6,7,8,9,10
nono-chan-zenshuu	ののちゃん 全集	通常版	6,7,8
oz-itsuki-2004	OZ	文庫版	6,7,8,9
rekitan	レキタン!	通常版	6,7,8
saikyou-de-saisoku-no-mugen-level-appu	最強で最速の無限レベルアップ	デラックス版	6,7,8,9,10,11
sakura-taisen	サクラ大戦	デラックス版	6,7,8,9
shin-yajuu-keisatsu	新・野獣警察	通常版	6,7
shinohara-udou-senshuu	篠原烏童選集	通常版	6,7
100-man-doru-kid	100万＄キッド	デラックス版	5,6,7
3-three	3 THREE	文庫版	5,6,7,8
comic-luna	コミックルナ	通常版	5,6
complex-kikuchi-2002	COMPLEX	通常版	5,6,7
gensou-labyrinth	幻想ラビリンス	通常版	5,6
ginga-tetsudou-999-andoromedahen	銀河鉄道999アンドロメダ編	通常版	5,6,7,8,9,10
gurazeni-tokyo-doomuhen	グラゼニ～東京ドーム編～	通常版	5,6,7,8,9,10,11,12,13,14,15
hamster-nikki	ハムスター日記	通常版	5,6
hana-no-asukagumi-infinitei	花のあすか組!∞インフィニティ	通常版	5,6,7,8,9
hanagoromo-yumegoromo	花衣夢衣	通常版	5,6,7,8,9,10,11,12,13,14,15,16,17
itoshi-no-chiipappa	愛しのチィパッパ	通常版	5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
kakushigoto	かくしごと	通常版	5,6,7,8,9,10,11,12
mabo-chan-dei-bai-dei	マボちゃんDAY BY DAY	通常版	5,6,7,8
majikyuu-4-koma-maji-de-watashi-ni-koishinasai-s	マジキュー4コマ真剣で私に恋しなさい!S	通常版	5,6
majikyuu-4-koma-steins-gate	マジキュー4コマ STEINS;GATE	通常版	5,6
nante-suteki-ni-japanesuku-hitozumahen	なんて素敵にジャパネスク人妻編	文庫版	5,6
nurse-station	ナース・ステーション	通常版	5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
pochi-no-mure	ポチの群れ	通常版	5,6
takeru-1997-2	タケル	通常版	5,6,7,8,9,10
wolf-guy	ウルフガイ	通常版	5,6,7,8,9,10,11,12
akimoto-osamu-no-naisu-na-choice-kochikame	秋本治のナイス!なチョイスこち亀	通常版	4,5,6,7,8,9,10
code-geass	コードギアス	通常版	4,5
cross-game-2014	CROSS GAME	通常版	4,5,6
g-taste	G-taste	通常版	4,5,6,7
hatsumei-taiketsu	発明対決	通常版	4,5,6,7,8,9
korason-sakkaa-damashii	コラソン サッカー魂	通常版	4,5,6,7,8,9
kouun-ryuusui	こううんりゅうすい	通常版	4,5,6,7,8
kureyon-shin-chan-gemu-book	クレヨンしんちゃんゲームブック	通常版	4,5,6
last-man	ラストマン	通常版	4,5,6
magia-record-mahou-shoujo-madoka-magica-gaiden	マギアレコード魔法少女まどか☆マギカ外伝	通常版	4,5,6,7,8,9
marii-to-ellie-no-atelier-zaaruburugu-no-renkinjutsushi-sekando-season	マリーとエリーのアトリエザールブルグの錬金術士 Second Season	通常版	4,5,6,7,8
