slug	title	edition	numbers
teppan-shoujo-akane	鉄板少女アカネ!!	通常版	2,3
tetsusabi-to-1000-karatto	鉄錆と1000カラット	通常版	2,3
tezuka-osamu-manga-zenshuu-mishuuroku-sakuhinshuu	手塚治虫漫画全集未収録作品集	文庫版	2,3
the-band	THE BAND	デラックス版	2,3
timetuber-yukari	TimeTuberゆかり	通常版	2,3
toaru-majutsu-no-baacharon	とある魔術の電脳戦機(バーチャロン)	通常版	2,3
tokubetsu-ja-nai-hi	特別じゃない日	通常版	2,3,4,5,6
tokugawa-kun-ga-komarasetekuru	十九川くんが困らせてくる!	デラックス版	2,3,4,5
tokyo-death-race	東京デスレース	通常版	2,3
tokyo-ravens-sword-of-song	東京レイヴンズSword of Song	通常版	2,3,4,5
tomo-chan-wa-sugoi-busu	トモちゃんはすごいブス	通常版	2,3,4,5
tomodachi-engage	トモダチ・エンゲージ	通常版	2,3,4,5
tonari-no-anti-kun	隣のアンチくん	通常版	2,3
tora-to-mike	トラとミケ	通常版	2,3,4,5,6,7
toren-romanesuku	賭恋ロマネスク	通常版	2,3
touhou-tetsuwan-komachi-dokidoki-locomotion	東方鉄腕小町ドキドキ♡ロコモーション	通常版	2,3
tousei-gensou-hakubutsushi	当世幻想博物誌	通常版	2,3
tsugi-no-kuuhaku-o-umeyo	次の空白を埋めよ。	通常版	2,3
tsuihousareta-sareta-fuguushoku-tamer-desu-futatsume-no-2-yokugyou-ga-bannoushoku-haigoujutsushi	追放された不遇職『テイマー』ですが、2つ目の職業が万能職『配合術師』だったので俺だけの最強パーティを作ります	通常版	2,3
tsuihousareta-sareta-kishi-zuki-seijo-wa-kyou-mo-shiawase	追放された騎士好き聖女は今日も幸せ	通常版	2,3
tsuihousareta-sareta-koushaku-reijou-viruherumiina-ga-shiawase-ni-naru-made	追放された公爵令嬢、ヴィルヘルミーナが幸せになるまで。	通常版	2,3
tsukareta-hito-ni-yashoku-o-todokeru-demaeten	疲れた人に夜食を届ける出前店	通常版	2,3
tsumari-souiu-koto-karada-wa-ai-ni-hairimasuka	つまりそういうコト。	通常版	2,3
tsumi-to-batsu-no-spica	罪と罰のスピカ	デラックス版	2,3,4,5,6
tsundere-na-watashi-ga-kawaii-nante-shouki-desu-ka	ツンデレなわたくしが可愛いなんて正気ですか?	通常版	2,3
tv-animation-major-characters-handbook-heroes	TV ANIMATION MAJOR キャラクターズハンドブック HEROES	通常版	2,3
uchira-wa-mabudachi	うちらはマブダチ	通常版	2,3
uesugi-kun-wa-onnanoko-o-yametai	上杉くんは女の子をやめたい	通常版	2,3
ultima	ウルティマ	通常版	2,3
ultraman-along-came-a-spider-man	ウルトラマン:アロング・ケイム・ア・スパイダーマン	通常版	2,3
umi-no-ouji-2009	海の王子	通常版	2,3
under-ku	アンダーク	通常版	2,3
urenokori-no-dorei-elf-o-hirotta-no-de-musume-ni-suru-koto-ni-shita	売れ残りの奴隷エルフを拾ったので、娘にすることにした	通常版	2,3
usagi-1994	うさぎ	通常版	2,3
usotsuki-heika-ga-watashi-ni-shuuchaku-suru-wake	嘘つき陛下が私に執着する理由	通常版	2,3
usotsuki-na-tsugai	嘘つきな番	通常版	2,3
usotsuki-omega-ni-oshioki-o	嘘つきΩにお仕置きを	通常版	2,3
v8-kid	V8キッド	通常版	2,3,4,5
vigilantem	ヴィジランテム	通常版	2,3,4
vs-zannen-girl	VS残念ガール	通常版	2,3
wada-radio-no-jojo-ni-poiman	和田ラヂヲの徐々にポイマン	通常版	2,3
waltz-no-ojikan	ワルツのお時間	通常版	2,3
wasurena-zuma-no-kimi-to	忘れな妻のキミと	通常版	2,3
watashi-no-hatsukoi-wa-hazukashisugite-dare-nimo-ienai	私の初恋は恥ずかしすぎて誰にも言えない	通常版	2,3,4
watashi-no-janru-ni-kami-ga-imasu	私のジャンルに「神」がいます	通常版	2,3
watashi-no-kokoro-wa-oji-san-de-aru	私の心はおじさんである	通常版	2,3,4
watashi-no-ojou-sama	わたしのお嬢様	通常版	2,3
watashi-wa-akogare-no-koibito	わたしは憧れの恋人	通常版	2,3
yagate-eiyuu-ni-naru-saikyou-shujinkou-ni-tensei-shitakedo-boku-niwa-ni-ga-omokatta-you-desu	やがて英雄になる最強主人公に転生したけど、僕には荷が重かったようです	通常版	2,3
yakuza-ga-tensei-shitara-mori-ranmaru-datta-ken	ヤクザが転生したら森蘭丸だった件	通常版	2,3,4,5
yakuza-ni-ofuro-de-hatarakasaretemasu	ヤクザにお風呂で働かされてます。	通常版	2,3
yama-kaimashita	山、買いました	通常版	2,3,4
yamafuji-shouji-no-black-anguru	山藤章二のブラック=アングル	通常版	2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
yamaoku-sodachi-no-ore-no-yururi-isekai-seikatsu	山奥育ちの俺のゆるり異世界生活	通常版	2,3
yamiochi-yuusha-no-haishin-haishin-tsuihousareta-sare-kakushi-bosu-beya-ni-hourikomareta-kekka-bosu	闇堕ち勇者の背信配信～追放され、隠しボス部屋に放り込まれた結果、ボスと探索者狩り配信を始める～@comic	通常版	2,3,4
yankee-omega-wa-juuou-sama-no-mono	ヤンキーΩは獣王様のもの!	通常版	2,3
yatara-yarashii-fukami-kun	やたらやらしい深見くん	通常版	2,3,4
yokohama-outsiders	横浜アウトサイダーズ	通常版	2,3
yokohata-koukou-ouendan-kanzakigumi	横幡高校応援団神咲組	通常版	2,3,4
yoru-10-ji-kara-wa-sunao-ni-oborete	夜10時からは素直に溺れて	通常版	2,3
yotogi-ga-kinki-no-kono-sekai-de	夜伽が禁忌のこの世界で	通常版	2,3,4
youbyou-tsuzumi-sama-no-yorozumeguri	妖猫つづみさまのよろずめぐり	通常版	2,3
young-shima-kousaku-shuninhen	ヤング島耕作 主任編	通常版	2,3,4
yume-kaikisen	夢回帰線	通常版	2,3
yurikuma-arashi	ユリ熊嵐	通常版	2,3
yuru-days	ゆるデイズ	通常版	2,3
yuruyuru-nyaa	ゆるユルにゃー!!	通常版	2,3
yuugeki-shoujo-yuumi	遊撃少女遊美	通常版	2,3
yuujin-brand	遊人ブランド	通常版	2,3,4,5,6
yuushagoroshi-no-moto-ansatsusha	勇者殺しの元暗殺者。	通常版	2,3,4
yuutousei-wa-unmei-no-akai-ito-ni-sakaraitai	優等生は運命の赤い糸に逆らいたい	通常版	2,3
yuuwaku-recipe	誘惑レシピ	通常版	2,3,4,5
zennin-no-otsu-san-boukensha-o-intai-shite-kojiin-no-sensei-ni-naru	善人のおっさん、冒険者を引退して孤児院の先生になる	通常版	2,3
zenryaku-onii-chan-wa-seijo-ni-narimashita	前略、お兄ちゃんは聖女になりました。	通常版	2,3
zense-de-koroshita-aite-no-tantou-henshuu-ni-narimashita	前世で殺した相手の担当編集になりました	通常版	2,3
zetsumetsu-doubutsu-monogatari	絶滅動物物語	通常版	2,3
zetsurin-yakuza-no-gokujou-aibu	絶倫ヤクザの極上愛撫	通常版	2,3,4,5
zettai-reido	絶対麗奴	通常版	2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
