slug	title	edition	publishers	majority	minority_vols
cinderella-express	シンデレラ・エクスプレス	standard	集英社:3 | 講談社:1	集英社	[1]
citrus-encount	四姉妹エンカウント	standard	エンターブレイン:4 | KADOKAWA:3	エンターブレイン	[2, 6, 7]
clear-qualia	クリア・クオリア	standard	角川書店:1 | KADOKAWA:1	角川書店	[2]
cobra-1995	Cobra	standard	KADOKAWA:8 | 集英社:1	KADOKAWA	[7]
code-geass-soubou-no-oz	コードギアス 双貌のオズ	standard	KADOKAWA:2 | 角川書店:1	KADOKAWA	[3]
coji-coji	COJI‐COJI	standard	ソニー・ミュージックソリューションズ:3 | 幻冬舎コミックス:1	ソニー・ミュージックソリューションズ	[4]
color-recipe	カラーレシピ	standard	KADOKAWA:1 | 新書館:1	KADOKAWA	[3]
colors-2001	Colors	standard	実業之日本社:3 | エンターブレイン:1	実業之日本社	[4]
comic-fruits-mitsumame	Comicフルーツみつまめ	standard	オーク出版:3 | オ-ク出版:1	オーク出版	[4]
comic-higashino-keigo-mystery-2014	コミック東野圭吾ミステリー	standard	実業之日本社:1 | 秋田書店:1	実業之日本社	[2]
comic-higashino-keigo-mystery	コミック東野圭吾ミステリー	standard	実業之日本社:1 | 秋田書店:1	実業之日本社	[2]
comic-party	こみっくパーティー	standard	アスキー・メディアワークス:4 | KADOKAWA:1	アスキー・メディアワークス	[5]
concierge	コンシェルジュ	standard	新潮社:19 | 講談社:2	新潮社	[1, 2]
coral	コーラル	standard	朝日新聞社:3 | 朝日新聞出版:2	朝日新聞社	[4, 5]
corseltel-no-ryuujitsushi	コーセルテルの竜術士	standard	一迅社:6 | 集英社クリエイティブ:4	一迅社	[1, 2, 3, 4]
cream-lemon	くりいむレモン	standard	ABC出版:6 | 徳間ジャパンコミュニケ-ションズ:2	ABC出版	[13, 14]
cronos-haze	クロノスヘイズ	standard	KADOKAWA:2 | 双葉社:1	KADOKAWA	[3]
cyborg-009	サイボーグ009	standard	秋田書店:8 | KADOKAWA:8 | メディアファクトリー:7	秋田書店	[22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36]
cyborg-009	サイボーグ009	bunkobon	秋田書店:7 | 小学館:2	秋田書店	[8, 12]
d-no-gorugota	Dの十字架(ゴルゴタ)	standard	LINE:2 | LINE Digital Frontier:2 | LINE　Digital　Frontie:1 | LINE　Digital　Frontier:1	LINE	[3, 4, 5, 6]
d4-princess	D4プリンセス	standard	KADOKAWA:3 | アスキー・メディアワークス:1	KADOKAWA	[2]
dai-sword	ダイ・ソード	standard	徳間書店:5 | 角川書店:2	徳間書店	[1, 2]
daikagaku-shoujo	大科学少女	standard	双葉社:2 | KADOKAWA:1	双葉社	[3]
daikichi-soba	大吉蕎麦	standard	日本文芸社:1 | リイド社:1	日本文芸社	[2]
dance-in-za-vampire-bund-sledge-hammer-no-tsuioku	ダンスインザヴァンパイアバンドスレッジ・ハマーの追憶	standard	KADOKAWA:2 | メディアファクトリー:1	KADOKAWA	[1]
dangan-honey	弾丸ハニー	standard	ほるぷ出版:1 | フレックスコミックス:1	ほるぷ出版	[2]
danganronpa-kibou-no-gakuen-to-zetsubou-no-koukousei-ji-animation	ダンガンロンパ希望の学園と絶望の高校生THE ANIMATION	standard	KADOKAWA:3 | 角川書店:1	KADOKAWA	[1]
dante-no-mon	ダンテの門	standard	アスキー・メディアワークス:3 | エンターブレイン:1	アスキー・メディアワークス	[4]
dare-nimo-aisarenai	誰にも愛されない	standard	リブレ出版:1 | 竹書房:1	リブレ出版	[3]
dareka-ii-hito-imasenka	誰かいい人いませんか?	standard	LINE Digital Frontier:2 | LINE　Digital　Frontier:1	LINE Digital Frontier	[2]
dark-edge	DARK EDGE	standard	KADOKAWA:9 | アスキー・メディアワークス:6	KADOKAWA	[6, 7, 8, 9, 10, 11]
dark-whisper	ダークウィスパー	standard	アスキー・メディアワークス:1 | KADOKAWA:1	アスキー・メディアワークス	[3]
darker-than-black-okamura-2007	Darker than black	standard	角川書店:2 | スクウェア・エニックス:2	角川書店	[3, 4]
darling-wa-gaikokujin	ダーリンは外国人	standard	メディアファクトリー:1 | KADOKAWA:1	メディアファクトリー	[2]
daruma-tanaka-2004	達摩	standard	集英社:1 | 講談社:1	集英社	[3]
daydream-nation	デイドリームネイション	standard	KADOKAWA:4 | メディアファクトリー:1	KADOKAWA	[5]
dd-hokuto-no-ken	DD北斗の拳	standard	ノース・スターズ・ピクチャーズ:7 | 徳間書店:1	ノース・スターズ・ピクチャーズ	[1]
dears	DearS	standard	アスキー・メディアワークス:5 | KADOKAWA:3	アスキー・メディアワークス	[6, 7, 8]
debu-to-love-to-ayamachi-to	デブとラブと過ちと!	standard	ハーパーコリンズ・ジャパン:6 | Jパブリッシング:5	ハーパーコリンズ・ジャパン	[1, 2, 3, 4, 5]
defense-line	ディフェンスライン	standard	リブレ:2 | ビブロス:1	リブレ	[1]
dennou-nao-san	電脳なをさん	standard	アスキー・メディアワークス:3 | アスキー総研（旧アスキー）:1	アスキー・メディアワークス	[2]
denpa-onna-to-seishun-otoko	電波女と青春男	standard	KADOKAWA:3 | 角川書店:1	KADOKAWA	[1]
detatoko-princess	でたとこプリンセス	standard	角川書店:5 | 富士見書房:1	角川書店	[1]
dethrone	ディスローン	standard	KADOKAWA:2 | メディアファクトリー:1	KADOKAWA	[1]
devil-may-cry-5	Devil May Cry 5	standard	LINE Digital Frontier:4 | LINE　Digital　Frontier:1	LINE Digital Frontier	[2]
devil-summoner-soul-hackers	デビルサマナーソウルハッカーズ	standard	KADOKAWA:1 | スクウェア・エニックス:1	KADOKAWA	[2]
dien-bien-phu	ディエンビエンフー	standard	小学館:11 | 角川書店:1	小学館	[1]
diva	DIVA	bunkobon	コミックス:4 | 講談社:1	コミックス	[5]
dochokkyuu-kareshi-x-kanojo	ド直球彼氏×彼女	standard	秋田書店:4 | 一迅社:3	秋田書店	[1, 2, 3]
dog-style	Dog style	standard	リブレ:2 | ビブロス:1	リブレ	[1]
dokibagu	ドキばぐ	standard	エンターブレイン:3 | KD（eb発行）:2	エンターブレイン	[4, 5]
dokonjou-gaeru-no-musume	ど根性ガエルの娘	standard	白泉社:4 | KADOKAWA:1	白泉社	[1]
dokuhime	毒姫	standard	朝日ソノラマ:2 | 朝日新聞出版:2 | 朝日新聞社:1	朝日ソノラマ	[3, 4, 5]
dokusai-gurimuwaaru	独裁グリムワール	standard	KADOKAWA:2 | メディアファクトリー:1	KADOKAWA	[2]
dokushi	ドクシ-読師-	standard	幻冬舎コミックス:9 | 幻冬舎:1	幻冬舎コミックス	[5]
doll-2000	DOLL	standard	KADOKAWA:1 | 講談社:1	KADOKAWA	[2]
doraemon	ドラえもん	standard	小学館:32 | 中央公論新社:6	小学館	[40, 41, 42, 43, 44, 45]
dorakuuun	ドラクゥーン	standard	富士見書房:3 | 角川書店:2	富士見書房	[4, 5]
doraneko-theater	ドラネコシアター	standard	アスキー・メディアワークス:2 | エンターブレイン:1	アスキー・メディアワークス	[4]
doro-no-onnatsuushin	泥の女通信	standard	太田出版:1 | WeComix:1	太田出版	[2]
dorobou-night-trick	ドロボウナイトトリック	standard	メディアファクトリー:1 | KADOKAWA:1	メディアファクトリー	[2]
