shared_isbn	rk_title	ndl_title	ndl_author	owner_slug	owner_author	wrong_slug	wrong_author	wrong_vol	proposed_isbn	confidence
9784592888253	伯爵カイン（第1巻）	伯爵カイン. 第1巻	由貴香織里	hakushaku-cain	由貴香織里	kafuka	由貴香織里	1		CONFLICT
9784592888253	伯爵カイン（第1巻）	伯爵カイン. 第1巻	由貴香織里	hakushaku-cain	由貴香織里	wasure-rareta-juliet	由貴香織里	1		CONFLICT
9784592888260	伯爵カイン（第2巻）	伯爵カイン. 第2巻	由貴香織里	hakushaku-cain	由貴香織里	akai-hitsuji-no-kokuin	由貴香織里	2		CONFLICT
9784592888260	伯爵カイン（第2巻）	伯爵カイン. 第2巻	由貴香織里	hakushaku-cain	由貴香織里	kafuka	由貴香織里	2		CONFLICT
9784592888260	伯爵カイン（第2巻）	伯爵カイン. 第2巻	由貴香織里	hakushaku-cain	由貴香織里	wasure-rareta-juliet	由貴香織里	2		CONFLICT
9784592888277	伯爵カイン（第3巻）	伯爵カイン. 第3巻	由貴香織里	hakushaku-cain	由貴香織里	akai-hitsuji-no-kokuin	由貴香織里	3		CONFLICT
9784592888277	伯爵カイン（第3巻）	伯爵カイン. 第3巻	由貴香織里	hakushaku-cain	由貴香織里	kafuka	由貴香織里	3		CONFLICT
9784592888277	伯爵カイン（第3巻）	伯爵カイン. 第3巻	由貴香織里	hakushaku-cain	由貴香織里	wasure-rareta-juliet	由貴香織里	3		CONFLICT
9784592888284	伯爵カイン（第4巻）	伯爵カイン. 第4巻	由貴香織里	hakushaku-cain	由貴香織里	akai-hitsuji-no-kokuin	由貴香織里	4		CONFLICT
9784592888284	伯爵カイン（第4巻）	伯爵カイン. 第4巻	由貴香織里	hakushaku-cain	由貴香織里	kafuka	由貴香織里	4		CONFLICT
9784592888284	伯爵カイン（第4巻）	伯爵カイン. 第4巻	由貴香織里	hakushaku-cain	由貴香織里	wasure-rareta-juliet	由貴香織里	4		CONFLICT
9784592888291	伯爵カイン（第5巻）	伯爵カイン. 第5巻	由貴香織里	hakushaku-cain	由貴香織里	akai-hitsuji-no-kokuin	由貴香織里	5		CONFLICT
9784592888291	伯爵カイン（第5巻）	伯爵カイン. 第5巻	由貴香織里	hakushaku-cain	由貴香織里	kafuka	由貴香織里	5		CONFLICT
9784592888291	伯爵カイン（第5巻）	伯爵カイン. 第5巻	由貴香織里	hakushaku-cain	由貴香織里	wasure-rareta-juliet	由貴香織里	5		CONFLICT
9784592888307	伯爵カイン（第6巻）	伯爵カイン. 第6巻	由貴香織里	hakushaku-cain	由貴香織里	akai-hitsuji-no-kokuin	由貴香織里	6		CONFLICT
9784592888307	伯爵カイン（第6巻）	伯爵カイン. 第6巻	由貴香織里	hakushaku-cain	由貴香織里	kafuka	由貴香織里	6		CONFLICT
9784592888307	伯爵カイン（第6巻）	伯爵カイン. 第6巻	由貴香織里	hakushaku-cain	由貴香織里	wasure-rareta-juliet	由貴香織里	6		CONFLICT
9784592890751	OZ（第1巻）	OZ. 第1巻	樹なつみ	oz-itsuki-2004	樹なつみ	oz-manual	樹なつみ	1		CONFLICT
9784592890768	OZ（第2巻）	OZ. 第2巻	樹なつみ	oz-itsuki-2004	樹なつみ	oz-manual	樹なつみ	2		CONFLICT
