class	n_pages	canonical	pages	authors	vol_overlap
誤接続/別題	2	fate-strange-fake-2019	fate-strange-fake|fate-strange-fake-2019	TYPE-MOON|成田良悟|森井しづき	0.4
誤接続/別題	2	fight-1990	fight-1990|fight-1996	国樹由香|阿部ゆたか	1.0
誤接続/別題	2	final-fantasy-lost-stranger	final-fantasy-lost-stranger|final-fantasy-lost-stranger-2021	むつきらん	0.69
誤接続/別題	2	fire-emblem-thracia-776	fire-emblem-thracia-776|fire-emblem-thracia-776-2000	たかなぎ優名|日野慎之助	1.0
誤接続/別題	2	gadget	gadget|gadget-sano-1998	わたなべ京|佐野まさき|衛藤ヒロユキ	0.67
誤接続/別題	2	ganbarekierunashikiso-usuko-san	ganbarekierunashikiso-usuko-san|ganbarekierunashikisousuko-san	水月とーこ	0.17
誤接続/別題	2	garakutamachi-ki-tan	garakutamachi-ki-tan|kamen-shounen	高橋葉介	1.0
誤接続/別題	2	gift-2009	gift-2006|gift-2009	ユキヲ|山田J太	1.0
誤接続/別題	2	ginneko-minmin	ginneko-minmin|usaneko-chan	立原あゆみ	1.0
誤接続/別題	2	girl	girl|girl-1990	早坂いあん|真柴ひろみ	1.0
誤接続/別題	2	gogo-monster	gogo-monster|monster	スタジオ・ナッツ|松本大洋|浦沢直樹	1.0
誤接続/別題	2	gon	gon|gon-selection	田中政志	1.0
誤接続/別題	2	goukaku-kigan	charenjaazu|goukaku-kigan	高永ひなこ	1.0
誤接続/別題	2	gurazeni	gurazeni|gurazeni-2014	アダチケイジ|コージィ城倉	0.94
誤接続/別題	2	gurazeni-tokyo-doomuhen	gurazeni-pa-riiguhen|gurazeni-tokyo-doomuhen	アダチケイジ|コージィ城倉	0.87
誤接続/別題	2	gym-2000	gym|gym-2000	柳沢きみお|池上遼一	1.0
誤接続/別題	2	haisai-taiyou-musume	haisai-taiyou-musume|teida-neenee	池田さとみ	1.0
誤接続/別題	2	hakuouki-2011	hakuouki-2010|hakuouki-2011	ひらく椥	1.0
誤接続/別題	2	hal-ayase-2017	hal-ayase-2017|hal-makino-2010	hal|牧野あおい	0.5
誤接続/別題	2	happy-no-recipe	check|happy-no-recipe	兄崎ゆな	1.0
誤接続/別題	2	heiwa-no-kane-series	heiwa-no-kane-series|nakazawa-deka-heiwa-manga-sakuhinshuu	中沢啓治	1.0
誤接続/別題	2	high	hai-time|high	渡辺未知|耕野裕子	1.0
誤接続/別題	2	high-score	high-score|high-score-aruko-2002	アルコ|津山ちなみ	1.0
誤接続/別題	2	hihon-gikeiki	hihon-gikeiki|masurao	北崎拓	1.0
誤接続/別題	2	hitorijime-my-hero-2025	hitorijime-my-hero|hitorijime-my-hero-2025	ありいめめこ	0.88
誤接続/別題	2	hokuto-no-ken-ichigoaji	hokuto-no-ken-2016|hokuto-no-ken-ichigoaji	しな|行徒妹	0.33
誤接続/別題	2	honto-yajuu	honto-yajuu|like-the-beast	山本小鉄子	0.05
誤接続/別題	2	hurricane-1996	hurricane|hurricane-1996	ワタセセイゾウ	1.0
誤接続/別題	2	ib-instant-bullet	ib|ib-instant-bullet	赤坂アカ	0.8
誤接続/別題	2	ichi	1-yamamoto-1993|ichi	山本英夫|篠原花那	1.0
誤接続/別題	2	idol-sousei-densetsu-princess	idol-sousei-densetsu-princess|princess	克・亜樹	1.0
誤接続/別題	2	imagine-29	imagine|imagine-29	槇村さとる	1.0
誤接続/別題	2	in-hand	in-hand|in-hand-2019	朱戸アオ	0.5
誤接続/別題	2	infinite-sutoratosu	infinite-sutoratosu|is-2010	結城焔	0.75
誤接続/別題	2	intron-depot	bullets|intron-depot	士郎正宗	0.17
誤接続/別題	2	jihad	jihad|jihad-sadakane-1993	山根和俊|里見桂	1.0
誤接続/別題	2	jinnairyuu-juujutsu-butouden-majima-kun-suttobasu	jinnairyuu-juujutsu-butouden-majima-kun-suttobasu|majima-kun-suttobasu	にわのまこと	0.67
誤接続/別題	2	jinrou-e-no-tensei-maou-no-fukukan	jinrou-e-no-tensei-maou-no-fukukan|jinrou-eno-tensei-maou-no-fukukan-hajimari-no-show	瑚澄遊智	0.18
誤接続/別題	2	joker-1998-2	joker-1998-2|joker-2000-2	万里村奈加|野村あきこ	1.0
誤接続/別題	2	joou-o-aishita-ansatsusha	joou-o-aishita-ansatsusha|shiroki-ouji-no-koimonogatari	さちみりほ	1.0
誤接続/別題	2	joshi-joshikousei-girls-hai	joshi-joshikousei-girls-hai|joshikousei	大島永遠	1.0
誤接続/別題	2	junk-1994	junk-1994|junk-2005	ゆみみ|土光てつみ	1.0
誤接続/別題	2	kaidan-kyuuden	kaidan-kyuuden|tenkafun	坂田靖子	1.0
誤接続/別題	2	kaitou-lupin-den-aventurier	kaitou-lupin-den-abanchurie-toujou-hen|kaitou-lupin-den-aventurier	森田崇	0.5
誤接続/別題	2	kantai-collection-kancolle-4-koma-comic-fubuki-ganbarimasu	kantai-collection-kancolle-4-koma-comic|kantai-collection-kancolle-4-koma-comic-fubuki-ganbarimasu	「艦これ」運営鎮守府	0.07
誤接続/別題	2	kantai-collection-kancolle-comic-arakaruto	kantai-collection-kancolle-comic-arakaruto|kantai-collection-kancolle-comic-arakaruto-maizuru-chinjufu-hen	「艦これ」運営鎮守府	0.78
誤接続/別題	2	karen	karen|karen-osakabe-2011	やぶうち優|刑部真芯	1.0
誤接続/別題	2	kariage-kun	honnyaragokko-kariage-kun|kariage-kun	植田まさし	1.0
誤接続/別題	2	kawaite-sourou	kawaite-sourou|kuchiyaku-mondo-kawaitesourou	小島剛夕	0.88
誤接続/別題	2	kaze-densetsu-bukkomi-no-taku	bukkomi-no-taku|kaze-densetsu-bukkomi-no-taku	佐木飛朗斗|所十三	0.74
誤接続/別題	2	keetai-ga-ochiteita	keetai-ga-ochiteita|seven-piisu	赤石路代	1.0
誤接続/別題	2	kibando	bukkira-ni-yoroshiku|kibando	手塚治虫	1.0
誤接続/別題	2	kingdom-hearts-3	kingdom-hearts-3|kingdom-hearts-3-2020	天野シロ	0.25
誤接続/別題	2	kirara-hiramatsu-1987	kirara|kirara-hiramatsu-1987	唯登詩樹|平松伸二	1.0
誤接続/別題	2	kiss-2014	kiss-2014|kissxxxx	森田ゆき|楠本まき	1.0
誤接続/別題	2	kita-no-doryuu	kita-no-doryuu|kita-no-mogura	石川サブロウ	1.0
誤接続/別題	2	kogane-no-rafu-2	kogane-no-rafu-2|ougon-no-rafu-2	なかいま強	0.69
誤接続/別題	2	koi-shita-hito-wa-imouto-no-kawari-ni-shinde-kure-to-itta	koi-shita-hito-wa-imouto-no-kawari-ni-shinde-kure-to-itta|koishita-hito-wa-imouto-no-kawari-ni-shindekure-to-itta-imouto-to-kekkon-shita-kataomoi-aite-ga	家守まき|永野水貴	0.17
誤接続/別題	2	koigakubo-kun-ni-hajimete-o-ubawaremashita-2023	koigakubo-kun-ni-hajimete-o-ubawaremashita|koigakubo-kun-ni-hajimete-o-ubawaremashita-2023	美麻りん	0.56
誤接続/別題	2	kono-kanojo	kono-kanojo|kono-kanojo-wa-fiction-desu	渡辺静	1.0
誤接続/別題	2	korason-sakkaa-damashii	corazon|korason-sakkaa-damashii	塀内夏子	0.33
誤接続/別題	2	kunisaki-izumo-no-jijou-2010	kunisaki-izumo-no-jijou|kunisaki-izumo-no-jijou-2010	ひらかわあや|近田火日輝	1.0
誤接続/別題	2	kuradashi-kapibara-san	4-koma-kapibarasan|kuradashi-kapibara-san	TRYWORKS|チダケイコ	1.0
誤接続/別題	2	kurotokage-2019	kuro-tokage|kurotokage-2019	森下裕美|高階良子	1.0
誤接続/別題	2	kyou-kara-city-hunter-2021	kyou-kara-city-hunter|kyou-kara-city-hunter-2021	錦ソクラ	0.39
誤接続/別題	2	kyouhaku-dogguzu	kyouhaku-dog-s-another-secret|kyouhaku-dogguzu	しゃあ	0.86
