slug	title	英化候補run
taiyou-no-romance	太陽のロマンス	ロマンス→romance
takoyaki-princess	たこ☆やきプリンセス	プリンセス→princess
tama-chan-house	たまちゃんハウス	ハウス→house
tameshita-girl	ためしたガール	ガール→girl
tane-mo-shikake-mo-nai-love-story	タネも仕掛けもないラブストーリー	ラブストーリー→love-story
tanizoko-lion	谷底ライオン	ライオン→lion
tantei-chiimu-kazzu-jiken-note-kiihorudaa-wa-shitte-iru	探偵チームKZ事件ノートキーホルダーは知っている	チーム→team
tanteigeemu	探偵ゲーム	ゲーム→game
tanuma-dono-to-gennai-san-tokidoki-tokugawa-family	田沼殿と源内さん～ときどき徳川ファミリー～	ファミリー→family
tarachine-street	たらちねストリート	ストリート→street
tarutarosu-gekijou-wild	タルタロス劇場ワイルド	ワイルド→wild
tatakae-aku-no-soshiki-dark-dream	戦え!!悪の組織ダークドリーム!!	ダークドリーム→dark-dream
tatakae-chou-robot-seimeitai-toransufoomaa-za-comics	戦え!超ロボット生命体トランスフォーマーザ☆コミックス	ロボット→robot
tatakae-ultra-kyoudai	戦え!ウルトラ兄弟	ウルトラ→ultra
tatakau-j-girls	戦うJガールズ	ガールズ→girls
tatoeba-ore-ga-champion-kara-joou-no-himo-ni-job-change-shita-to-shite	たとえば俺が、チャンピオンから王女のヒモにジョブチェンジしたとして。	チャンピオン→champion
tatsu-no-hata-kaiketsu-iron	竜の旗+怪傑アイアン	アイアン→iron
tatsumaki-no-crisis	竜巻のクライシス	クライシス→crisis
tattoon-master	タトゥーン☆マスター	マスター→master
teens-paradise	ていーんず・パラダイス	・パラダイス→paradise
tegowai-princess	てごわいプリンセス	プリンセス→princess
teiamuun-teikoku-monogatari-dantoudai-kara-hajimaru-hime-no-tensei-gyakuten-story-attomaaku-comic	ティアムーン帝国物語～断頭台から始まる、姫の転生逆転ストーリー～@COMIC	ストーリー→story
teihen-otsu-san-cheat-kakusei-de-isekai-rakuraku-life	底辺おっさん、チート覚醒で異世界楽々ライフ	ライフ→life
teihon-red	定本レッド	レッド→red
teiipii-boys	TPボーイズ	ボーイズ→boys
teka-teka-island	てかてかアイランド	アイランド→island
televi-magazine-ban-kamen-rider	テレビマガジン版・仮面ライダー	ライダー→rider
tenchi-kyuusei-shinwa-girl	天地救世♥神話ガール	ガール→girl
tenkanin-soul	天下人ソウル	ソウル→soul
tennen-noushuku-orange-senki	天然濃縮!!オレンジ戦機	オレンジ→orange
tennen-zetsumetsu-hero	天然!絶滅ヒーロー!!	ヒーロー→hero
tenohira-hero	手のひらヒーロー	ヒーロー→hero
tenohira-ni-diamond	掌にダイヤモンド	ダイヤモンド→diamond
tensai-family-company	天才ファミリー・カンパニー	ファミリー・カンパニー→family-company
tensei-kenja-no-isekai-life	転生賢者の異世界ライフ	ライフ→life
tensei-nanajo-de-hajimeru-isekai-life	転生七女ではじめる異世界ライフ	ライフ→life
tensei-shitara-dragon-no-tamago-datta	転生したらドラゴンの卵だった	ドラゴン→dragon
tensei-shitara-ore-ga-heroine-de-aitsu-ga-yuusha-datta	転生したらオレがヒロインであいつが勇者だった	ヒロイン→heroine
tensei-shitara-pink-dragon	転生したらピンクドラゴン	ピンクドラゴン→pink-dragon
tenshi-guardian	天使ガーディアン	ガーディアン→guardian
tenshi-no-guardian	天使のガーディアン	ガーディアン→guardian
tenshi-to-diamond	天使とダイヤモンド	ダイヤモンド→diamond
tenshoku-eno-champion	天職へのチャンピオン	チャンピオン→champion
tera-girl	寺ガール	ガール→girl
terebi-magazine-ban-kamen-rider-v3	テレビマガジン版・仮面ライダーV3	ライダー→rider
teriburu-machine-twins	てりぶるマシンツインズ	マシンツインズ→machine-twins
tetsu-no-police	鉄の警察(ポリス)	ポリス→police
tetsuwan-girl	鉄腕ガール	ガール→girl
the-nurse	Theナース	ナース→nurse
thunder-boy	サンダーボーイ	サンダーボーイ→thunder-boy
tiger-ando-banii-chan	タイガー＆バニーちゃん	タイガー→tiger
tobiiro-shadow	鳶色シャドウ	シャドウ→shadow
tokage-hontou-wa-shinryuu-o-shoukan-shita-seijuu-tsukai-ryuu-no-senaka-de-kaitaku-life	トカゲ〈本当は神竜〉を召喚した聖獣使い、竜の背中で開拓ライフ	ライフ→life
tokimeki-no-silver-star	ときめきのシルバー☆スター	シルバー→silver; スター→star
tokiwasou-power	トキワ荘パワー!	パワー→power
tokonatsu-bank	常夏バンク	バンク→bank
tokoton-boy	とことんボーイ	ボーイ→boy
tokyo-baby-game	東京BABYゲーム	ゲーム→game
tokyo-battle	東京バトル	バトル→battle
tokyo-children	東京チルドレン	チルドレン→children
tokyo-crazy-paradise	東京クレイジーパラダイス	クレイジーパラダイス→crazy-paradise
tokyo-friends	東京フレンズ	フレンズ→friends
tokyo-love-story-after-25-years	東京ラブストーリーAfter 25 years	ラブストーリー→love-story
tokyo-love-story	東京ラブストーリー	ラブストーリー→love-story
tokyo-sky-tree-ni-otokonaki	東京スカイツリーに男泣き!	スカイツリー→sky-tree
tomodachi-x-monster	トモダチ×モンスター	モンスター→monster
tonari-no-kougaku-girl	となりの工学ガール	ガール→girl
tonari-no-robot	となりのロボット	ロボット→robot
tonari-no-vampire-san	となりのヴァンパイアさん	ヴァンパイア→vampire
tonda-couple	翔んだカップル	カップル→couple
tondemo-skill-kaze-ga-fukeba-okeya-ga-moukaru-no-okage-de-ore-no-isekai-life-wa-mamanaranai-yoi-imi	とんでもスキル〈風が吹けば桶屋が儲かる〉のおかげで俺の異世界ライフはままならない〈良い意味で〉	ライフ→life
tookyou-majo-house	TOKYO★魔女ハウス	ハウス→house
toriotoko-vs-sukuuruzamurai	鳥男vsスクール侍	スクール→school
toshishita-kun-ni-office-de-nugasare	年下くんにオフィスで脱がされ	オフィス→office
totsugeki-game-boy	突撃!ゲームボーイ	ゲームボーイ→game-boy
totsugeki-wolf	とつげきウルフ	ウルフ→wolf
totsuzen-papa-ni-natta-saikyou-dragon-no-kosodate-nikki	突然パパになった最強ドラゴンの子育て日記	ドラゴン→dragon
toujima-tanzaburou-wa-kamen-rider-ni-naritai	東島丹三郎は仮面ライダーになりたい	ライダー→rider
toushou-boy	闘翔ボーイ	ボーイ→boy
trauma-level-no-horror-taiken-ga-tomarimasen	トラウマレベルのホラー体験がとまりません	ホラー→horror
trouble-3-chan-golf-sos	トラブル3ちゃンゴルフSOS	トラブル→trouble
trouble-cherry	トラブル☆チェリー	トラブル→trouble
trouble-dogs	トラブル・ドッグ	トラブル・ドッグ→trouble-dog
trouble-express	トラブル急行	トラブル→trouble
trouble-honeymoon	トラブル・ハネムーン	トラブル・ハネムーン→trouble-honeymoon
trouble-spirit	とらぶるスピリット!	スピリット→spirit
tsugi-hagi-nightmare	つぎ☆はぎナイトメア	ナイトメア→nightmare
tsuihousareta-sareta-tensei-juukishi-wa-game-chishiki-de-musou-suru	追放された転生重騎士はゲーム知識で無双する	ゲーム→game
tsuitenai-game-jikkyousha-wa-akogare-no-hito-ni-kakin-dekiaisareru	ツイてないゲーム実況者は憧れの人に課金される	ゲーム→game
tsujidou-san-no-junai-road	辻堂さんの純愛ロード	ロード→road
tsukaisute-dragon	使い捨てドラゴン	ドラゴン→dragon
tsukikage-caf	TUKIKAGEカフェ	カフェ→cafe
tsukimi-san	スーパー主婦 月美さん	スーパー→super
tsukiyo-no-heroine	月夜のヒロイン	ヒロイン→heroine
tsukumo-happy-soul	99ハッピーソウル	ハッピーソウル→happy-soul
tsukushi-massugu-life	つくしまっすぐライフ!	ライフ→life
tsuma-wa-motohiiroo	妻は元ヒーロー	ヒーロー→hero
tsumugi-to-himitsu-no-amai-mission	つむぎと秘蜜の甘いミッション	ミッション→mission
tsunagi-to-hero	ツナギとヒーロー	ヒーロー→hero
tsuren-boy	釣れんボーイ	ボーイ→boy
tsurezure-children	徒然チルドレン	チルドレン→children
tsuyogaaru	強ガール	ガール→girl
tunnel-nuketara-sky-blue	トンネルぬけたらスカイ☆ブルー	スカイ→sky; ブルー→blue
twinkle-twinkle-idol-star	♂ティンクル〔＾2〕♀アイドル☆スター	スター→star
uchi-no-class-no-joshi-ga-yabai	うちのクラスの女子がヤバい	クラス→class
uchiki-na-ghost	内気なゴースト	ゴースト→ghost
uchouten-police	有頂天ポリス	ポリス→police
uchuu-hakubutsushi-kasei-hotel	宇宙博物史火星ホテル	ホテル→hotel
uchuu-no-crisis	宇宙のクライシス	クライシス→crisis
uchuusen-red-shark	宇宙船レッドシャーク	レッドシャーク→red-shark
ufo-mystery-osorubeki-purazunaa-no-zenbou	UFOミステリー恐るべきプラズナーの全貌	ミステリー→mystery
ukkari-haitchatta-itoko-to-mitchaku-geemuchuu	うっかり入っちゃった!従姉妹と密着ゲーム中	ゲーム→game
ultra-b	ウルトラB	ウルトラ→ultra
ultra-choudensetsu	ウルトラ超伝説	ウルトラ→ultra
ultra-galaxy-daikaijuu-battle	ウルトラギャラクシー 大怪獣バトル	ウルトラギャラクシー→ultra-galaxy; バトル→battle
ultra-kaijuu-gijinka-keikaku-feat-pop-comic-code	ウルトラ怪獣擬人化計画feat.POP Comic code	ウルトラ→ultra
ultra-kaijuu-gijinka-keikaku-galaxy-days	ウルトラ怪獣擬人化計画ギャラクシー☆デイズ	ウルトラ→ultra; ギャラクシー→galaxy
ultra-kaijuu-kattobi-land	ウルトラ怪獣かっとび!ランド	ウルトラ→ultra
ultra-kyoudai-monogatari	ウルトラ兄弟物語	ウルトラ→ultra
ultra-m	ウルトラ-M	ウルトラ→ultra
ultra-ninpouchou-flash	ウルトラ忍法帖（輝）	ウルトラ→ultra
ultra-ninpouchou-kotobuki	ウルトラ忍法帖寿	ウルトラ→ultra
ultra-ninpouchou-ultra	ウルトラ忍法帖超	ウルトラ→ultra
ultra-q-2003	ウルトラQ	ウルトラ→ultra
ultra-q-2005	ウルトラQ	ウルトラ→ultra
ultra-q-2011	ウルトラQ	ウルトラ→ultra
ultra-q	ウルトラQ	ウルトラ→ultra
ultra-red-nishimura-2013	ウルトラ・レッド	ウルトラ・レッド→ultra-red
ultra-superstar	ウルトラスーパースター	ウルトラスーパースター→ultra-super-star
unbalance-school-life	あんばらんすスクールライフ	スクールライフ→school-life
urananiomakase	ハッピーおまじないコミック	ハッピー→happy
urenokori-no-dorei-elf-o-hirotta-no-de-musume-ni-suru-koto-ni-shita	売れ残りの奴隷エルフを拾ったので、娘にすることにした	エルフ→elf
usagi-paradise	うさぎパラダイス	パラダイス→paradise
usotsuki-android	うそつきアンドロイド	アンドロイド→android
