slug	title	std_vols	publishers	majority	minority_detail	minority_vols
kankanbiyori	艦々日和	11	KADOKAWA:7 | Gzブレイン:4	KADOKAWA	Gzブレイン=[8, 9, 10, 11]	[8, 9, 10, 11]
kokuryuu-sama-no-minarai-hanayome	黒龍さまの見習い花嫁	11	ジャイブ(発売):8 | ジャイブ:3	ジャイブ(発売)	ジャイブ=[1, 2, 3]	[1, 2, 3]
kouritsuchuu-madoushi-daini-no-jinsei-de-madou-o-kiwameru	効率厨魔導師、第二の人生で魔導を極める	11	星雲社:7 | 星雲社(発売):4	星雲社	星雲社(発売)=[8, 9, 10, 11]	[8, 9, 10, 11]
kurebatesu	クレバテス	11	LINEDigitalFrontier:6 | KADOKAWA:5	LINEDigitalFrontier	KADOKAWA=[7, 8, 9, 10, 11]	[7, 8, 9, 10, 11]
marry-me	マリーミー!	11	LINE:7 | LINEDigitalFrontier:4	LINE	LINEDigitalFrontier=[8, 9, 10, 11]	[8, 9, 10, 11]
obaa-chan-shoujo-hinata-chan	老女的 (おばあちゃん) 少女ひなたちゃん	11	徳間:7 | コアミックス:4	徳間	コアミックス=[8, 9, 10, 11]	[8, 9, 10, 11]
oidasareta-bannoushoku-ni-atarashii-jinsei-ga-hajimarimashita	追い出された万能職に新しい人生が始まりました	11	星雲社:6 | 星雲社(発売):4	星雲社	星雲社(発売)=[4, 5, 6, 7]	[4, 5, 6, 7]
sai	菜	11	講談社:2 | 玄光社:2	講談社	玄光社=[4, 6]	[4, 6]
saigo-ni-hitotsu-dake-onegai-shitemo-yoroshii-deshouka	最後にひとつだけお願いしてもよろしいでしょうか	11	星雲社:5 | 星雲社(発売):5	星雲社	星雲社(発売)=[3, 4, 5, 6, 7]	[3, 4, 5, 6, 7]
sex-pistols	SEX PISTOLS	11	リブレ出版:3 | リブレ:3	リブレ出版	リブレ=[9, 10, 11]	[9, 10, 11]
tsuyokute-new-saga	強くてニューサーガ	11	星雲社:9 | 星雲社(発売):2	星雲社	星雲社(発売)=[9, 10]	[9, 10]
wotaku-ni-koi-wa-muzukashii	ヲタクに恋は難しい	11	講談社:8 | 一迅社:3	講談社	一迅社=[1, 2, 3]	[1, 2, 3]
