slug	title	detail
mugichan-no-ita-sekusuarisu-dai-2-bu	麦ちゃんのヰタ・セクスアリス 第2部	花とゆめコミックス編集部
nagai-gou-ban-barbara	永井豪版ばるぼら	ダイナミックプロダクション
nagai-gou-kekkou-land	永井豪・けっこうランド	ダイナミックプロダクション
nakeru-golgo-13	泣ける!ゴルゴ13	さいとうプロダクション
nanatsubu-no-houseki	7つぶの宝石	花とゆめコミックス編集部
naniwa-kinyuudou-teki-na-nichijou	ナニワ金融道的な日常	青木雄二プロダクション
naniwa-sendou	ナニワ銭道	青木雄二プロダクション
natsuiro-kiseki	夏色キセキ	「夏色キセキ」製作委員会
nekotsugurajima	猫つぐら島	猫十字社
neo-devilman	ネオデビルマン	ダイナミックプロダクション
neojiokomikku	ネオジオコミック	コミック編集部 編
nijisanji-sanba-kaani-baru	にじさんじさんばかーにばる	いちから株式会社
nijisanji	にじさんじ	ANYCOLOR株式会社
ninja-batman	ニンジャバットマン	DCコミックス
oira-soramaru	おいら空丸	花とゆめコミックス編集部
one-ope-joker	ワンオペJOKER	DCコミックス
oni-nagai-1971	鬼	コミックス
onmitsukenshi	隠密剣士	宣弘社
ookami-game	狼ゲーム	スタジオわさび
oooku-2012	大奥	フジテレビジョン
operation-g-g	オペレーションG.G	さいとうプロダクション
orion-no-shounen	オリオンの少年	ブロッコリー・神あそ製作委員会
oshi-no-tame-no-isekai-wedding-produce	推しのための異世界ウェディングプロデュース!	エンドルフィン株式会社
paradox-live-stage-battle-comic	Paradox Live stage battle comic	エイベックスピクチャーズ株式会社
paura	パウラ	説話社
plastic-doll	プラスティック・ドール	花とゆめコミックス編集部
pokettomonsutaa-diamond-pearl-ohanashi-series	ポケットモンスターダイヤモンド・パール　おはなしシリーズ	小学館集英社プロダクション
pon-no-michi	ぽんのみち	講談社
popo-sensei-ganbaru	ポポ先生がんばる!!	花とゆめコミックス編集部
project-x-chousensha-tachi	プロジェクトX挑戦者たち	NHKプロジェクトX制作班
psycho-pass-2	PSYCHO-PASS 2	サイコパス製作委員会
ragukomi	ラグこみ!	Comic Rush編集部
rainbowsentai	レインボー戦隊	スタジオ・ゼロ
raki-suta-comic-arakaruto	らき・すたコミックアラカルト	コンプティーク編集部
rd-sennou-chousashitsu	RD潜脳調査室	プロダクションI. G
reideen	REIDEEN	東北新社
return-2007	Return	スタジオナッツ
rindou	輪道	バディ・プロダクション
saikopasu-kanshikan-kougami-shinya	PSYCHO-PASS 監視官狡噛慎也	サイコパス製作委員会
sainome-hanjouki-r	賽の目繁盛記R	Dr.モロー＆スタジオ寿
sainome-hanjouki	賽の目繁盛記	Dr.モロー＆スタジオ寿
sairin-no-meshiya	再臨のメシヤ	ムーンワールド編集部
samurai-japan	さむらいJapan	ダイナミックプロダクション
sanjuu-kanokejima	三十棺桶島	安田達矢ダイナミック・プロダクション
