slug	title	our_author	src_author(種1/楽天)	誤ISBN数
boku-no-noroi-no-kyuuketsuki	僕の呪いの吸血姫	雨水龍	金井千咲貴	8
caste-heaven	カーストヘヴン	北畠アケ乃	緒川千世	8
chuugoku-gekiga-sonshi-no-heihou	中国劇画孫子の兵法	(unknown)	陳舜臣	8
damasare-uragirare-shokei-sareta-watashi-ga-dare-o-shinjirareruto-iunodeshou	騙され裏切られ処刑された私が……誰を信じ	トビラノ;壱川イチカ	amao;榊万桜;麻先ミチ	8
deadpool-samurai	デッドプール	duggangerry	ゲリーデュガン;ジェリーダガン;ジョ;スコ;スコ	8
desu-raba	デスラバ	百井一途	カズタカ;智弘カイ	8
diamond-no-kouzai	ダイヤモンドの功罪	青佐ノリ	平井大橋	8
dorei-yuugi-guren	奴隷遊戯GUREN	モチ漫画家;赤沢佳	ヤマイナナミ;井深ミツ;木村隆志	8
fukushuu-no-dokko-riwaindo	復讐の毒鼓REWIND	トキヮ	meenxbaekdoo	8
gurazeni-dairiiguhen	グラゼニ～大リーグ編～	アダチケイジ;コージィ城倉	森高夕次;足立金太郎	8
guruguru-kakumei	ぐるぐる革命	(unknown)	ノアール出版	8
haikei-catalog-mangaka-animeetaa-hikkei-no-shashin-shiryoushuu	背景カタログ	(unknown)	マール社	8
harebare-hiyori	晴れ晴れ日和	石津カユ	吉村佳	8
honoo-no-ryourinin-shuu-tomitoku	炎の料理人周富徳	今泉伸二;城アラキ	kisho;荒仁	8
hyakuren-no-haou-to-seiyaku-no-valkyria	百錬の覇王と聖約の戦乙女	pole	chany;ユキサン;鷹山誠一	8
ikinari-saishuukai	いきなり最終回	コミックvow制作委員会	佐々木守;別冊宝島編集部;大和和紀;庄司陽子;松	8
isekai-de-outaishihi-hajimemashita	異世界で、王太子妃はじめました。	日乃チハヤ;片山令子	武村ユミコ;汐邑雛	8
isekai-ryouchi-kaikaku	異世界領地改革	クロノヤミ;ユウコトリトリ	イシバシヨウスケ;サクラ夏希;布袋三	8
iyagatteru-kimi-ga-suki	嫌がってるキミが好き	鈴木ミニラ	鬼山瑞樹	8
kanchigai-no-atelier-maisutaa	勘違いの工房主(アトリエマイスター)	kuhnandy;パクゴヌン	ゾウノセ;古川奈春;時野洋輔	8
karada-kasanete-kasanatte	カラダ、重ねて、重なって	ガッキー	iko	8
kimi-ga-kemono-ni-naru-mae-ni	君が獣になる前に	佐野隆	サノ隆	8
kimi-wa-nazotoki-no-mashieri	きみは謎解きのマシェリ	秋山シノ	糸ナツミ	8
kirinji-gate	キリンジゲート	ウヒョ助	塚脇永久;渋川難波	8
koi-to-yobu-niwa-kimochiwarui	恋と呼ぶには気持ち悪い	上田アキ	モグス	8
majime-dakedo-shitaindesu	まじめだけど、したいんです!	桜井飛鳥	嘉村朗	8
marusei	マルセイ!!	サカメガネ	鯨川リョウ	8
master-grape	MASTERグレープ	辺天使	土塚理弘;高橋アキラ	8
midara-na-ao-chan-wa-benyou-ga-dekinai	淫らな青ちゃんは勉強ができない	神田ハルカ	カワハラ恋	8
mukai-usagidou-nikki	向ヒ兎堂日記	海月レオナ	鷹野久	8
nagasaremono	流され者	甲良幹二郎	葉山伸	8
naisho-no-yoshuu	ないしょの予習	奥田薫	森井暁正	8
nobo-san-to-kanojo	のぼさんとカノジョ?	ハイソンヤギ	モリコロス	8
okoshiyasu-chitose-chan	おこしやす、ちとせちゃん	日本ノ怪村研究会	夏目靫子	8
onee-chan-wa-koiyoukai	お姉ちゃんは恋妖怪	ムツキ潤	青島カナエ	8
onee-shikkaku	オネエ失格	飛世	冴月ユト	8
onigiri-san-no-sentaku	鬼桐さんの洗濯	霜風ルミ	フカサクエミ	8
onna-kenji-reona	女検事・玲緒奈	鷲尾和哉	タムロ未知;北原雄二	8
