slug	title	版type	label	最大ギャップ年	pattern	飛び位置	年範囲	vol1状態	巻数
himematsu-hoshikuzu-koujou	姫松星屑工場	standard	通常版	107	OLD_FIRST	v1(1899)→v2(2006)	1899-2006		2
mahou-yashiki	魔法屋敷	standard	通常版	71	OLD_FIRST	v1(1952)→v2(2023)	1952-2023	ISBN無	2
saigou-takamori	西郷隆盛	bunkobon	文庫版	68	OLD_FIRST	v1(1930)→v2(1998)	1930-1998	ISBN無	4
uchuu-sensou	宇宙戦争	standard	通常版	65	OLD_FIRST	v1(1955)→v2(2020)	1955-2021	ISBN無	3
yami	闇	standard	通常版	62	MID_GAP	v2(1960)→v3(2022)	1960-2022	ISBN無	3
ippei-zenshuu	一平全集	standard	通常版	61	MID_GAP	v15(1930)→v16(1991)	1930-1991	ISBN無	20
tsumitobatsu	罪と罰	standard	通常版	59	MID_GAP	v2(1953)→v3(2012)	1953-2013	ISBN無	4
g-men	Gメン	standard	通常版	57	MID_GAP	v6(1959)→v7(2016)	2015-2018		18
gankutsuou	巌窟王	standard	通常版	56	OLD_FIRST	v1(1950)→v2(2006)	1950-1980	ISBN無	4
futaribocchi	ふたりぼっち	standard	通常版	55	OLD_FIRST	v1(1963)→v2(2018)	1963-2020	ISBN無	4
muyounosuke	無用ノ介	standard	通常版	54	MID_GAP	v10(1969)→v11(2023)	1969-1970	ISBN無	15
bugeikikou	武芸紀行	standard	通常版	53	MID_GAP	v3(1967)→v4(2020)	1966-2020	ISBN無	4
big-x	ビッグX	standard	通常版	51	MID_GAP	v4(1972)→v5(2023)	1972-2023	ISBN無	5
robot-kun	ロボットくん	standard	通常版	50	OLD_FIRST	v1(1959)→v3(2009)	1959-2009	ISBN無	5
ultraman-kazumine-1968	ウルトラマン	standard	通常版	50	MID_GAP	v2(1968)→v3(2018)	1968-2018	ISBN無	3
kumasannoshiki	クマさんの四季	standard	通常版	49	OLD_FIRST	v1(1976)→v2(2025)	1976-2025	ISBN無	2
ougon-bat-yamane-2023	黄金バット	standard	通常版	49	MID_GAP	v2(1975)→v3(2024)	1975-2024	ISBN無	3
ninjabugeichoukagemaruden	忍者武芸帳	standard	通常版	48	MID_GAP	v16(1962)→v17(2010)	1970-2010	ISBN無	17
dorobou-chan	どろぼうちゃん	standard	通常版	47	MID_GAP	v2(1976)→v3(2023)	1975-2023	ISBN無	4
mad-dog	MAD DOG	standard	通常版	47	MID_GAP	v2(1970)→v3(2017)	1983-2017	ISBN無	3
12shokumonogatari	12色物語	standard	通常版	44	OLD_FIRST	v1(1982)→v2(2026)	1982-2026	ISBN無	2
boku-no-songokuu	ぼくの孫悟空	bunkobon	文庫版	44	MID_GAP	v3(1957)→v4(2001)	2001-2001		4
friends-fujimi-2024	フレンズ	standard	通常版	44	OLD_FIRST	v1(1980)→v2(2024)	1980-2025	ISBN無	3
gegege-no-kitarou	ゲゲゲの鬼太郎	standard	通常版	44	MID_GAP	v12(1975)→v13(2019)	1975-1986	ISBN無	15
oozora-no-chikai	大空のちかい	standard	通常版	44	MID_GAP	v2(1963)→v3(2007)	1963-1964	ISBN無	4
saiyuuki-2023	西遊記	standard	通常版	44	OLD_FIRST	v1(1979)→v2(2023)	1979-2023	ISBN無	2
the-moon	ザ・ムーン	standard	通常版	44	OLD_FIRST	v1(1975)→v2(2019)	1975-2019	ISBN無	6
13gou-hasshinseyo	13号発進せよ	standard	通常版	43	MID_GAP	v2(1963)→v3(2006)	2006-2006		3
emuemu-santa	エムエム三太	standard	通常版	42	OLD_FIRST	v1(1968)→v3(2010)	1968-2010	ISBN無	3
jiraiya	児雷也	standard	通常版	42	OLD_FIRST	v1(1953)→v2(1995)	1953-1995	ISBN無	3
wakusei-robo-dangard-ace	惑星ロボダンガードA	standard	通常版	41	MID_GAP	v2(1978)→v3(2019)	1977-2019	ISBN無	3
benigumo	紅グモ	standard	通常版	40	OLD_FIRST	v1(1968)→v2(2008)	1968-2008	ISBN無	2
kokoro	心	standard	通常版	40	MID_GAP	v2(1957)→v3(1997)	1997-1997		4
mazin-garon	魔神ガロン	bunkobon	文庫版	40	OLD_FIRST	v1(1960)→v2(2000)	1960-2000	ISBN無	3
zerosen-koushinkyoku	ゼロ戦行進曲	standard	通常版	40	MID_GAP	v2(1968)→v3(2008)	1968-2008	ISBN無	3
gaki-deka	がきデカ	standard	通常版	39	MID_GAP	v22(1980)→v23(2019)	1975-2010	ISBN無	26
gingatetsudou-no-yoru	銀河鉄道の夜	standard	通常版	39	OLD_FIRST	v1(1984)→v2(2023)	1984-2023		2
makasetechouta	まかせて長太	standard	通常版	39	OLD_FIRST	v1(1966)→v2(2005)	1966-2005	ISBN無	2
roommate	ルームメイト	standard	通常版	39	OLD_FIRST	v1(1975)→v2(2014)	1975-2014	ISBN無	3
shikei-shikkounin-mine-1984	私刑執行人	standard	通常版	39	MID_GAP	v2(1985)→v3(2024)	1984-2024		3
shirato-sanpei-senshuu	白土三平選集	standard	通常版	39	MID_GAP	v2(1970)→v3(2009)	1970-1970	ISBN無	16
akai-fuushiya	赤い風車	standard	通常版	38	MID_GAP	v2(1968)→v3(2006)	1968-2006	ISBN無	3
ily	Ily	standard	通常版	38	OLD_FIRST	v1(1983)→v2(2021)	1983-2021	ISBN無	2
kumotori-zanpei	雲盗り暫平	standard	通常版	38	MID_GAP	v16(1986)→v17(2024)	1999-1990		34
murasaki	ムラサキ	standard	通常版	38	MID_GAP	v2(1983)→v3(2021)	1983-2022	ISBN無	5
norainu-no-oka	のら犬の丘	standard	通常版	38	MID_GAP	v3(1969)→v4(2007)	1968-1970	ISBN無	7
the-bokusaa	ザ・ボクサー	standard	通常版	38	MID_GAP	v2(1986)→v3(2024)	1986-2024		3
1	1・2作戦	standard	通常版	37	OLD_FIRST	v1(1969)→v3(2006)	1969-2006	ISBN無	2
ginga-tetsudou-no-yoru	銀河鉄道の夜	standard	通常版	37	OLD_FIRST	v1(1984)→v2(2021)	1984-2021		2
kamen-no-ninja-akakage	仮面の忍者赤影	standard	通常版	37	MID_GAP	v2(1970)→v3(2007)	1970-2007	ISBN無	3
kinpeibai	金瓶梅	standard	通常版	37	OLD_FIRST	v1(1968)→v2(2005)	1968-2018	ISBN無	38
norakuro-joutouhei	のらくろ上等兵	standard	通常版	37	OLD_FIRST	v1(1932)→v2(1969)	1932-1969	ISBN無	5
sengoku-jieitai	戦国自衛隊	standard	通常版	37	OLD_FIRST	v1(1985)→v2(2022)	1985-2022		4
the-skull-man	スカルマン	standard	通常版	37	OLD_FIRST	v1(1970)→v2(2007)	1970-2001	ISBN無	6
akatsuki-sentoutai	あかつき戦闘隊	standard	通常版	36	MID_GAP	v2(1969)→v3(2005)	1969-2005	ISBN無	5
norakuro-gochou	のらくろ伍長	standard	通常版	36	MID_GAP	v2(1933)→v3(1969)	1933-1969	ISBN無	6
anmitsuhime	あんみつ姫	standard	通常版	35	MID_GAP	v2(1952)→v3(1987)	1986-1987		4
engokukou	怨獄紅	standard	通常版	35	OLD_FIRST	v1(1971)→v3(2006)	1971-2006	ISBN無	2
hakushaku-reijou	伯爵令嬢	standard	通常版	35	MID_GAP	v4(1981)→v5(2016)	1979-2021		12
norakuro-gunsou	のらくろ軍曹	standard	通常版	35	MID_GAP	v2(1934)→v3(1969)	1934-1969	ISBN無	6
snow	スノウ	standard	通常版	35	OLD_FIRST	v1(1990)→v2(2025)	1990-2025		2
tank-tankuro	タンク・タンクロー	standard	通常版	35	MID_GAP	v4(1935)→v5(1970)	1934-1970	ISBN無	7
tetsujin-28-gou	鉄人28号	standard	通常版	35	MID_GAP	v10(1971)→v11(2006)	1958-2007	ISBN無	24
uchuu-tetsujin-kyoodain	宇宙鉄人キョーダイン	standard	通常版	35	OLD_FIRST	v1(1976)→v3(2011)	1976-2011	ISBN無	2
yaguruma-kennosuke	矢車剣之助	standard	通常版	35	OLD_FIRST	v1(1958)→v2(1993)	1958-1996	ISBN無	10
norakuro-souchou	のらくろ曹長	standard	通常版	34	MID_GAP	v4(1935)→v5(1969)	1935-1969	ISBN無	5
sabaku-no-maou	沙漠の魔王	standard	通常版	34	OLD_FIRST	v1(1978)→v2(2012)	1978-1952	ISBN無	5
mikio-to-mikio	みきおとミキオ	standard	通常版	33	OLD_FIRST	v1(1978)→v19(2011)	1978-2011	ISBN無	2
nippon-chinbotsu	日本沈没	standard	通常版	33	MID_GAP	v4(1974)→v5(2007)	1973-2009	ISBN無	15
norakuro-shoutaichou	のらくろ小隊長	standard	通常版	33	OLD_FIRST	v1(1936)→v2(1969)	1936-1969	ISBN無	5
trickster-2016	TRICKSTER	standard	通常版	33	OLD_FIRST	v1(1984)→v2(2017)	1984-2017	ISBN無	2
cho-hakkai	Cho八戒	standard	通常版	32	MID_GAP	v2(1990)→v3(2022)	2022-1991		4
kamen-rider-2011	仮面ライダー	standard	通常版	32	MID_GAP	v2(1979)→v3(2011)	2011-2011		3
kitarouyawa	鬼太郎夜話	bunkobon	文庫版	32	OLD_FIRST	v1(1992)→v3(2024)	1992-2024		2
mappira-kun	まっぴら君	standard	通常版	32	OLD_FIRST	v1(1956)→v2(1988)	1956-1988	ISBN無	10
norakuro-shoui	のらくろ少尉	standard	通常版	32	MID_GAP	v2(1937)→v3(1969)	1937-1969	ISBN無	6
norakuro-soukougeki	のらくろ総攻撃	standard	通常版	32	OLD_FIRST	v1(1937)→v2(1969)	1937-1969	ISBN無	2
shiritsu-kiwamemichi-koukou	私立極道高校	standard	通常版	32	OLD_FIRST	v1(1980)→v3(2012)	1980-2012	ISBN無	2
ao-no-6-gou	青の6号	standard	通常版	31	MID_GAP	v3(1967)→v4(1998)	1967-1998	ISBN無	5
denjin-arrow	電人アロー	standard	通常版	31	OLD_FIRST	v1(1968)→v2(1999)	1968-1968	ISBN無	5
ginga-tetsudou-no-yoru-miyazawa-1992	銀河鉄道の夜	standard	通常版	31	OLD_FIRST	v1(1992)→v2(2023)	1992-2023		2
ginrou-ni-kodoku-o-mita	銀狼に孤独をみた	standard	通常版	31	MID_GAP	v2(1986)→v3(2017)	1986-2017	ISBN無	3
kojiki	古事記	standard	通常版	31	OLD_FIRST	v1(1982)→v2(2013)	1982-2019	ISBN無	3
kokurikozaka-kara	コクリコ坂から	standard	通常版	31	MID_GAP	v2(1980)→v3(2011)	1980-2011	ISBN無	4
kyuukyoku-choujin-aaru	究極超人あ～る	standard	通常版	31	MID_GAP	v9(1987)→v10(2018)	1986-2018		10
miseinen	未成年	standard	通常版	31	OLD_FIRST	v1(1988)→v2(2019)	1988-2019		2
norakuro-buyuudan	のらくろ武勇談	standard	通常版	31	OLD_FIRST	v1(1938)→v2(1969)	1938-1969	ISBN無	5
norakuro-kesshi-taichou	のらくろ決死隊長	standard	通常版	31	OLD_FIRST	v1(1938)→v2(1969)	1938-1969	ISBN無	2
patman-x	パットマンX	standard	通常版	31	OLD_FIRST	v1(1968)→v2(1999)	1968-1999	ISBN無	5
romancing-saga-2	Romancing Sa・Ga 2	standard	通常版	31	OLD_FIRST	v1(1994)→v2(2025)	1994-2025		3
sai	菜	standard	通常版	31	MID_GAP	v5(1994)→v6(2025)	2008-1998		11
seishuku-ni-tensai-tadaima-benkyouchuu	静粛に、天才只今勉強中!	standard	通常版	31	MID_GAP	v6(1986)→v7(2017)	1984-1989		11
watashi-dake-ga-shitte-iru	わたしだけが知っている	standard	通常版	31	OLD_FIRST	v1(1994)→v3(2025)	1994-2025		2
hakaba-kitarou	墓場鬼太郎	bunkobon	文庫版	30	MID_GAP	v3(1976)→v4(2006)	1976-2007	ISBN無	6
hoshi-ni-negai-o-2001	星に願いを	standard	通常版	30	OLD_FIRST	v1(1974)→v2(2004)	1974-2004	ISBN無	2
norakuro-tankentai	のらくろ探検隊	standard	通常版	30	MID_GAP	v2(1939)→v3(1969)	1939-1969	ISBN無	4
sengoku-jieitai-2014	戦国自衛隊	standard	通常版	30	OLD_FIRST	v1(1985)→v2(2015)	1985-2017		4
shinin-gari	死人狩り	standard	通常版	30	OLD_FIRST	v1(1964)→v2(1994)	1964-1995	ISBN無	3
akuma-no-youna-aitsu	悪魔のようなあいつ	standard	通常版	29	MID_GAP	v2(1975)→v3(2004)	2004-2004		3
hatsumeisonta	発明ソン太	standard	通常版	29	MID_GAP	v2(1981)→v3(2010)	1981-2010	ISBN無	3
heike-monogatari-2011	平家物語	standard	通常版	29	OLD_FIRST	v1(1982)→v2(2011)	1982-2011	ISBN無	2
koigatari	恋語り	standard	通常版	29	OLD_FIRST	v1(1985)→v2(2014)	1985-2014	ISBN無	2
kokoro-natsume-2023	こころ	standard	通常版	29	OLD_FIRST	v1(1994)→v2(2023)	1994-2023		2
maou-dante	魔王ダンテ	standard	通常版	29	MID_GAP	v2(1973)→v3(2002)	1984-2004		4
otoko-zaka	男坂	standard	通常版	29	MID_GAP	v3(1985)→v4(2014)	1985-2024		11
ribonnokishi	リボンの騎士	standard	通常版	29	MID_GAP	v5(1972)→v6(2001)	1969-2001	ISBN無	6
shounen-keniya	少年ケニヤ	bunkobon	文庫版	29	MID_GAP	v13(1955)→v18(1984)	1953-1984	ISBN無	14
x-men-1994-3	X-MEN	standard	通常版	29	OLD_FIRST	v1(1994)→v2(2023)	1994-1995		11
x-men-1994-5	X-MEN	standard	通常版	29	OLD_FIRST	v1(1994)→v2(2023)	1994-1995		11
x-men-1994	X-MEN	standard	通常版	29	OLD_FIRST	v1(1994)→v2(2023)	1994-1995		10
kurenai	紅	standard	通常版	28	OLD_FIRST	v1(1980)→v2(2008)	1980-2012	ISBN無	10
robot-santou-hei	ロボット三等兵	standard	通常版	28	MID_GAP	v2(1969)→v3(1997)	1995-1989		8
shin-attack-no-1	新アタックNo.1	standard	通常版	28	MID_GAP	v2(1977)→v3(2005)	1977-2005	ISBN無	3
christmas-carol	クリスマス・キャロル	standard	通常版	27	OLD_FIRST	v1(1996)→v2(2023)	1996-2023		2
cutey-honey	キューティーハニー	standard	通常版	27	MID_GAP	v2(1974)→v3(2001)	1974-2001	ISBN無	3
douran	動乱	standard	通常版	27	OLD_FIRST	v1(1980)→v2(2007)	1980-2007	ISBN無	4
golgo-13	ゴルゴ13	standard	通常版	27	MID_GAP	v41(1981)→v42(2008)	1988-2025		219
hamusarada-kun	ハムサラダくん	standard	通常版	27	MID_GAP	v2(1980)→v3(2007)	1979-2007	ISBN無	3
kinpeibai-watanabe-1995	金瓶梅	standard	通常版	27	OLD_FIRST	v1(1968)→v2(1995)	1968-1998	ISBN無	4
kitaru-beki-sekai	来るべき世界	standard	通常版	27	OLD_FIRST	v1(1951)→v2(1978)	1951-1978	ISBN無	2
mama-urino-2013	MAMA	standard	通常版	27	OLD_FIRST	v1(1986)→v2(2013)	1986-2015	ISBN無	6
oda-nobunaga-akizuki-1991	織田信長	standard	通常版	27	OLD_FIRST	v1(1991)→v3(2018)	1991-2018		2
sazae-san	サザエさん	standard	通常版	27	OLD_FIRST	v50(1968)→v51(2021)	1949-2021	ISBN無	68
shinpan-himitsu-tantei-jieiei	秘密探偵JA	bunkobon	文庫版	27	MID_GAP	v4(1982)→v5(2009)	2009-1983		14
ushironohyakutarou	うしろの百太郎	standard	通常版	27	MID_GAP	v7(1975)→v8(2002)	1974-2002	ISBN無	8
hinotori	火の鳥	bunkobon	文庫版	26	MID_GAP	v13(1992)→v14(2018)	1992-2018		14
kaen-mazin	火閻魔人	standard	通常版	26	OLD_FIRST	v1(1987)→v2(2013)	1987-2013		2
kagegari	影狩り	standard	通常版	26	MID_GAP	v2(1972)→v3(1998)	1972-2021	ISBN無	17
kitchen-paradise	キッチンぱらだいす	standard	通常版	26	OLD_FIRST	v1(1994)→v2(2020)	1994-2020		2
last-continent	ラスト・コンチネント	standard	通常版	26	MID_GAP	v2(1988)→v3(2014)	1986-2014		3
osomatsu-kun	おそ松くん	standard	通常版	26	MID_GAP	v10(1979)→v11(2005)	1979-1989	ISBN無	34
shihonron	資本論	standard	通常版	26	OLD_FIRST	v1(1983)→v2(2009)	1983-2009	ISBN無	2
super-jetter	スーパー・ジェッター	standard	通常版	26	MID_GAP	v2(1981)→v3(2007)	1981-2007	ISBN無	3
ushinawareta-muu-tairiku	失われたムー大陸	standard	通常版	26	OLD_FIRST	v1(1979)→v6(2005)	1979-2005	ISBN無	2
ben-hur	ベン・ハー	standard	通常版	25	OLD_FIRST	v1(1960)→v2(1985)	1960-1985	ISBN無	2
buriki-zaiku-no-to-tan-yane	ブリキ細工のトタン屋根	standard	通常版	25	OLD_FIRST	v1(1983)→v2(2008)	1983-1984		5
drsuranpu	Dr.スランプ	standard	通常版	25	MID_GAP	v7(1982)→v8(2007)	1990-1985	ISBN無	18
flower-2012	フラワー	standard	通常版	25	OLD_FIRST	v1(1987)→v2(2012)	1987-2012	ISBN無	2
gendaijuukyouden	現代柔侠伝	standard	通常版	25	OLD_FIRST	v1(1974)→v2(1999)	1974-1977	ISBN無	11
haikara-san-ga-tooru	はいからさんが通る	standard	通常版	25	MID_GAP	v7(1977)→v8(2002)	1975-1977	ISBN無	9
inazuman	イナズマン	standard	通常版	25	MID_GAP	v3(1974)→v4(1999)	1974-1999	ISBN無	4
itchoume-no-torakichi	一丁目のトラ吉	standard	通常版	25	MID_GAP	v6(1986)→v7(2011)	1983-1988	ISBN無	10
k-shitsuki-1988	K	standard	通常版	25	OLD_FIRST	v1(1988)→v2(2013)	1988-2013	ISBN無	3
kowai-hon	こわい本	bunkobon	文庫版	25	MID_GAP	v2(1996)→v3(2021)	1996-2022		11
kureyon-days	くれよん・でいず	standard	通常版	25	MID_GAP	v2(1988)→v3(2013)	1985-2013		4
mad-buru-34	マッド・ブル34	standard	通常版	25	MID_GAP	v19(1990)→v20(2015)	1987-2015		27
umezu-kazuo-kowai-hon	楳図かずおこわい本	bunkobon	文庫版	25	MID_GAP	v2(1996)→v3(2021)	1996-2022		11
yuureigari	幽霊狩り	standard	通常版	25	OLD_FIRST	v1(1975)→v2(2000)	1975-2000		2
zoku-kowai-hon	ゾクこわい本	bunkobon	文庫版	25	MID_GAP	v2(1996)→v3(2021)	1996-2022		11
arslan-senki	アルスラーン戦記	standard	通常版	24	MID_GAP	v13(1996)→v14(2020)	1991-2026		24
banana-fish	BANANA FISH	standard	通常版	24	MID_GAP	v19(1994)→v20(2018)	1987-2018		20
chou-shoujo-asuka	超少女明日香	standard	通常版	24	OLD_FIRST	v1(1976)→v2(2000)	1976-2000	ISBN無	6
hard-core	ハード・コア	standard	通常版	24	OLD_FIRST	v1(1993)→v2(2017)	1993-2017		4
hyouman	豹マン	standard	通常版	24	OLD_FIRST	v1(1981)→v3(2005)	1981-2005	ISBN無	2
kunoichi-torimonochou	くノ一捕物帖	standard	通常版	24	OLD_FIRST	v1(1974)→v2(1998)	1974-1998	ISBN無	2
minna-agechau	みんなあげちゃう	bunkobon	文庫版	24	MID_GAP	v2(1984)→v3(2008)	1984-2009		13
nihonnorekishi	日本の歴史	standard	通常版	24	MID_GAP	v18(1968)→v19(1992)	1967-1993	ISBN無	20
nippon-no-rekishi-2007-2	日本の歴史	standard	通常版	24	MID_GAP	v18(1968)→v19(1992)	1967-1993	ISBN無	20
red-mask	レッドマスク	standard	通常版	24	MID_GAP	v2(1988)→v3(2012)	1988-1989	ISBN無	4
rondo-capriccioso	ロンド・カプリチオーソ	standard	通常版	24	OLD_FIRST	v1(1976)→v2(2000)	1976-2000	ISBN無	2
takeda-shingen	武田信玄	bunkobon	文庫版	24	OLD_FIRST	v1(1969)→v2(1993)	1969-1997	ISBN無	5
umi-no-ouji	海の王子	standard	通常版	24	MID_GAP	v3(1960)→v4(1984)	1960-1961	ISBN無	5
yamato-takeru	ヤマトタケル	standard	通常版	24	MID_GAP	v2(1991)→v3(2015)	1988-2018		6
akai-tenshi	赤い天使	standard	通常版	23	OLD_FIRST	v1(1982)→v2(2005)	1982-2005	ISBN無	2
aoi-hanabira	青い花びら	standard	通常版	23	OLD_FIRST	v1(1958)→v2(1981)	1958-1981	ISBN無	2
atagoul	アタゴオル	standard	通常版	23	OLD_FIRST	v1(1978)→v2(2001)	1978-2005		4
derorinman	デロリンマン	standard	通常版	23	MID_GAP	v2(1976)→v3(1999)	1976-1999	ISBN無	3
kuroi-kizuato-no-otoko	黒い傷痕の男	standard	通常版	23	OLD_FIRST	v1(1977)→v3(2000)	1977-2000	ISBN無	5
love-peace	Love ＆ Peace	standard	通常版	23	OLD_FIRST	v1(1995)→v2(2018)	1995-2018		2
meioukeikakuzeoraimaa	冥王計画ゼオライマー	standard	通常版	23	OLD_FIRST	v1(1986)→v2(2009)	1986-2017	ISBN無	13
project-zeoraimaa-omega	冥王計画ゼオライマーΩ	standard	通常版	23	OLD_FIRST	v1(1986)→v2(2009)	1986-2017	ISBN無	13
sugata-sanshirou	姿三四郎	standard	通常版	23	OLD_FIRST	v1(1954)→v2(1977)	1954-1978	ISBN無	7
teizokureigari	低俗霊狩り	standard	通常版	23	MID_GAP	v3(1993)→v4(2016)	1987-2016		5
uchuu-sakusen-dai-ichigou	宇宙作戦第一号	standard	通常版	23	OLD_FIRST	v1(1958)→v2(1981)	1958-1981	ISBN無	2
versailles-no-bara	ベルサイユのばら	standard	通常版	23	MID_GAP	v12(1994)→v13(2017)	1972-2017		14
8	8マン	standard	通常版	22	MID_GAP	v5(1968)→v6(1990)	1968-1990	ISBN無	7
babiru-2sei	バビル2世	standard	通常版	22	MID_GAP	v11(1973)→v12(1995)	1972-1995		12
card-kyaputaa-sakura	カードキャプターさくら	deluxe	デラックス版	22	MID_GAP	v12(2000)→v13(2022)	1996-2024		16
chako-chan-no-nikki	チャコちゃんの日記	standard	通常版	22	MID_GAP	v2(1968)→v3(1990)	1964-1968	ISBN無	5
daikichi-soba	大吉蕎麦	standard	通常版	22	OLD_FIRST	v1(2002)→v2(2024)	2002-2024		2
darkness-psycho	ダークネス・サイコ	standard	通常版	22	MID_GAP	v4(1993)→v5(2015)	1991-2015		7
giatrus	ギャートルズ	standard	通常版	22	OLD_FIRST	v1(1966)→v2(1988)	1966-1988	ISBN無	3
gin-to-kin	銀と金	standard	通常版	22	OLD_FIRST	v1(1992)→v2(2014)	1992-1996		11
great-mazinger	グレート・マジンガー	standard	通常版	22	MID_GAP	v2(1975)→v3(1997)	1975-1997	ISBN無	4
kinnikuman	キン肉マン	standard	通常版	22	MID_GAP	v36(1988)→v37(2010)	1980-2026	ISBN無	91
kowai-hon	こわい本	standard	通常版	22	MID_GAP	v4(1981)→v5(2003)	1981-2004	ISBN無	14
kurokishi-monogatari	黒騎士物語	standard	通常版	22	OLD_FIRST	v1(1986)→v2(2008)	1986-2008		2
orochi	おろち	standard	通常版	22	MID_GAP	v3(1984)→v4(2006)	1971-2006	ISBN無	6
red-eyes	red Eyes	deluxe	デラックス版	22	MID_GAP	v7(2003)→v27(2025)	2000-2025		8
shouko-no-file	翔子の事件簿	standard	通常版	22	OLD_FIRST	v1(1990)→v2(2012)	1990-2012		17
umezu-kazuo-kowai-hon	楳図かずおこわい本	standard	通常版	22	MID_GAP	v4(1981)→v5(2003)	1981-2004	ISBN無	14
zoku-kowai-hon	ゾクこわい本	standard	通常版	22	MID_GAP	v4(1981)→v5(2003)	1981-2004	ISBN無	14
crows-gaiden	クローズ外伝	standard	通常版	21	OLD_FIRST	v1(1995)→v2(2016)	1995-2016		2
hakkou-1985	白虹	standard	通常版	21	OLD_FIRST	v1(1985)→v2(2006)	1985-2008		4
hikaru-kaze	光る風	bunkobon	文庫版	21	MID_GAP	v2(1976)→v3(1997)	1976-1997	ISBN無	3
iga-no-kagemaru	伊賀の影丸	bunkobon	文庫版	21	MID_GAP	v8(1978)→v9(1999)	1977-1999	ISBN無	11
kigekishinshisoutaikei	喜劇新思想大系	bunkobon	文庫版	21	OLD_FIRST	v1(1976)→v3(1997)	1976-1997	ISBN無	2
kuzuryuu	九頭竜	bunkobon	文庫版	21	OLD_FIRST	v1(1983)→v2(2004)	1983-2004	ISBN無	2
last-order-2000	ラストオーダー	standard	通常版	21	MID_GAP	v2(2000)→v3(2021)	2000-2021	ISBN無	3
rihei-san-toko-no-obaa-chan	利平さんとこのおばあちゃん	standard	通常版	21	MID_GAP	v2(1985)→v3(2006)	1985-2006		3
roto-no-monshou	ロトの紋章	standard	通常版	21	MID_GAP	v21(1997)→v31(2018)	1991-2020		25
s	S	standard	通常版	21	OLD_FIRST	v1(1989)→v2(2010)	1989-2016		19
seiden-rg-veeda	聖伝 RG VEDA	standard	通常版	21	MID_GAP	v4(1991)→v5(2012)	2011-1996		8
shounen-ninja-butai-gekkou	少年忍者部隊月光	standard	通常版	21	OLD_FIRST	v1(1986)→v2(2007)	1986-2007		4
tsuukaa	つうかあ	standard	通常版	21	OLD_FIRST	v1(1997)→v2(2018)	1997-2018		2
zerozero-nine-one	009ノ1	standard	通常版	21	MID_GAP	v2(1985)→v3(2006)	1985-2006		5
abashiriikka	あばしり一家	bunkobon	文庫版	20	MID_GAP	v3(1977)→v4(1997)	1997-1978		6
anmitsuhime	あんみつ姫	bunkobon	文庫版	20	OLD_FIRST	v1(1956)→v3(1976)	1956-1976	ISBN無	2
birth-2002	BIRTH	standard	通常版	20	OLD_FIRST	v1(1983)→v9(2003)	1983-2003	ISBN無	2
chou-dokyuu-kuubo-yamato	超弩級空母大和	standard	通常版	20	OLD_FIRST	v1(1998)→v2(2018)	1998-2019		4
chouken-leap	超犬リープ	standard	通常版	20	OLD_FIRST	v1(1967)→v2(1987)	1967-2004	ISBN無	3
fuchin-senkan-kii	不沈戦艦紀伊	standard	通常版	20	OLD_FIRST	v1(1998)→v2(2018)	1998-2009		7
gegege-no-kitarou	ゲゲゲの鬼太郎	bunkobon	文庫版	20	MID_GAP	v2(1987)→v3(2007)	1986-2023		10
hadashi-no-gen	はだしのゲン	bunkobon	文庫版	20	MID_GAP	v5(1978)→v6(1998)	1977-1998	ISBN無	7
isshukuippan	一宿一飯	bunkobon	文庫版	20	OLD_FIRST	v1(1976)→v2(1996)	1976-1996	ISBN無	2
kakutoushi-rome-no-hoshi	格闘士ローマの星	standard	通常版	20	MID_GAP	v2(1979)→v3(1999)	1999-1999		3
kenrou-densetsu	犬狼伝説	standard	通常版	20	OLD_FIRST	v1(1990)→v3(2010)	1990-2010		2
kusabue-no-koro	草笛の季節	standard	通常版	20	OLD_FIRST	v1(1977)→v2(1997)	1977-1997	ISBN無	6
naporeon	ナポレオン	standard	通常版	20	OLD_FIRST	v1(1992)→v2(2012)	1992-2024	ISBN無	27
onna-shiokinin-zebura	女仕置人ゼブラ	standard	通常版	20	MID_GAP	v3(1989)→v4(2009)	2009-2009		6
ore-wa-sarutobi-da	おれは猿飛だ!	standard	通常版	20	OLD_FIRST	v1(1962)→v2(1982)	1962-1982	ISBN無	2
saiyuuki-1998	西遊記	standard	通常版	20	OLD_FIRST	v1(1979)→v2(1999)	1979-2005	ISBN無	4
shoujo-kakumei-utena	少女革命ウテナ	standard	通常版	20	MID_GAP	v5(1998)→v6(2018)	1997-2018		6
tetsujin-28-gou	鉄人28号	bunkobon	文庫版	20	MID_GAP	v11(1976)→v12(1996)	1976-2010	ISBN無	18
the-ultraman	ザ・ウルトラマン	standard	通常版	20	OLD_FIRST	v1(1978)→v2(1998)	1978-1980	ISBN無	4
ultraman-choutoushi-gekiden	ウルトラマン超闘士激伝	standard	通常版	20	MID_GAP	v6(1996)→v7(2016)	1993-2016	ISBN無	8
akage-no-an-matsuzaki	赤毛のアン	standard	通常版	19	OLD_FIRST	v1(1979)→v2(1998)	1979-1998	ISBN無	3
akuma-kun	悪魔くん	bunkobon	文庫版	19	MID_GAP	v2(1976)→v3(1995)	1976-1995	ISBN無	3
ashita-no-joe	あしたのジョー	standard	通常版	19	MID_GAP	v4(1970)→v5(1989)	1978-1973	ISBN無	20
