slug	title	版type	label	最大ギャップ年	pattern	飛び位置	年範囲	vol1状態	巻数
kannou-shousetsuka-wa-otome-ni-sasayaku	官能小説家は乙女にささやく	standard	通常版	6	OLD_FIRST	v1(2013)→v2(2019)	2013-2019		2
ki-tan-club	綺譚倶楽部	standard	通常版	6	MID_GAP	v2(1987)→v3(1993)	1987-1996	ISBN無	4
kibaken	牙拳	standard	通常版	6	MID_GAP	v2(1978)→v3(1984)	1978-1985	ISBN無	11
kiken-chitai-sennyuu-chousa-houkokusho	危険地帯潜入調査報告書	standard	通常版	6	OLD_FIRST	v1(2019)→v2(2025)	2019-2025		2
kimi-no-shiroi-hane	君の白い羽根	standard	通常版	6	OLD_FIRST	v1(1995)→v2(2001)	1995-2001		2
kingyoya-koshoten	金魚屋古書店	standard	通常版	6	MID_GAP	v16(2014)→v17(2020)	2005-2020		17
kuchibiru-tameiki-sakurairo	くちびるためいきさくらいろ	standard	通常版	6	OLD_FIRST	v1(2006)→v2(2012)	2006-2012		2
kuma-kuma-kuma-bear	くまクマ熊ベアー	standard	通常版	6	MID_GAP	v11(2018)→v12(2024)	2018-2025		13
kurenai-ouji	紅心王子	standard	通常版	6	MID_GAP	v16(2014)→v17(2020)	2007-2020		18
kyouka-ayakashi-hichou	鏡花あやかし秘帖	standard	通常版	6	OLD_FIRST	v1(2012)→v3(2018)	2012-2018		2
line	ライン	standard	通常版	6	MID_GAP	v3(2002)→v4(2008)	1998-2008		4
mahoutsukai-no-konyakusha	魔法使いの婚約者	standard	通常版	6	MID_GAP	v4(2020)→v5(2026)	2018-2026		5
manga-kokoro-no-jugyou	マンガ『心の授業』	standard	通常版	6	OLD_FIRST	v1(2000)→v2(2006)	2000-2006		3
matataki-no-soonya	瞬きのソーニャ	standard	通常版	6	MID_GAP	v2(2014)→v3(2020)	2012-2020		3
