slug	title	authors	matched_title_core(著者の作品)	orig_status
aisareteru-baai-ja-nai-no	愛されてる場合じゃないの	ソラジマ;編乃肌	愛サレテル場合ジャナイノ2	NOT_FOUND
aiseki-iidesuka	相席いいですか?	河上ダイシロウ	相席イイデスカ2	NOT_FOUND
aishitagari-no-maison	愛したがりのメゾン	里中実華	愛シタガリノメゾン3	NOT_FOUND
aishitai-no-wa-omae-dake	愛したいのは、お前だけ	灯美咲;百均	愛シタイノハ、オ前ダケ天才外科医ノ甘イ策略2	NOT_FOUND
aishota	アイショタ	丸山有香;清瀨赤目	アイショタidolshowtimetwinklingmemory	NOT_FOUND
aisuru-anata-wa-oshi-de-ou-sama	愛するあなたは推しで王様	辻永ヒツジ	愛スルアナタハ推シデ王様異世界恋愛記	NOT_FOUND
aisuru-otome-ni-kuchizuke-o	愛する乙女にくちづけを	天音佑湖	愛スル乙女ニクチヅケヲメロディノ事件簿4	NOT_FOUND
aizawa-koharu-wa-shiniisogu	逢沢小春は死に急ぐ	胡原オミ	逢沢小春ハ死ニ急グ3	NOT_FOUND
aka-no-tachi	あかのたち	海道チトセ	アカノタチ3	NOT_FOUND
akagami-ga-kita-neko	赤紙がきた猫	矢野満月	赤紙ガキタ猫4	NOT_FOUND
akage-no-toa-to-tsumi-no-kishidan	赤毛のトアと罪の騎士団	七星ドミノ;西実サク	赤毛ノトアト罪ノ騎士団2	NOT_FOUND
akage-no-yakutatazu-to-kubi-ni-natta-maryoku-nashi-no-majo-desu-yakusou-no-chishiki-ga-hanpanai-to	「赤毛の役立たず」とクビになった魔力なしの魔女ですが、「薬草の知識がハンパない!」と王立研究所に即採用されました。	天宮コナツ;広路ナユル	「赤毛ノ役立タズ」トクビニナッタ魔力ナシノ魔女デスガ、「薬草ノ知識ガハンパナイ」ト王立研究所ニ即採用サレマシタ5	NOT_FOUND
akago-san-wa-kaku-katareri	赤子さんはかく語れり	魅月乱	赤子サンハカク語レリ3	NOT_FOUND
akai-hitomi-no-hai-ouji	赤い瞳の廃皇子	dalsaeowl	赤イ瞳ノ廃皇子1	NOT_FOUND
akai-kyuuden	赤い宮殿	山本マユリ	新霊能者緒方克巳シリズ赤イ宮殿	NOT_FOUND
akai-shundou	あかい蠢動	園山二美	蠢動	NOT_FOUND
akanabe-sensei-wa-tereshirazu	茜部先生は照れ知らず	多治見尚哉	茜部先生ハ照レ知ラズ4	NOT_FOUND
akane-banashi	あかね噺	末永裕樹;馬上鷹将	アカネ噺21	NOT_FOUND
akane-sasu-zakuro-no-miyako	あかねさす柘榴の都	福浪優子	アカネサス柘榴ノ都3	NOT_FOUND
akatsuka-fujio-manga-daizenshuu-diividii-romu	赤塚不二夫漫画大全集DVD-ROM	赤塚不二夫	赤塚不二夫漫画大全集7	NOT_FOUND
