sid	title	signals	n_authors	confidence
133275	〔○生〕パニック24時読者投稿ベスト 頭真っ白パニくり体験!ガクブル鳥肌スクープ	巻内多作家	22	低(要確認)
133276	〔○生〕ブラックお仕事ウラ話読者投稿ベスト	巻内多作家	22	低(要確認)
133279	〔○生〕職場の変なひと読者投稿ベスト 前代未聞のキモリーマン＆ヘンテコOL大集合	巻内多作家	22	低(要確認)
133781	いただき〔□／〕幸せごはん	巻内多作家	22	低(要確認)
133782	いただき〔□／〕幸せごはん	巻内多作家	22	低(要確認)
133785	いただき〔□／〕幸せごはん	巻内多作家	22	低(要確認)
133787	いただき〔□／〕幸せごはん	巻内多作家	22	低(要確認)
136214	つぼみ	巻内多作家	22	低(要確認)
136894	ばく盛!本当にあった〔○生〕ここだけの話祭	巻内多作家	22	低(要確認)
137248	ぷち本当にあった愉快な話ヒミツの初体験SP	巻内多作家	22	低(要確認)
137251	ぷち本当にあった愉快な話激ヤバ!!死ぬかと思ったSP	巻内多作家	22	低(要確認)
137253	ぷち本当にあった愉快な話突撃!!夜遊びSP	巻内多作家	22	低(要確認)
137258	ぷち本当にあった愉快な話隣の危険人物SP	巻内多作家	22	低(要確認)
137614	まんがこれが現実貧しい日本	巻内多作家	22	低(要確認)
137659	まんが実録日本重大事件の闇解明SP	巻内多作家	22	低(要確認)
141692	スゴ盛!本当にあった〔○生〕ここだけの話極	巻内多作家	22	低(要確認)
141693	スゴ盛!本当にあった〔○生〕ここだけの話極	巻内多作家	22	低(要確認)
141694	スゴ盛!本当にあった〔○生〕ここだけの話極	巻内多作家	22	低(要確認)
142196	ゾンビローンローン	巻内多作家	22	低(要確認)
145529	メガ盛!!本当にあった愉快な話ブラックお仕事SP	巻内多作家	22	低(要確認)
145530	メガ盛!!本当にあった愉快な話ブラック病院SP	巻内多作家	22	低(要確認)
