誤付与作品	誤の著者	何を	どう直す	正所有者	正の著者(NDL)	根拠	HIGH巻数	要確認巻数
ringo-takamochi	たかもちげん	除去すべきISBN 0巻(＋要確認3)	別作のISBN→「ringo-takamochi」から除去。正所有者「ringo」が保有	ringo	恋緒みなと	NDL著者=恋緒みなと(誤付与作の著者「たかもちげん」と不一致) / 楽天題=Ringo（1）	0	3
doubles-1992	小谷憲一	除去すべきISBN 0巻(＋要確認1)	別作のISBN→「doubles-1992」から除去。正所有者「doubles-1987」が保有	doubles-1987		NDL著者=(誤付与作の著者「小谷憲一」と不一致) / 楽天題=ダブルス	0	1
snow-2006	村上もとか	除去すべきISBN 0巻(＋要確認1)	別作のISBN→「snow-2006」から除去。正所有者「snow」が保有	snow	藤谷コマキ	NDL著者=藤谷コマキ(誤付与作の著者「村上もとか」と不一致) / 楽天題=スノウ	0	1
high	渡辺未知;登坂恵里香	除去すべきISBN 0巻(＋要確認1)	別作のISBN→「high」から除去。正所有者「hai-time」が保有	hai-time	耕野;裕子	NDL著者=耕野;裕子(誤付与作の著者「渡辺未知;登坂恵里香」と不一致) / 楽天題=はいTime-風子と一北	0	1
kowai-hon	楳図かずお	除去すべきISBN 0巻(＋要確認3)	別作のISBN→「kowai-hon」から除去。正所有者「(所有者不明)」が保有	(所有者不明)		NDL著者=(誤付与作の著者「楳図かずお」と不一致) / 楽天題=怨念	0	3
crusader	水縞とおる	除去すべきISBN 0巻(＋要確認1)	別作のISBN→「crusader」から除去。正所有者「crusader-kawaso-2002」が保有	crusader-kawaso-2002	とおる;水縞	NDL著者=とおる;水縞(誤付与作の著者「水縞とおる」と不一致) / 楽天題=クルセイダー（1）	0	1
kanon-usami-2003	宇佐美真紀	除去すべきISBN 0巻(＋要確認1)	別作のISBN→「kanon-usami-2003」から除去。正所有者「kanon」が保有	kanon	北里千寿	NDL著者=北里千寿(誤付与作の著者「宇佐美真紀」と不一致) / 楽天題=Canon	0	1
botsu-chan-no-jidai-1989	谷口ジロー;関川夏央	除去すべきISBN 0巻(＋要確認1)	別作のISBN→「botsu-chan-no-jidai-1989」から除去。正所有者「(所有者不明)」が保有	(所有者不明)		NDL著者=(誤付与作の著者「谷口ジロー;関川夏央」と不一致) / 楽天題=不機嫌亭漱石	0	1
botsu-chan-no-jidai	谷口ジロー;関川夏央	除去すべきISBN 0巻(＋要確認1)	別作のISBN→「botsu-chan-no-jidai」から除去。正所有者「(所有者不明)」が保有	(所有者不明)		NDL著者=(誤付与作の著者「谷口ジロー;関川夏央」と不一致) / 楽天題=不機嫌亭漱石	0	1
desire-1989	森園みるく	除去すべきISBN 0巻(＋要確認1)	別作のISBN→「desire-1989」から除去。正所有者「desire」が保有	desire	金沢有倖	NDL著者=金沢有倖(誤付与作の著者「森園みるく」と不一致) / 楽天題=Desire（2）	0	1
fire-emblem-thracia-776	たかなぎ優名	除去すべきISBN 0巻(＋要確認1)	別作のISBN→「fire-emblem-thracia-776」から除去。正所有者「fire-emblem-thracia-776-2000」が保有	fire-emblem-thracia-776-2000	たかなぎ優名	NDL著者=たかなぎ優名(誤付与作の著者「たかなぎ優名」と不一致) / 楽天題=ファイアーエムブレムトラキア776（第1集）	0	1
valkyrie-profile	藍山恵	除去すべきISBN 0巻(＋要確認2)	別作のISBN→「valkyrie-profile」から除去。正所有者「(所有者不明)」が保有	(所有者不明)		NDL著者=(誤付与作の著者「藍山恵」と不一致) / 楽天題=ヴァルキリープロファイル（第4集）	0	2
hitorijime-my-hero-2025	ありいめめこ	除去すべきISBN 0巻(＋要確認4)	別作のISBN→「hitorijime-my-hero-2025」から除去。正所有者「hitorijime-my-hero」が保有	hitorijime-my-hero	ありいめめこ	NDL著者=ありいめめこ(誤付与作の著者「ありいめめこ」と不一致) / 楽天題=ひとりじめマイヒーロー 10巻	0	4
hitorijime-my-hero	ありいめめこ	除去すべきISBN 0巻(＋要確認4)	別作のISBN→「hitorijime-my-hero」から除去。正所有者「(所有者不明)」が保有	(所有者不明)		NDL著者=(誤付与作の著者「ありいめめこ」と不一致) / 楽天題=	0	4
s-1999	山本夜羽音	除去すべきISBN 0巻(＋要確認1)	別作のISBN→「s-1999」から除去。正所有者「es」が保有	es		NDL著者=(誤付与作の著者「山本夜羽音」と不一致) / 楽天題=S	0	1
