slug	title	authors
inaka-no-kuro-gal-jieikee-to-kekkon-shimashita	田舎の黒ギャルJKと結婚しました	甘露アメ
incubus-datte-junai-shitai	インキュバスだって純愛したい	北川アジュ
inma-na-shachou-ni-yabai-cry-shuuchaku-sarete-imasu	淫魔な社長にヤバいくらい執着されています!?	吉舎和幸;森コサチ
invincible-iron-man-ironheart	インビンシブル・アイアンマン:アイアンハート	casellistefano;snyderscott
isekai-class-shoukan-saretara-r1-no-skill-o-kakutoku-shita-node-yaritai-houdai-sasete-moraimasu	異世界クラス召喚されたらR1〇のスキルを獲得したので、〇りたい放題させてもらいます!	ヒロノアキトミ
isekai-eebii-satsueitai	異世界AV撮影隊	checchettomarco
isekai-koutei-no-zettai-dekiai	異世界皇帝の絶対溺愛	七士七海
isekai-no-kouhi	異世界の皇妃	hashpub2021
isekai-ryouchi-kaikaku	異世界領地改革	クロノヤミ;ユウコトリトリ
isekai-saikou-no-kizoku-harem-o-fuyasu-hodo-tsuyoku-naru	異世界最高の貴族、ハーレムを増やすほど強くなる	木下聡志;海産物
isekai-toubou-no-aibou-wa-koi-o-shiranai-ouji-sama	異世界逃亡の相棒は恋を知らない王子様	八神凪
itsuki-to-yuusei	いつきと優成	九重千花
jadou-sniper	蛇道スナイパー	春名ヒロ
ji-majutsushi-no-tsuyokute-new-game	時魔術士の強くてニューゲーム	小田ヒロ;湊良弘
joou-denka-wa-oikari-no-youdesu	王女殿下はお怒りのようです	植田真太郎
junai-joutou	純愛上等!	家田明歩
junai-yakuza-to-dousei-seikatsu	純愛ヤクザと同棲生活	夏野チヨリ
juushin-sama-no-ikenie	獣神様の生贄	シロpub2024
juusou-reijou-morenet	重装令嬢モアネット	guidiguido;小見川ナマリ
k-san-drill	K-san drill	ジジ&ピンチ
kaburidani	カブリダニ	紙屋リナ
kachou-diet-no-ojikan-desu	課長!ダイエットのお時間です!	零之龍
kagami-no-mukou-no-saihate-toshokan	鏡のむこうの最果て図書館	salazaredgar
kaijuu-no-hanataba	かいじゅうの花束	ツキミセイ
kairanban-no-etchi-na-rule-wa-zettai-desu	回覧板のエッチなルールは絶対です。	大友シュウマ
kamakura-shiyakusho-fuurekika	鎌倉市役所風歴課	池袋万里
kami-eno-esa-wa-kanojotachi	神への餌は彼女達	伊藤里;蔵人健吾
kamigami	かみがみ	okamura;佐木カヤノ
kaminegu-shimai	かみねぐしまい	電柱棒
kamisogi	神殺(かみそぎ)	仁乃
kannou-shousetsuka-no-mitsuiro-otogibanashi	官能小説家の蜜色お伽話	夏木美香
kanojo-o-chara-make	カノジョをキャラメイク!	3rdie
kao-no-nai-bourei-no-shima	顔のない亡霊の島	杉戸光史
katakoi-kekkon	片恋結婚	イヌヅカヒロ
katashiro-misawo-no-hanayome-shugyou	形代ミサヲの花嫁修業っ!?	眠田瞼
kawahara-yumiko-kessakushuu-2	花盗人たちの夜	川原由美子
kawaihara-senpai-wa-kawaii-saotome-kun-ga-suki	可愛原先輩はかわいい〈早乙女くん〉がすき!	伊月一
kawaii-yajuu-kun	かわいい野獣くん	sepulvedamiguel
kegawa-to-nakami	けがわとなかみ	19歳
keikenchi-chochiku-de-nonbiri-shoushin-ryokou-yuushatokoibitonitsuihousaretasenshinomu	経験値貯蓄でのんびり傷心旅行	noise;西崎正
kekkon-shitakedo-otto-ni-kataomoi-shite-imasu	結婚したけど…夫に片想いしています	春キャベツ
kemono-friends-comic-arakaruto	けものフレンズコミックアラカルト	henselerthomas
kemono-to-waltz	ケモノとワルツ	上機シホ
kikazaru-hina-wa-mada-koi-o-shiranai	着飾るヒナはまだ恋を知らない	平安ジロー
killers-holiday	キラーズホリディ	松イラストレーター
kimi-ni-koisuru-sanshimai	キミに恋する三姉妹	saku漫画家
kimi-ni-sasageru-otokomae	君に捧げる男前	梅涼
kimi-to-apocalypse	君とアポカリプス	生方メグミ
kimi-to-koete-koi-ni-naru	キミと越えて恋になる	冬坂コロモ
kimi-wa-yoru-no-juunin	きみは夜の住人	園千代子
kindan-shitei-de-break-through	禁断師弟でブレイクスルー	瀬戸メグル;貞清カズヒコ
king-the-land	キング・ザ・ランド	(unknown)
kinjo-no-nanako-san	近所のななこさん	佐々木陽子
kinoshita-kyoudai-wa-tomaranai	木下兄妹は止まらない!	朝ヒオリ
kinsei-no-riveeru	金星のリヴェール	由村
kinyoubi-wa-atelier-de	金曜日はアトリエで	石田総司
kirameki-7tsuboshi	きらめき7つ星	一条ユカリ
kirigiri-hotaru-no-kirai-na-tabemono	桐切蛍の嫌いな食べもの	神泉セイ
kirishima-kun-wa-ijimetai	桐島くんはいじめたい	晴海ニイナ
kita-no-doryuu	北の土龍	石川サブロウ
kitare-parettodan	来たれ、パレット団!	宮本ペルミ
knight-shadow	ナイト〔シロホシ〕シャドー	利根多門;河合英則
knights-murao-2006	ナイツ	ムラオミノル
koala-enikki	コアラ絵日記	ユアミpub2022
kodomo-ni-natta-ore-o-tsuma-ga-mechakucha-medetekuru	子供になった俺を妻がめちゃくちゃ愛でてくる	小手万里
koe-ga-dasenai-shoujo-wa-kanojo-ga-yasashisugiru-to-omotte-iru	声がだせない少女は「彼女が優しすぎる」と思っている	オヒタシ熱郎
koharu-to-minato	小春と湊	ヒアルロン;達磨
koi-kara-wa-nigerarenai	恋からは逃げられない	浪咲ユカ
koi-no-yamai-to-yarougumi-season-2	恋の病と野郎組シーズン2	ジェイストーム;堂島高博;日本テレビ放送網株式会社(2012
koibito-ijou-yome-miman	恋人以上❤嫁未満	イトウエイ
koisuru-milk-crown	恋するミルククラウン	海灯火
koisuru-panty-stocking	恋するパンティストッキング	吉宗
koitsu-wa-dame-da-to-shitte-iru-vii-ensemble	こいつはダメだと知っているvie ensemble	奈院ユリエ
kojirase-kare-no-dekiai-ga-omosugimasu	こじらせ彼の溺愛が重すぎます!	八科コムギ
kokoro-no-program	ココロのプログラム	三月ソラ
kokou-no-ou-to-yotogi-no-jouai	孤高の王と夜伽の情愛	小池ノクト
komiyama-ga-kirai-da	小宮山がキライだ	湊ユウキ
kon-s-tone	Kon's tone	今敏
konchuu-no-himitsu	昆虫のひみつ	渡辺潔;熊谷サトシ
konna-hazu-ja-nakatta-sore-wa-zannen-deshitane	こんなはずじゃなかった?それは残念でしたね	haeyeon;熊雪フル
konsei-wa-goen-ga-arimasu-you-ni	今世は五縁がありますように!	ユキノ漫画家
konya-mo-kimi-to-koubutsu-dinaa-o	今夜もきみと鉱物ディナーを	鹿チャン
konya-uchi-ni-oide	今夜、うちにおいで	maleevalexander
konyaku-haki-no-tsugi-wa-gisou-konyaku-sate-sono-tsugi-wa	婚約破棄の次は偽装婚約。さて、その次は……。	mpワークス;タンサンデンチ
konyaku-haki-sareta-koushaku-reijou-wa-mori-ni-hikikomorimasu	婚約破棄された公爵令嬢は森に引き籠ります	ハレノチアメ
konyaku-kaishou-o-teian-shitara-outaishi-sama-ni-dekiai-saremashita	婚約解消を提案したら王太子様に溺愛されました	ユウサトナ;春風悠里
korogaru-hoshikuzu-domo	転がる星屑ども	甘酒縞
koroshiya-wa-sumaatouotchi-ni-sakaraenai	殺し屋はスマートウォッチに逆らえない	leegeorgie
kotobuki	寿	トウテムポール
kotowarenai-kaichou-wa-tomoe-kun-ni-dake-shite-agetai	断れない会長は友江くんにだけしてあげたい	由村
kowa-meshi	こわメシ	藤野モヤム
kuchibeni	口紅	メェ田ノン
kuma-no-puu-san	くまのプーさん	(unknown)
kurobengoshi-no-chijou	黒弁護士の痴情	スミ漫画家
kyatchi-the-sento	キャッチ・ザ・セント	玖乃緑
kyokutou-jihen	極東事変	杷木アモネ
kyouen-no-kikai-houki	競煙の機械箒	乙黒ユウ
kyuu-nana-hachi-yon	キューナナハチヨン	田川ミ
kyuubigitsune-to-kemono-no-ishi	九尾狐と獣の医師	akr
kyuuketsu-bar-e-youkoso	吸血バーへようこそ	小手万里
kyuuketsuki-to-bara-shoujo	吸血鬼と薔薇少女	卓美涼
kyuukoku-no-seijo-desu-kokugai-tsuihousareta-sarechaimashita	救国の聖女ですが、国外追放されちゃいましたー!?	(unknown)
kyuutei-madoushi-tsuihousareta-dekiaisareru	宮廷魔導師、追放される	吉田シャケ
let-s-go-nirvana	Let's go nirvana	ミヤコカック
lloyd	ロイド	taeko
love-all-puree	ラブオールプレー	小瀬木麻美;藪崎可奈子
love-gurimowaaru	恋愛グリモワール	吉山航平
lunatic-terrapop	ルナティック・テラポップ	弓庭史路
machi-no-honya-no-goshoyama-san	まちの本屋の御書山さん	秋乃カカシ
mad-miniscape	マッドミニスケープ	高妍
mad-stone	マッド・ストーン	正木秀尚
mahou-shoujo-misoji	魔法少女三十路	神林イチトラ
mahoui-rex-no-hentai-karte	魔法医レクスの変態カルテ	19歳
mahoutsukai-mana-to-h-no-tobira	魔法使いマナと叡痴の扉	中島コウキ
maipeesu-to-aruku	マイペースと歩く	小倉アスカ
