key	base	verdict	role	new_slug	title	surname	flag
qid:Q3776937|name:Barレモン・ハート ドラマ・シーズン2エピソード集	bar-lemon-heart	no_merge	sub	bar-lemon-heart-2016	Barレモン・ハート ドラマ・シーズン2エピソード集		YEAR_ONLY
qid:Q3776937|name:BARレモン・ハート ドラマエピソード集	bar-lemon-heart	no_merge	sub	bar-lemon-heart-2015	BARレモン・ハート ドラマエピソード集		YEAR_ONLY
qid:Q3776937|name:BARレモン・ハート 恋を彩る煌くお酒の巻	bar-lemon-heart	no_merge	sub	bar-lemon-heart-2015-2	BARレモン・ハート 恋を彩る煌くお酒の巻		YEAR_ONLY
qid:Q3776937|name:BARレモン・ハート 夫婦愛結びのお酒の巻	bar-lemon-heart	no_merge	sub	bar-lemon-heart-2016-2	BARレモン・ハート 夫婦愛結びのお酒の巻		YEAR_ONLY
qid:Q3776937|name:BARレモン・ハート 想いの色を纏うカクテルの巻	bar-lemon-heart	no_merge	sub	bar-lemon-heart-2016-3	BARレモン・ハート 想いの色を纏うカクテルの巻		YEAR_ONLY
name:栗栖ひとみ|name:GENEROUS	generous	different_works	main	generous	GENEROUS		
qid:Q11622621|name:GENEROUS	generous	different_works	sub	generous-1994	GENEROUS		YEAR_ONLY
name:ふじしんいち|name:GENEROUS	generous	different_works	sub	generous-1995	GENEROUS		YEAR_ONLY
qid:Q11442455|name:GENEROUS	generous	different_works	sub	generous-1996	GENEROUS		YEAR_ONLY
qid:Q11278712|name:GENEROUS	generous	different_works	sub	generous-1997	GENEROUS		YEAR_ONLY
qid:Q974911|name:GENEROUS	generous	different_works	sub	generous-2	GENEROUS		NEED_TIEBREAK
qid:Q11677457|name:JOKER	joker	different_works	main	joker	JOKER	michihara	
qid:Q11438857|name:女〔女咼〕	joker	different_works	sub	joker-2000	女〔女咼〕		YEAR_ONLY
qid:Q24045825|name:ジョーカー	joker	different_works	sub	joker-2000-2	ジョーカー		YEAR_ONLY
qid:Q11469541|name:JOKER	joker	different_works	sub	joker-yamane-1997	JOKER	yamane	
name:河奈マリオ|name:Joker	joker	different_works	sub	joker-1998	Joker		YEAR_ONLY
name:ブライアン・アザレロ|name:ジョーカー	joker	different_works	sub	joker-2011	ジョーカー		YEAR_ONLY
name:斎田晴子|name:JOKER	joker	different_works	sub	joker-2012	JOKER		YEAR_ONLY
qid:Q11645526|name:JOKER	joker	different_works	sub	joker-1998-2	JOKER		YEAR_ONLY
qid:Q9016503|name:Joker	joker	different_works	sub	joker-1998-3	Joker		YEAR_ONLY
qid:Q17220347|name:JOKER	joker	different_works	sub	joker-honda-2025	JOKER	honda	
name:ぶらざあのっぽ|name:アイドル伝説えり子	idol-densetsu-eriko	option2	sub	idol-densetsu-eriko-1989	アイドル伝説えり子		YEAR_ONLY
qid:Q108776608|name:アイドル伝説えり子	idol-densetsu-eriko	option2	sub	idol-densetsu-eriko-1990	アイドル伝説えり子		YEAR_ONLY
qid:Q958269|name:エース!-ACE-	ace	different_works	main	ace	エース-ACE-		
qid:Q11382324|name:エース!	ace	different_works	sub	ace-1985	エース!		YEAR_ONLY
name:佐藤文彦|name:エース!!	ace	different_works	sub	ace-umino-1990	エース!!	umino	
name:ホーム社|name:てっぺん	teppen	different_works	main	teppen	てっぺん	konari	
qid:Q24045825|name:てっぺん	teppen	different_works	sub	teppen-1993	てっぺん		YEAR_ONLY
name:来賀友志|name:てっぺん|sub:卓上の獣道	teppen	different_works	sub	teppen-kuga-1994	てっぺん	kuga	
name:高橋伸輔|name:テッペン|sub:那須川天心物語	teppen	different_works	sub	teppen-takahashi-2019	テッペン	takahashi	
