slug	title	title_romaji	a_romaji
dear-buddy	ディアバディ	deia badei	Dear Buddy: Kizuna Doubutsu Byouin
dear-my-master	ディアマイマスター	deia mai masuta	Dear My Master: Dom/Sub Universe
death-chaser	デス・チェイサー	desu chieisa	Death Chaser: Shinigami wo Oe!  
deep-water	Deep Water	deipu uota	Deep Water <Shinen>
deka-to-hannin-no-otomege-tensei	女刑事(デカ)と犯人の乙女ゲー転生	deka to hannin no otomege tensei	Onna Keiji to Hannin no Otomege Tensei: Mokuhy
delta-saga	デルタサーガ	deruta saga	Emile Chronicle Online Gaiden - Delta Saga
demiruka-sama-wa-goritsuyo-akuyaku-reijou	デミルカ様はごりつよ悪役令嬢	demirukasama wa goritsuyo akuyaku reijou	Demilka-sama wa Goritsuyo Akuyaku Reijou: Ment
destiny-unchain-online	Destiny Unchain Online	deisuteini anchiein onrain	Destiny Unchain Online: Kyuuketsuki Shoujo to 
desutamento	デスタメント	desutamento	Deathtament: Shin Megami Tensei DSJ Another Re
devil-may-cry-5	Devil May Cry 5	deviru mei kurai faivu	Devil May Cry 5: Visions of V
devilman-gaiden	デビルマン外伝	debiruman gaiden	Devilman Gaiden: Ningen Senki
diasu-police	ディアスポリス	deiasu porisu	Dias Police: Ihou Keisatsu
diego	Diego!!	deiego	Diego!! Shin to Yobareta Otoko no Aratanaru Ch
dies-irae	Dies irae	deiesu ire	Dies Irae: Amantes Amentes
diiteii-tensei	DT転生	deitei tensei	DT Tensei: 30-sai Made Dоutei Datta Watashi ga
diotei-manyu-aru	でぃおてぃまにゅある	deiotei manyu aru	Diety Manual: Kamisama-tachi no Renai Daikou
doctor-m	ドクターM	dokuta emu	Doctor M: Dark Angel IV
dog-days	ドッグデイズ	doggu deizu	Ginga Shounen Densetsu: Dog Days - Roku to Bok
doguma-senki	ドグマ戦記	doguma senki	Shirokishi Monogatari Episode.0: Dogma Senki
doka-kue	ドカクエ	dokakue	DokaQue: Isekai Docacook Quest
dokutaa-zerosu	ドクターゼロス	dokuta zerosu	Doctor Zelos: Sports Gekai Nonami Yashiro no J
doll-star	Doll star	doru suta	Doll Star: Kotodama Tsukai Ihon
doll	Doll	doru	DOLL: IC in a Doll
dorago-notes	ドラゴノーツ	dorago notsu	Dragonaut -The Resonance
double-decker	DOUBLE DECKER!	daburu dekka	DOUBLE DECKER! Doug and Kirill
dr-dmat	Dr.DMAT	dokuta deimatto	Dr. DMAT: Gareki no Shita no Hippocrates
draw	DRAW	dorou	Draw: Majo no Nemuru Umi de
dreams-kurashina-2004	Dreams	dorimusu	Dreams: Showgirl no Yume
dressing	Dressing	doresshingu	Dressing: Biyou Gekai Morino Maria
drop-yuki-2018	ドロップ!!	doroppu	Drop!!: Kaori no Reijou Monogatari
dungeon-battle-royale	ダンジョンバトルロワイヤル	danjon batoru rowaiyaru	Dungeon Battle Royale: Maou ni Natta node Seka
dungeon-elf	ダンジョンエルフ	danjon erufu	Dungeon Elf: Dungeon ni Takarabako ga Aru no w
dungeon-faamu	ダンジョン・ファーム	danjon famu	Dungeon Farm: Ie wo Oidasareta node, Dungeon n
durarara-2015	デュラララ!! re: ダラーズ編	deyurarara	Durarara!!: RE;Dollars-hen
earth-with-dungeon	アースウィズダンジョン	asu wizu danjon	Earth with Dungeon: Koyuu Skill "Touka Koukan 
edenzu-girl	エデンズガール	edenzu garu	Eden's Girl Isekai de Heroine Pinch ni Naru Sh
eebiishii-satsujin-jiken	ABC殺人事件	ebishi satsujin jiken	ABC Satsujin Jiken: Meitantei Eikubo Kamon no 
egg	egg	eggu	egg: Watashi Anata no Kodomo desu.
eien-o-chikau-girishia	永遠を誓うギリシア	eien o chikau girishia	Boss no Propose: Eien wo Chikau Greece
eighth	EIGHTH	eisu	Eighth
eijingu	エイジング	eijingu	Aging: 80-sai Ijou no Wakamono ga Kurasu Shima
elden-ring	ELDEN RING	eruden ringu	Elden Ring: Become Lord
elf-dorei-to-kizuku-dungeon-harem	エルフ奴隷と築くダンジョンハーレム	erufu dorei to kizuku danjon haremu	Elf Dorei to Kizuku Dungeon Harem: Isekai de N
elite-jieikan-ni-dekiai-sareteru-rashii-desu	エリート自衛官に溺愛されてる…らしいです?	erito jieikan ni dekiai sareteru rashii desu	Elite Jieikan ni Dekiai Sareteru... Rashii des
emooshonaru-akachanki	エモーショナル赤ちゃん期	emoshonaru akachanki	Emotional Aka-chan-ki: Ningen wo 2-nen Sodatet
empty-hear	empty hear	akua komikkusu	empty heart: Itsuwari no Koi Dakara
emuesu-generation	MSジェネレーション	emuesu jienereshon	Mobile Suit Gundam: MS Generation
emuesu-senki	Ms戦記	emuesu senki	MS Senki Kidou Senshi Gundam 0079 Gaiden
enbaamingu	エンバーミング	enbamingu	Embalming: THE ANOTHER TALE OF FRANKENSTEIN
