slug	title	tv	has_synopsis	genres	n_isbn	caption
kinpeibai	金瓶梅	38	False	romance	38	「清純な顔して好きものね」究極の性具に溺れた瓶児を金蓮が嘲笑う。淫らに甦った中国発禁本。描き下ろし番外編付き。
arukimedesu-no-taisen	アルキメデスの大戦	38	False	war	38	"時は1933年。
前年に満州国樹立を宣言した日本と中国大陸を狙う欧米列強の対立は激化の一途を辿っていた。
世界が不穏な空気に包まれていく中、日本の運命を左右することになる重大な会議──新型戦艦建造計画会議──がいま海軍省の会議室で始まろうとしていた。
それは次世代の海の戦いを見据える“航空主兵主義”派と日本海軍の伝統を尊重する“大艦巨砲主義”派の権力闘争の始まりでもあった‥‥。


戦艦「大和」を阻止せよ!!!　日本の未来を1人の数学の天才が変える!? 時は1933年。日本海軍の中枢・海軍省の会議室で、次世代の旗艦を決める新型戦艦建造計画会議が開かれ、2つの陣営が設計採用を争う事に。これからの海戦を見据え、高速の小型戦艦を打ち出す“航空主兵主義”派に対し、海軍内で権力を握る“大艦巨砲主義”派の計画は、世界でも類を見ない超巨大戦艦の建造だったーー!!
新型戦艦建造計画
数学の天才・櫂直
海軍省
招かれざる客
波紋
戦艦の価格
戦艦「長門」
対峙"
umanari-1-haron-theater	馬なり1ハロン劇場	37	False	sports	37	サラブレッドたちを熱心に観察し、そのキャラを大盛り上がりで描く“競馬コミック”の決定版。競馬ファンなら読まずにいられない、よしだみほ最新作！6年ぶりに誕生したクラシック3冠馬オルフェーヴルの活躍や、'11年末「なんでもアリま記念」、'12年新春「新年会」など、おなじみの恒例行事が満載。オークス、ダービーで競馬界が最も盛り上がる、この機会に是非お読み下さい。
sangokushi-1993	三国志	37	False	historical,action,drama	37	漢王朝の衰弱により群雄割拠し混乱する古代中国も、劉備、曹操、孫権の３人の争いに焦点は絞られてきた。新たに劉備陣営に迎え入れられた軍師、諸葛孔明は、曹操配下の夏侯惇が率いる１０万の兵を迎え撃つ。しかし新参者、孔明の能力に対し、関羽と張飛は懐疑の念を抱く。いま実戦の場にて孔明の真価が問われる！この中国史最大の策士の登場により歴史は大きく動く！（巻末特別資料編付き）。
dekasuron	デカスロン	36	False	comedy,drama,sports	36	連続2日間にわたって10種目の競技を行い、総得点で争う陸上競技ーーデカスロン。すべてで一線級の成績を残さなければならないため、勝者はキング・オブ・アスリートと称えられる。無名の元高校球児の風見万吉、卓越した運動能力と底抜けの楽天パワーを武器に、国立競技場での挑戦がはじまる!!
hinotori	火の鳥	35	False	sci-fi	30	永遠の命とはなにか。不死の〈火の鳥〉を軸に、人間の愛と生、死を、壮大なスケールで描く。天才手塚治虫が遺した不滅のライフワーク。各巻カラーイラストの表紙、巻頭に十六頁カラーを掲載。
ore-wa-captain	おれはキャプテン	35	False	baseball,sports	35	"野球漫画史上、最もふさわしくないキャプテン登場！？　「くたばれ体育会！」をモットーに、霧隠主将キャプテンが中学・高校野球部で大暴れ！！　独特の思考、偏った練習、そして超生意気強気な態度に、最初はひいていた野球部員たちも、次第にカズマサをキャプテンとして認め、共に野球を頑張り出す。すると、あら不思議！！　どんどん強くなり、大会では連勝の日々！　世の中の野球部キャプテン諸君、この漫画をバイブルにするっきゃないかも！？

昭明に先制点を許した日弦だが、オースチンのアドバイスで投球に変化が！？　一方、驚異のコントロール精度を持つ、昭明の遠山がまさかの連続死球！　ミスか！？　狙いか！？　予測不能な遠山の投球に翻弄される朋王打線は、昭明から点を取ることができるのか！？"
tough-ryuu-o-tsugu-otoko	TOUGH龍を継ぐ男	35	False	action	35	R国の闘いで、悪魔王子に勝利した龍星。そして間髪を容れず、復讐の鬼と化したボリスの報復を受けたヨシフ。しかし、反旗を翻したボリスに銃弾が…。その時、ボリスを庇った悪魔王子の身体を銃弾が貫く。はたして運命は…!? 一方、日本へ帰国した龍星と熹一だが、悪魔王子は米国で治療中で格闘技イベントに絡んでくることを聞く。その格闘技イベントに参加したい龍星は、ひとつの出場枠を懸け熹一と闘うが、龍星の成長は如何に!? 龍を継ぐ男、堂々の完結巻!!
fuuunjitachi	風雲児たち	34	False	adventure,drama	34	"三谷幸喜脚本で歌舞伎化（2019年）&ドラマ化（2018年）!! 

連載40周年突破、今なお熱狂的なファンを増やし続ける前人未到の「歴史大河ギャグ」

時は文久二年。朝廷側の一方的な要求に抗えなくなった幕府は、それまでの開国路線から一転、鎖国攘夷の断行を宣言する。幕府の権威が失墜していく様を冷ややかに眺めていた徳川慶喜は、失政の原因を井伊直弼による安政の大獄に見出し、ある決意を固める。一方、坂本竜馬と幕臣・勝海舟の再会は、血なまぐささと混乱が深まる時局にあって一筋の光に思われたが、彼らのあずかり知らぬところで高杉晋作が列強を挑発する過激な手段に打って出て……"
in-shuu-densetsu-taikoubou-denki	殷周伝説 太公望伝奇	34	False	drama,fantasy	31	西岐を目指す黄飛虎は、潼関、臨潼関、穿雲関を突破、界牌関では父の黄滾を味方につけた。〓（し）水関では余化の戮魂幡に捕らえられるが、〓〓（なたく）に助けられ、ついに西岐に入る。黄飛虎の謀反を知った聞仲太師は、晁田と晁雷に西岐討伐を命じるが、晁兄弟が西岐側につくと、王魔、楊森、高友乾、李興覇の４将軍に２０万の精鋭を与え、自らも西岐へ向かった。太乙真人は〓〓（なたく）を下山させ、金〓（たく）も木〓（たく）も黄天化も西岐へ走る。決戦の時は迫っていた。
