slug	title	our_authors	source_authors(同題)	status
kuru-hi-mo-kuru-hi-mo-korona-no-manga	くる日もくる日もコロナのマンガ	シリアガリ寿	シリアガリ	AUTHOR_MISMATCH
kurumarete-kurisuchina	くるまれてクリスチナ	玖保キリコ	キリコ;玖保	AUTHOR_MISMATCH
kurumi-chino-purezentsu-monozuki-sanpo-ocha-shite-burari	胡桃ちのpresentsモノズキ散歩、お茶してぶらり♡	胡桃チノ		NOT_FOUND
kurumi-chino-purezentsu-monozuki-sanpo-ocha-shite-umashi	胡桃ちのpresentsモノズキ散歩、お茶してうまし?	胡桃チノ		NOT_FOUND
kurumi-chino-tanpenshuu	胡桃ちの短編集	胡桃チノ		NOT_FOUND
kusa-mahoushi-kuroe-no-nidome-no-jinsei	草魔法師クロエの二度目の人生	小田ヒロ;狩野アユミ		NOT_FOUND
kusano-to-nozomi	草野と希	塩胡蝶	岩国ヒロヒト	AUTHOR_MISMATCH
kusatta-yome-ga-arawareta	くさったよめがあらわれた!	洋介犬	ウエヤマ洋介犬	AUTHOR_MISMATCH
kusattemo-hatsukoi	腐っても、初恋。	梨乃アリ		NOT_FOUND
kusattemo-neko-nanode	くさっても猫なので	フカサワ映	カンコ;関口	AUTHOR_MISMATCH
kuse-zuyo-kanojo-wa-yuka-ni-izanau	クセ強彼女は床にいざなう	須河篤志		NOT_FOUND
kusegami-no-megamiko	癖神のメガミコ	小野寺浩二		NOT_FOUND
kushami	くしゃみ	浦沢直樹		NOT_FOUND
kuso-kimo-catharsis	クソキモカタルシス	荒井春太郎		NOT_FOUND
