slug	title	カタカナrun(辞書外=要AI/web)
ai-ga-omome-na-ookami-denka-wa-unmei-no-tsugai-o-nankin-chuu	愛が重めなオオカミ殿下は運命のつがいを軟禁中	オオカミ
ai-ga-omotai-incubus	愛が重たいインキュバス	インキュバス
ai-kafeteria	愛カフェテリア	カフェテリア
ai-my-meepuru	愛MYメープル	メープル
ai-ni-chekkuin	愛にチェックイン	チェックイン
ai-no-akashi	アイノアカシ。	アイノアカシ
ai-no-arabesque	愛のアラベスク	アラベスク
ai-no-aranjuez	愛のアランフェス	アランフェス
ai-no-babylon	愛のバビロン	バビロン
ai-no-campanella	愛のカンパネラ	カンパネラ
ai-no-koe	アイノコエ	アイノコエ
ai-no-kotonoha	愛のコトノハ	コトノハ
ai-no-ryuusei-kauupa	愛の流星カウーパ	カウーパ
ai-no-shitta-kabutta	愛のシッタカブッタ	シッタカブッタ
ai-no-tranger	愛のエトランゼ	エトランゼ
ai-rabu-ai-chan	アイ・ラブ・愛ちゃん	アイ・ラブ・
ai-rabu-collection	愛❤コレクション	コレクション
ai-rabu-taiwan-yataimeshi	アイラブ台湾屋台めし	アイラブ
ai-sharu-return	愛しゃるリターン	リターン
ai-shield-21	アイシールド21	アイシールド
ai-shoujo-pollyanna-story	愛少女ポリアンナ物語	ポリアンナ
ai-shura-za-legend	愛修羅ザレジェンド	ザレジェンド
ai-to-ai	アイトアイ	アイトアイ
ai-to-aizawa	アイとアイザワ	アイザワ
ai-to-kanashimi-no-vampire	愛と哀しみのバンパイア	バンパイア
ai-to-seishun-no-pinokio	愛と青春のピノキオ	ピノキオ
ai-to-yokubou-wa-abunoomaru-de	愛と欲望はアブノーマルで	アブノーマル
ai-turn	あい・ターン	・ターン
ai-wa-kagerou	アイはカゲロウ	カゲロウ
aibou-wa-slime	相棒はスライム!?	スライム
aidea-papa-no-manga-ryouri-kyoushitsu	アイデアパパのまんが料理教室	アイデアパパ
aidorisshu-seven-ryuusei-ni-inoru	アイドリッシュセブン流星に祈る	アイドリッシュセブン
aidorisshu-seven-trigger	アイドリッシュセブンTRIGGER	アイドリッシュセブン
aidorumasutaa-shainiikaraazu-jimuteki-koukuu-kiroku	アイドルマスター シャイニーカラーズ 事務的光空記録	アイドルマスター/シャイニーカラーズ
aihoshi-modoki	アイホシモドキ	アイホシモドキ
aiiro-no-obujie	愛色のオブジェ	オブジェ
aijou-paasento	愛情パーセント	パーセント
aijou-rental	愛情レンタル	レンタル
aikata-system	相方システム	システム
aikatsu-go-go-go	アイカツ!GO!GO!GO!	アイカツ
aikatsu-stars-hoshi-no-tsubasa	アイカツスターズ!星のツバサ	アイカツスターズ
aikatsu-stars-manga-ando-idol-mini-meikan	アイカツスターズ!まんが&アイドルミニ名かん	アイカツスターズ/アイドルミニ
aikatsu	アイカツ!	アイカツ
