slug	title	著者グループ数	著者別巻
spectreman	スペクトルマン	2	一峰大ニ(v[1, 2, 3, 4]) || ウシオソウジ;一峰大二(v[5])
spirit-jump	スピリット・ジャンプ	2	aummatstudio;オ(v[1, 2]) || 善野要;緋月馨花(v[3])
stand-up-yamakawa-2013	Stand Up!	2	山川アイジ;川谷康久(v[1, 3, 4]) || 白虎丸(v[2])
stand-up	STAND UP!	2	板垣雅也(v[1, 3]) || 白虎丸(v[2])
star-ocean-the-second-story	スターオーシャン セカンドストーリー	2	アンソロジー(v[1]) || 東マユミ(v[2, 3, 4, 5, 7])
star-wars	STAR WARS	2	小学館プロダクション(v[1]) || キャムケネディ;トムヴィーチ(v[2])
star-wars-1998	スター・ウォーズ	2	ジョージルーカス;ヒロモト森(v[1, 2, 3, 4, 6]) || ヒロモト森一(v[5])
step-mother	Stepマザー	2	萩森千聖(v[1]) || 工藤カズヤ;秋原龍彦(v[2])
strategic-lovers	ストラテジックラバーズ	2	]三色網戸(v[1, 2, 3, 4, 5, 6, 7]) || 三色網戸(v[8, 9])
sugao-no-mamade-1985	素顔のままで	2	塩森恵子(v[1, 2]) || 樫ミチヨ(v[1])
suikoden-2000	水滸伝	2	サイトウタカヲ(v[1, 1, 2, 2, 3]) || 夏秋ノゾミ;李志清(v[4, 5, 6, 7, 8])
suki-nezumi	スキネズミ	2	キューライス(v[1, 2, 3]) || キューライス1985-(v[4])
suki-usagi	スキウサギ	2	キューライス(v[1, 2, 3, 4, 5, 6, 7, 8]) || キューライス1985-(v[9])
sukimamono	スキマモノ	2	]八丸真幸(v[1]) || 八丸真幸(v[2])
super-suto-4	スーパーストⅡ　4コマ決定版	2	コミックゲ-メスト編集部(v[1]) || コミックゲーメスト編集部(v[2])
suteki-na-kekkon	すてきな結婚	2	タラサワミチ(v[3]) || 名香智子(v[4])
suzuki-sensei	鈴木先生	2	武富健治(v[1, 2, 3, 6]) || 武富健冶(v[4, 5, 7, 8, 9, 10, 11])
suzumiya-haruhi-no-yuuutsu	涼宮ハルヒの憂鬱	2	ミズノマコト(v[1]) || イトウノイヂ;ツガノガク;谷(v[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15,
sword-gale	ソードゲイル	2	佐藤信(漫画家)(v[1, 2]) || 佐藤信(v[3, 4])
tadaima-shitsugyouchuu	ただいま失業中	2	シラサギサヤカ+サチコ(v[1, 2]) || シラサギサチコ;シラサギサヤ(v[3, 4, 5])
takane-no-hana-wa-midarezaki	高嶺の華は乱れ咲き	2	]イトウエイ(v[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]) || イトウエイ(v[11, 12, 13])
tales-of-vesperia-4-koma-kings	テイルズオブヴェスペリア4コマKIN	2	バンダイナムコゲームス;藤島(v[1, 2]) || dmc編集部(v[4])
tamanokoshi-goyoui-shimashita	玉の輿ご用意しました	2	栗城偲;高緒拾(v[1, 5, 6]) || 栗城偲&高緒拾(v[2, 3, 4])
tamata	TAMATA	2	茅ヶ崎麻(v[1]) || 茅ケ崎麻(v[2, 3, 4])
tameshita-girl	ためしたガール	2	山田コウスケ(v[1, 2, 3]) || 山田コースケ(v[4, 5, 6])
tatara-no-tsuji-ni	たたらの辻に…	2	ササヤナナエ(v[1]) || ササヤナナエコ(v[1])
tatsumigahara-san-no-ai-kara-wa-nigerarenai	辰巳ヶ原さんの愛からは逃げられない	2	]槙田ナル(v[1]) || 槙田ナル(v[3])
teens-blues	ティーンズブルース	2	春田ナナ(v[1]) || コージィ城倉(v[2, 3, 4, 5, 6, 7])
tempest-1993	テンペスト	2	庄司陽子(v[1, 1, 2]) || 阿仁谷ユイジ(v[3, 4, 5, 6, 7, 8, 9])
tengoku-de-akuma-ga-boku-o-miwaku-suru	天獄で悪魔がボクを魅惑する	2	]銀河味メテオ(v[1, 2, 3]) || 銀河味メテオ(v[4, 5])
tenjou-no-ai-chijou-no-koi	天上の愛地上の恋	2	加藤知子(v[1]) || 加藤知子(漫画家)(v[2, 3, 4, 5, 6, 7, 8, 9, 10, 11])
tenkirimatsu-yamigatari	天切り松闇がたり	2	幸野武史(v[1, 1, 2, 3, 4, 5]) || 幸野武至;浅田次郎(v[2])
tenshi-no-mure	天使の群れ	2	浜田翔子(漫画家)(v[1, 2, 3]) || 浜田翔子(v[1, 2])
tenshitachi-no-shinkaron	天使たちの進化論	2	清水玲子(v[1]) || 清水玲子(漫画家)(v[1])
tenshoku-no-izumi	天職の泉	2	中川イサミ(v[1, 2]) || 國居享(v[1])
tera-e	地球へ…	2	竹宮恵子(v[4, 5]) || 竹宮惠子(v[1, 2, 3])
tezuka-osamu-no-sarani-kimyouna-hanashi	手塚治虫のさらに奇妙な話	2	手塚治虫(v[1, 2, 3]) || ]手塚治虫(v[4])
tezuka-osamu-no-sarani-nakeru-hanashi	手塚治虫のさらに泣ける話	2	手塚治虫(v[1]) || ]手塚治虫(v[2])
the-bokusaa	ザ・ボクサー	2	黒咲一人(v[1, 2]) || jh(v[3])
the-combat	ザ・コンバット	2	南聖二(v[1]) || 望月三起也(v[3])
the-konbatto	ザ・コンバット	2	南聖二(v[1]) || アサリヨシトオ(v[2])
to-heart-2	To heart 2	2	高雄右京(v[1, 2, 3]) || aquaplus;キタウミツ(v[4, 5])
tobidase-doubutsu-no-mori	とびだせどうぶつの森	2	コーヘー;山岸優子(v[1, 2]) || 大崎亮平(v[6, 7])
tokyo-bakuhatsu-musume	東京爆発娘	2	伊藤伸平(1960-)(v[1]) || 伊藤伸平(v[2])
tokyo-myuumyuu	東京ミュウミュウ	2	吉田玲子;吉田玲子(脚本家)(v[1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7, 10]) || 征海美亜;講談社(v[8,
tokyo-toyboxes	Tokyo toyboxes	2	ウメ(v[1, 2]) || ume(v[3, 4, 5])
tomorrow	TOMORROW	2	次原隆二(v[1]) || 小野弥夢(v[2])
tonari-no-seki-no-yatsu-ga-souiu-me-de-mitekuru	となりの席のヤツがそういう目で見てく	2	mmk(v[1]) || mmkpub2022(v[2, 3, 4, 5])
tonari-no-totoro	となりのトトロ	2	宮崎駿(v[1, 2, 3]) || アニメージュ編集部(v[4])
tora-to-mike	トラとミケ	2	ネコマキ(ミューズワーク)(v[2, 3, 4, 5, 6]) || ネコマキ(v[7])
tori-kurasuta-ni-sasagu-tori-4-koma	鳥クラスタに捧ぐ鳥4コマ	2	ヨシダ☆カオル(v[1, 3, 5]) || ヨシダカオル(v[2, 4, 6])
toshokan-no-daimajutsushi	図書館の大魔術師	2	泉光(v[1, 2, 5, 6, 7, 8, 9]) || ]泉光(v[3, 4])
totsugawa-keibu-to-meitanteitachi	十津川警部と名探偵たち	2	アンソロジー(v[1]) || 宗美智子;浦川マサル&佳弥;(v[2, 3])
totteoki-doraemon	とっておきドラえもん	2	藤子f不二雄(v[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]) || 藤子不二雄f(v[15])
toumei-otoko-to-ningen-onna	透明男と人間女	2	]岩飛猫(v[2, 3, 4, 5]) || 岩飛猫(v[7, 8, 9])
toushinden	闘神伝	2	アンソロジー(v[1]) || 武林武士(v[2, 3, 4, 5])
tozaki-san-wa-boku-ni-dake-tsumetai	戸崎さんは僕にだけ冷たい	2	saku(v[1]) || saku漫画家(v[2, 4])
triage-x	トリアージX	2	佐藤ショウジ(v[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 20, 29, 30])
trouble-travel	とらぶるトラベル	2	愁一樹(v[1]) || 愁☆一樹(v[2, 3])
tsuki-no-ko	月の子	2	清水玲子(v[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]) || 清水玲子(漫画家)(v[1, 2, 3, 4, 5,
tsumi-to-batsu	罪と罰	2	ドストエフスキー;漫f画太郎(v[2, 3, 4]) || フョ-ドルミハイロヴィチドス(v[1])
tsumitobatsu	罪と罰	2	ドストエフスキー;漫f画太郎(v[3, 4]) || 手塚治虫(v[1])
tsurenai-hodo-aokute-azatoi-cry-ni-akai	つれないほど青くてあざといくらいに赤	2	tomomi(v[1, 2, 3, 4, 5, 6]) || tomomi漫画家(v[7, 8, 9, 10])
tsutte-tabetai-gyaruzawa-san	釣って食べたいギャル澤さん	2	フナツ一輝(v[1, 3, 4, 5]) || フナツカズキ(v[2])
tsuukaa	つうかあ	2	入江紀子(v[1]) || 「ツウカア」製作委員会;シノ(v[2])
tsuyoshi-shikkari-2-shinasai	ツヨシしっかり²しなさい	2	永松潔(v[1, 2, 3, 4, 5]) || 永末潔(v[6])
uchi-no-maid-ga-uzasugiru	うちのメイドがウザすぎる!	2	中村カンコ(v[1, 2, 3, 4, 5, 6, 7, 8, 10]) || ]中村カンコ(v[9])
uchi-no-otoutodomo-ga-sumimasen	うちの弟どもがすみません	2	オザキアキラ(v[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]) || 尾崎アキラ(v[13, 14])
ultima	ウルティマ	2	lブリティッシュ;田中夕子(v[2]) || 渡辺広之(v[3])
ultra-seven-productions-1998	ウルトラセブン	2	桑田次郎(v[1]) || 中沢啓治;伊東章夫;円谷プロ(v[3])
ultrajump-megamix	ULTRAJUMP MEGAMIX	2	大暮維人(v[1]) || キムヒョンテ;スミ兵;ワダア(v[2])
ultraman-the-first	ウルトラマンTHE FIRST	2	円谷プロダクション;高田裕三(v[1, 3]) || 高田裕三(1963-)(v[2])
umezu-kazuo-kowai-hon	楳図かずおこわい本	2	楳図カズオ(v[1, 2, 5, 6, 7, 10, 11, 12, 13, 14]) || ]楳図カズオ(v[3, 4, 5, 6, 7, 8, 9, 10,
ura-no-ie-no-majo-sensei	裏の家の魔女先生	2	]西川魯介(v[1, 2, 3, 4]) || 西川魯介(v[5, 6])
usagi	兎	2	伊藤誠(v[1, 2, 4, 5, 9, 10, 11, 12, 13, 14, 15, 16, 17]) || 伊藤誠(漫画家)(v[3, 6, 7, 8])
usami-san-wa-kamawaretai	うさみさんは構われたい!	2	緋原俊介(v[1]) || ]緋原俊介(v[2, 3, 4])
utsu-gohan	鬱ごはん	2	施川ユウキ(v[1, 2, 3, 6]) || ]施川ユウキ(v[4, 5])
valkyrie-no-kou-tan	ワルキューレの降誕	2	富士宏(v[1]) || 冨士宏(v[2])
vampire-2004	ヴァンパイア	2	高橋由紀(v[1]) || 高橋ユキ(漫画家)(v[2])
vampire-hunter	ヴァンパイアハンター	2	コミックゲーメスト編集部(v[1]) || 藤田丈士(v[2])
vivid-voice-party	VIVID VOICE PARTY	2	コミックニュータイプ(v[1]) || kadokawa(v[2, 3])
wadatsumi-no-iroko-no-miya	海の魚鱗宮	2	山岸涼子(v[1]) || 山岸凉子(v[1])
warau-salesman	笑ゥせぇるすまん	2	藤子不二雄a(v[1, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 
warera-konsen-gasshoudan	われら混線合唱団	2	高橋ユキ(漫画家)(v[1, 2, 3, 4, 5, 6, 7]) || 高橋ユキ(v[1, 2, 3, 4, 5])
watashi-dake-ga-shitte-iru	わたしだけが知っている	2	令丈ヒロ子;谷口亜夢(v[1]) || チョコドーナツ;野原ノン(v[3])
watashi-no-doll-wa-yoi-doll	わたしの人形は良い人形	2	山岸涼子(v[1]) || 山岸凉子(v[1])
watashi-no-tame-ni-nuginasaitsu	わたしのために脱ぎなさいっ!	2	九郎(v[1, 2, 3, 4, 5, 6, 7]) || 九郎漫画家(v[9])
watashi-o-sasaeru-mono	わたしを支えるもの	2	益田ミリ(v[1]) || ]益田ミリ(v[1])
wazato-miseteru-kamoi-san	わざと見せてる?加茂井さん。	2	エム(v[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]) || エム漫画家(v[12, 13, 14])
who-is-fuou	Who is 風生!?	2	ナカザキフユ(v[1]) || ナカザキ冬(v[2, 3, 4, 5, 6, 7, 8, 9])
wild-cats	WILD CATS	2	清水玲子(漫画家)(v[1]) || 清水玲子(v[1])
wind-up	ワインドアップ!!	2	小泉裕洋(v[1, 2, 3, 4]) || 小泉ヤスヒロ(v[5])
witch-guild-fantasia	ウィッチギルドファンタジア	2	漆野リヒト(v[1]) || ]漆野リヒト(v[2])
world-is-dancing	ワールドイズダンシング	2	]三原和人(v[1]) || 三原和人(v[2, 3, 4, 5, 6])
worst-gaiden	WORST外伝	2	高橋ヒロシ(v[1]) || 髙橋ヒロシ(v[2])
worst	WORST	2	高橋ヒロシ(v[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 2
wotaku-mo-koi-mo-rensa-suru	オタクも恋も連鎖する	2	天色チユ(v[1, 2, 3]) || アマイロチユ(v[4])
wotaku-ni-yasashii-gal-ni-watashi-wa-naru	オタクに優しいギャルに私はなる!	2	sugar(v[1, 2]) || sugarpub2021(v[3, 4])
x-men	X-MEN	2	ジョナサンヒックマン;高木亮(v[1, 2, 3]) || 小学館プロダクション(v[6, 9, 12, 13])
yajuu-shine-tsukishima	野獣社員ツキシマ	2	大和田秀樹(漫画家)(v[1]) || 大和田秀樹(v[2])
yakushi	薬師	2	カエングルマ(v[1, 2, 3]) || 渡瀬ノゾミ(v[4, 5, 6, 7])
yama-no-susume	ヤマノススメ	2	シロ(v[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 
yami-ni-koi-shita-hitsuji-chan	闇に恋したひつじちゃん	2	長蔵啓丸(v[1, 2]) || 長蔵ヒロコ(v[3])
yami-no-kodou	幻惑の鼓動	2	吉原理恵子;禾田ミチル(v[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19,
yamikaryuudo	闇狩人	2	浜田翔子(漫画家)(v[1]) || 浜田翔子(v[2])
yankee-kun-wa-seitokaichou-sama-ni-shitsukeraretai	ヤンキーくんは生徒会長様に躾けられた	2	アサヒ(v[1]) || アサヒ漫画家(v[2])
yappari-boku-no-nee-chan	やっぱり、僕の姉ちゃん	2	益田ミリ(v[1]) || ]益田ミリ(v[1])
yasuji-no-mettameta-gakidou-kouza	ヤスジのメッタメタガキ道講座	2	谷岡ヤスジ(v[1]) || 谷岡ヤスジ(1942-199(v[1])
yatara-yarashii-fukami-kun	やたらやらしい深見くん	2	松本アヤカ(v[2]) || マツモトアヤカ(v[3, 4])
yatsuhakamura-1996	八つ墓村	2	ツノダジロウ(v[1]) || 影丸譲也;横溝正史(v[1])
yatterman	ヤッターマン	2	アオキケイ;ミカマル(v[1]) || コシタテツヒロ;土屋哲人(v[2])
yawara	YAWARA!	2	浦沢直樹(v[1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7, 8, 8, 9, 10, 10, 11, 11, 12, 12
yokosuka-opu	横須賀OP.	2	谷村ヒトシ(v[1, 2, 3, 4, 5, 6]) || 吉岡ツトム(v[7])
yomega-kiss	ヨメガキッす	2	]アキトカゲ(v[1, 2]) || アキトカゲ(v[3])
yoojo-life	よーじょらいふ!	2	アマー(v[1, 4, 5, 6]) || ]アマー(v[2, 3])
yoroiden-samurai-troopers	鎧伝サムライトルーパー	2	トヤ邦行(v[1]) || ホシノ竜一(v[2])
yoru-no-ryourinin	夜の料理人	2	タキガワ靖之(v[1]) || タガワ靖之(v[2])
yotsuya-shibuya-iriya-zoushigaya	四ッ谷渋谷入谷雑司ヶ谷!!	2	アトリ硅子(v[1, 1]) || アトリ硅子(-2004)(v[2])
youko-no-danna-sama	妖狐の旦那さま	2	モモノモト(v[1]) || 百乃モト(v[2, 3, 4, 5, 6])
yume-de-aetara-2000	夢で逢えたら	2	hanako(v[1, 2, 3, 4, 5, 6, 7, 8]) || 山花典之(v[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 1
yuusha-no-mago-to-maou-no-musume	勇者の孫と魔王の娘	2	不動ラン(v[1, 2]) || ]不動ラン(v[3, 4, 5])
yuusha-no-party-ni-eiyoushi-ga-kuwawatta	勇者のパーティーに栄養士が加わった!	2	高田サンコ(v[1]) || ]高田サンコ(v[2])
yuusha-to-monshou-no-ragnarok	勇者と紋章のラグナロク	2	渡辺ツヨシ(v[1]) || ]渡辺ツヨシ(v[2, 3, 4])
yuushuntachi-no-teiseki	優駿たちの蹄跡	2	山崎拓味(v[1]) || ヤマサキ拓味(v[1, 2, 2, 3, 3, 4, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 1
zappera	ざっぺら	2	岩重孝(v[1]) || イワシゲ孝(v[2])
zero-matsumoto	ZERO	2	松本大洋(v[1, 2, 3]) || 冬目景(v[1])
zero-yamazaki-2009	ZERO	2	冬目景(v[1]) || ヤマザキ貴子(v[1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 8, 9, 10, 11])
zoku-kowai-hon	ゾクこわい本	2	楳図カズオ(v[1, 2, 5, 6, 7, 10, 11, 12, 13, 14]) || ]楳図カズオ(v[3, 4, 5, 6, 7, 8, 9, 10,
zootopia	ズートピア	2	ディズニーパブリッシングワー(v[1]) || 和波雅子;平野清之;竹本浩子(v[3])
