slug	title	著者グループ数	著者別巻
big-wing	ビッグウイング	2	ヒキノ真二(v[1, 2, 3, 4, 5, 6]) || 引野真二;矢島正雄(v[7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 1
bijin-onnajoushi-takizawa-san	美人女上司滝沢さん	2	ヤンbaru(v[1, 2, 9]) || ]ヤンbaru(v[3, 4, 5, 6, 7, 8])
bingo	BINGO!	2	松村努(v[1, 2, 3, 4, 5]) || 葉芝真己(v[1, 2, 3, 4, 5, 6, 7, 8, 9, 10])
biomeat-nectar	BM ネクタール	2	藤澤勇希(v[1, 11, 12]) || 藤沢勇希(v[2, 3, 4, 5, 6, 7, 8, 9, 10])
biriken	ビリ犬	2	藤子不二雄(v[1]) || 藤子不二雄a(v[2])
boku-no-neechanteki-seikatsu	僕の姉ちゃん的生活	2	益田ミリ(v[1]) || ]益田ミリ(v[1])
boogiepop-wa-warawanai	ブギーポップは笑わない	2	上遠野浩平;緒方剛志(v[1, 3]) || 緒方剛志(1970-)(v[2])
bougyoryoku-zero-no-yome	防御力ゼロの嫁	2	矢野トシノリ(v[1, 4, 5, 6, 7]) || ]矢野トシノリ(v[2, 3])
boy	BOY	2	山下和美(v[1, 1, 2, 2]) || 梅澤春人(v[3, 3, 4, 4, 5, 5, 6, 6, 7, 7, 8, 8, 9, 9, 10, 10, 
bremen-ii	ブレーメンⅡ	2	川原泉(漫画家)(v[1, 2, 3, 4, 5]) || 川原泉(v[1, 2, 3, 4])
bright-no-yuuutsu	ブライトの憂鬱	2	竹宮恵子(v[1, 2]) || 竹宮惠子(v[1])
btooom-u-18	Btooom! U-18	2	井上淳哉;伊藤洋樹(v[1, 2, 3, 4]) || junyainoue;yok(v[5, 6])
bunka-jinruigyagu	文化人類ぎゃぐ	2	相原コージ(v[1]) || 相原コ-ジ(v[1])
busu-nante-iwanaide	ブスなんて言わないで	2	トアルアラ子(v[1, 2, 3, 4, 5]) || トアルアラ子1983-(v[6])
byakuda-no-hanamuko	白蛇のはなむこ	2	ヨシダモロヘ(v[1]) || 吉田モロヘ(v[2, 3])
c-live	C-live	2	内田美奈子(v[2]) || 大野安之(v[5])
calamity-lost	カラミティ・ロスト	2	瀬上アキラ(v[1]) || ]瀬上アキラ(v[2])
camera-hajimetemo-ii-desuka	カメラ、はじめてもいいですか?	2	シロ(v[1, 2, 3, 4, 5, 6]) || シロイラストレーター(v[7])
campari-cider	カンパリ・サイダー	2	小鳥衿クロ(v[1]) || 小鳥袴クロ(v[2])
can-you-do-asachun-with-me-for-save-the-worldsekaiwosukuutamenitsugutotoasachundekimasuka	世界を救うために亜人(わたし)と朝チ	2	音井レコ丸(v[1, 9]) || ]音井レコ丸(v[2, 3, 4, 5, 6, 7])
canaan	CANAAN	2	石堂マユ(v[1]) || チュンソフト;石田アキラ(v[2, 3])
candy-2012	キャンディ	2	ワタナベアジア(v[1]) || 鈴木有布子(v[2])
captain-2	キャプテン2	2	コージィ城倉;チバアキオ(v[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12]) || コージィ城倉1963-(v[11, 15, 16, 
catulus-syndrome	猫娘症候群 (かとるすしんどろーむ)	2	]ネコ太郎(v[1, 4]) || ネコ太郎(v[2, 3, 5, 6])
celluloid-carnival	セルロイドカーニバル	2	大橋薫(v[1]) || 大橋薫(漫画家)(v[1])
champagne-tower-no-mukougawa	シャンパンタワーの向こう側	2	リンコ+(v[1]) || リンコ;三原シラユキ(v[2, 3])
chaneringu-taikenki	チャネリング体験記	2	大和真紀;瀧清流(v[1]) || 滝清流(v[1, 2])
chanto-suenai-kyuuketsuki-chan	ちゃんと吸えない吸血鬼ちゃん	2	]二式恭介(v[1, 2, 3, 4, 5, 6]) || 二式恭介(v[9])
chichi-chichi	チチチチ	2	クール教信者(v[1, 2, 3, 8]) || ]クール教信者(v[4, 5, 6, 7])
chieri-no-koi-wa-8-meetoru	ちえりの恋は8メートル	2	ミトガワワタル(v[1, 2, 3, 4]) || 三途河ワタル(v[6])
chou-chou-chou-daimahoutouge	超・超・超・大魔法峠	2	大和田秀樹(漫画家)(v[1, 2, 3]) || 大和田秀樹(v[4])
chou-chou-dai-mahou-touge	超・超・大魔法峠	2	大和田秀樹(漫画家)(v[1, 2, 3]) || 大和田秀樹(v[4])
chou-dai-mahou-touge	超大魔法峠	2	大和田秀樹(漫画家)(v[1, 2, 3]) || 大和田秀樹(v[4])
chou-ten-chan	超てんちゃん!	2	wssplayground(v[2]) || ワイソーシリアス(v[3])
choukadou-girls	超可動ガールズ	2	oyster(v[1, 2]) || öyster(v[3, 4, 5, 6, 7, 8])
choukou-sennin-haruka	超昂閃忍ハルカ	2	missblack;アリスソ(v[1]) || alicesoft;ポンコツ(v[2, 3, 4])
chuugoku-no-tsubo	中国の壺	2	川原泉(v[1]) || 川原泉(漫画家)(v[1])
cinderella-2004	シンデレラ	2	村崎百郎;森園ミルク(v[1]) || 寺館和子(v[1])
cinderella-girls-gekijou	シンデレラガールズ劇場	2	バンダイナムコゲームス(v[1]) || バンダイナムコエンターテイン(v[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12])
cinema-complex	シネマこんぷれっくす!	2	ビリー(v[1, 2, 3]) || ]ビリー(v[4, 5, 6])
colors-2001	Colors	2	説話社;麻生歩(v[1, 2, 3]) || 啄木鳥シンキ(v[4])
combination	Combination	2	clamp(v[1, 2]) || 聖リイザ(v[3, 4, 5, 6])
comic-2-2-samurai-survivor	コミック戦国無双2 サムライサバイバ	2	光栄(v[1, 2, 3, 4, 5]) || コーエー出版部(v[6, 7])
