isbn	month	title	author	publisher	type	integrate_to	method	holes	verified	status
9784301004622	2026-4	侯爵家のいたって平和ないつもの食卓 : 堅物侯爵は後	ももよ万葉		型3_新規	新規ページ	一致なし	kana[調べる:NDL題読み] / genre/tag[作る:caption→AI] / synopsis[作る:caption→AI要約] / slug[作る:kana→規則]	-	要fill(埋めれば出せる)
9784301004264	2026-4	皇帝陛下のお世話係 : 女官暮らしが幸せすぎて後宮か	柊一葉		型3_新規	新規ページ	題一致だが別社ガード	kana[調べる:NDL題読み] / genre/tag[作る:caption→AI] / synopsis[作る:caption→AI要約] / slug[作る:kana→規則]	-	要fill(埋めれば出せる)
9784823610325	2026-4	こーびしようよ	かいづか 著		型3_新規	新規ページ	一致なし	書影[調べる:楽天/Amazon] / kana[調べる:NDL題読み] / genre/tag[調べる:caption無→楽天再取得or手動] / synopsis[作る:caption無→保留] / slug[作る:kana→規則]	-	要fill(埋めれば出せる)
9784047385610	2026-4	黒巫鏡談. 3	戸川四餡 著		型1_統合	sid166338:黒巫鏡談(1巻)	完全題一致	-	-	ship
9784301004394	2026-4	ここは俺に任せて先に行けと言ってから10年がたったら	えぞぎんぎつね 原作		型3_新規	新規ページ	一致なし	kana[調べる:NDL題読み] / genre/tag[作る:caption→AI] / synopsis[作る:caption→AI要約] / slug[作る:kana→規則]	-	要fill(埋めれば出せる)
9784098545452	2026-4	国境のエミーリャ = ПОГРАНИЧНИЦА ЗМ	池田邦彦 著		型3_新規	新規ページ	一致なし	kana[調べる:NDL題読み] / genre/tag[作る:caption→AI] / synopsis[作る:caption→AI要約] / slug[作る:kana→規則]	-	要fill(埋めれば出せる)
9784801989443	2026-4	今年注目のエースちゃん. 3	ゔぇじたぶる		型1_統合	sid147466:今年注目のエースちゃん(2巻)	完全題一致	-	-	ship
9784801989368	2026-4	小鳥ライダーは都会で暮らしたい : モフモフな相棒と	凱子包 漫画		型3_新規	新規ページ	一致なし	kana[調べる:NDL題読み] / genre/tag[作る:caption→AI] / synopsis[作る:caption→AI要約] / slug[作る:kana→規則]	-	要fill(埋めれば出せる)
9784823610264	2026-4	子供には見せられない童話集	高代硝石 著		型3_新規	新規ページ	一致なし	書影[調べる:楽天/Amazon] / kana[調べる:NDL題読み] / genre/tag[調べる:caption無→楽天再取得or手動] / synopsis[作る:caption無→保留] / slug[作る:kana→規則]	-	要fill(埋めれば出せる)
9784046600608	2026-4	このハナシ、つづきは墓場で。	ぼめそ 著		型3_新規	新規ページ	一致なし	kana[調べる:NDL題読み] / genre/tag[作る:caption→AI] / synopsis[作る:caption→AI要約] / slug[作る:kana→規則]	-	要fill(埋めれば出せる)
9784845871049	2026-4	コミック艶. Vol. 44			型2/3_新規	新規ページ	一致なし	kana[調べる:NDL題読み] / genre/tag[調べる:caption無→楽天再取得or手動] / synopsis[作る:caption無→保留] / slug[作る:kana→規則]	-	要fill(埋めれば出せる)
9784821111770	2026-4	コミック名探偵浅見光彦. Vol. 5	内田康夫 原作		型3_新規	新規ページ	一致なし	書影[調べる:楽天/Amazon] / kana[調べる:NDL題読み] / genre/tag[調べる:caption無→楽天再取得or手動] / synopsis[作る:caption無→保留] / slug[作る:kana→規則]	-	要fill(埋めれば出せる)
9784344857353	2026-4	今度は絶対に邪魔しませんっ! 6	空谷玲奈 原作		型1_統合	sid89385:今度は絶対に邪魔しませんっ!(5巻)	最長一致	-	-	ship
9784785981693	2026-4	婚約者様には運命のヒロインが現れますが、暫定婚約ライ	星見うさぎ 原作		型3_新規	新規ページ	一致なし	kana[調べる:NDL題読み] / genre/tag[作る:caption→AI] / synopsis[作る:caption→AI要約] / slug[作る:kana→規則]	-	要fill(埋めれば出せる)
9784065425824	2026-4	婚約破棄されたりされなかったりですが、不幸令嬢になり	紀ノこっぱ [ほか] 原作		型3_新規	新規ページ	一致なし	kana[調べる:NDL題読み] / genre/tag[作る:caption→AI] / synopsis[作る:caption→AI要約] / slug[作る:kana→規則]	-	要fill(埋めれば出せる)
9784301004561	2026-4	合コンに行ったら女がいなかった話. 11	蒼川なな 著		型1_統合	sid92804:合コンに行ったら女がいなかった話(9巻)	完全題一致	-	-	ship
9784098734290	2026-4	極上!!めちゃモテ委員長外伝めちゃモテ委員長だった私	にしむらともこ 著		型3_新規	新規ページ	一致なし	kana[調べる:NDL題読み] / genre/tag[作る:caption→AI] / synopsis[作る:caption→AI要約] / slug[作る:kana→規則]	-	要fill(埋めれば出せる)
9784253012799	2026-4	ごくじょし : 極道、女子小学生になる. 1	木村光博 著		型3_新規	新規ページ	一致なし	kana[調べる:NDL題読み] / genre/tag[作る:caption→AI] / synopsis[作る:caption→AI要約] / slug[作る:kana→規則]	-	要fill(埋めれば出せる)
