isbn13	date	publisher	series	volume	title	kana	creators	creators_roled	creators_auth
9784866905570	[2021]	マイウェイ出版		Vol.1	劇画ハーレム. Vol.1	ゲキガハーレム			
9784758017121	2021.1	一迅社	ベビードール×comics		公爵様は私の体に飢えている。 : アンソロジー	コウシャクサマワワタクシノカラダニウエテイル。:アンソロジー			
9784843360507	2021.3.	日本マンガ学会			コロナ禍でマンガ/マンガ研究ができること	コロナカデマンガ/マンガケンキュウガデキルコト	日本マンガ学会	日本マンガ学会編集:	
9784107724199	2021.9	新潮社		8	極主夫道 8	ゴクシュフドウ	おおの, こうすけ	おおのこうすけ著:	
9784835457901	2021.1	復刊ドットコム	漫画原稿再生叢書extra	地下帝国&quot;ヨミ&quot;編	サイボーグ009. 地下帝国&quot;ヨミ&quot;編	サイボーグ009	石ノ森, 章太郎, 1938-1998	石ノ森章太郎:著	石ノ森, 章太郎, 1938-1998|00180762|イシノモリ, ショウタロウ, 1938-1998
9784091990693	2021.4	小学館			THE GENGA ART OF“The Haunted Castle”	ザゲンガアートオブザホーンテッドキャッスル	藤子・F・不二雄/藤子・F・不二雄プロ/川崎市藤子・F・不二雄ミュージアム	藤子・F・不二雄:著/藤子プロ 監修・協力:/川崎市藤子・F・不二雄ミュージアム 監修・協力:	
9784798623832	2021.1	ホビージャパン			自然なしぐさイラストポーズ集 : 自然体のキャラクターがすぐ描ける	シゼンナシグサポーズシュウ:シゼンタイノキャラクターガスグエガケル			
9784065234174	2021.6	講談社		34	進撃の巨人 = Attack on titan 34	シンゲキノキョジン	諫山, 創	諫山創著:	
9784768314210	2021.1	玄光社			新谷かおるARTWORKS : 戦闘機から美少女まで	シンタニカオルアートワークス:セントウキカラビショウジョマデ	新谷, かおる, 1951-	新谷かおる:著	新谷, かおる, 1951-|00120080|シンタニ, カオル, 1951-
9784774789118	2021.1	コスミック出版	COSMIC MOOK		呪術廻戦 : 不倶戴天呪術戦役	ジュジュツカイセン:フグタイテンジュジュツセンエキ			
9784758022095	2021.2	一迅社	IDコミックス. DNAメディアコミックス	Vol. 3	アークナイツコミックアンソロジー. Vol. 3	アークナイツコミックアンソロジー			
9784065223970	2021.2	講談社	KCDX	宇宙・月ミッション編	宇宙兄弟公式コミックガイド. 宇宙・月ミッション編	ウチュウキョウダイコウシキコミックガイド	講談社	小山宙哉:原作/講談社:編	講談社|00258003|コウダンシャ
9784785968458	2021.2	少年画報社	Comic ; 897. ぐる漫	No. 56 (駅そば&amp;牛丼編)	思い出食堂. No. 56 (駅そば&amp;牛丼編)	オモイデショクドウ			
9784821127405	2021.2	ぶんか社	Bunkasha comics	Vol. 22	俺流!絶品めし. Vol. 22	オレリュウ!ゼッピンメシ			
9784799751367	2021.2	リブレ	ビボピーコミックス		君と、はじめて : hatsu H anthology	キミト、ハジメテ:hatsuHanthology			
9784088825670	2021.2	集英社	ジャンプコミックス	2	鬼滅の刃公式ファンブック鬼殺隊見聞録. 2	キメツノヤイバコウシキファンブックキサツタイケンブンロク	吾峠, 呼世晴	吾峠呼世晴:著	吾峠, 呼世晴|001234347|ゴトウゲ, コヨハル
9784087925876	2021.2	集英社			『鬼滅の刃』吾峠呼世晴画集-幾星霜-	キメツノヤイバゴトウゲコヨハルガシュウイクセイソウ	吾峠, 呼世晴	吾峠呼世晴:著	吾峠, 呼世晴|001234347|ゴトウゲ, コヨハル
9784774518916	2021.2	現代書林			「鬼滅の刃」に学ぶ : なぜ、コロナ禍の中で大ヒットしたのか	キメツノヤイバニマナブ:ナゼコロナカノナカデダイヒットシタノカ	一条, 真也, 1963-	一条真也:著	一条, 真也, 1963-|00178077|イチジョウ, シンヤ, 1963-
9784845863679	2021.2	リイド社	パーフェクト・メモワール	Vol. 13	コミック艶. Vol. 13	コミックエン			
9784821127498	2021.2	ぶんか社	Bunkasha comics	Vol. 27	ごはん日和. Vol. 27	ゴハンビヨリ			
9784845635825	2021.2	立東舎			ザ・少女マンガ!忠津陽子の世界 : ラブコメディのスペシャリスト	ザショウジョマンガタダツヨウコノセカイ:ラブコメディノスペシャリスト	図書の家	図書の家 編集:	図書の家|001230551|トショ ノ イエ
9784758035866	2021.3	一迅社	IDコミックス. Zero-sum comics	4	悪役令嬢ですが、幸せになってみせますわ! : アンソロジーコミック. 4	アクヤクレイジョウデスガ、シアワセニナッテミセマスワ!:アンソロジーコミック			
9784779643194	2021.3	三栄	サンエイムック. 大解剖ベストシリーズ		あしたのジョー大解剖	アシタノジョーダイカイボウ			
