slug	title	detail
blood-alone	BLOOD ALONE	
blood-c	BLOOD-C	
blood-fire	BLOOD FIRE	
blood-lines	Blood Lines	
blood-parade	BLOOD PARADE	
blood-rain	BLOOD RAIN	
blood-rose	Blood Rose	
blood-the-last-vampire-2000	Blood The last vampire 2000	
blood	BLOOD+	
bloody-heaven	Bloody heaven	
bloody-junkie	BLOODY JUNKIE	
bloody-kiss-yagami-2011	Bloody kiss	
bloody-maiden	BLOODY MAIDEN	
bloody-mary-kishi-2003	Bloody Mary	
bloody-moon	Bloody moon	
bloom	Bloom	
blooms-screaming-kiss-me-kiss-me-kiss-me	BLOOMS SCREAMING KISS ME KISS ME KISS ME	
blossoms-2007	Blossoms	
blossoms	blossoms	
blow-up-1999	BLOW UP!!	
blow-up	Blow up!	
blt	BLT	
blue-1991	blue	
blue-2006	BLUE	
blue-2008	Blue	
blue-blood-2000	Blue blood	
blue-blood	Blue blood	
blue-dot	BLUE DOT	
blue-dragon-st	BLUE DRAGON ST	
blue-drawing	Blue Drawing	
blue-drop	BLUE DROP	
blue-edge	Blue edge	
blue-fight	BLUE FIGHT	
blue-forest	Blue forest	
blue-giant-explorer	BLUE GIANT EXPLORER	
blue-giant-momentum	BLUE GIANT MOMENTUM	
blue-giant-supreme	BLUE GIANT SUPREME	
blue-giant	BLUE GIANT	
blue-heaven	Blue Heaven	
blue-lust	Blue Lust	
blue-moment	BLUE MOMENT	
blue-moon-blue	BLUE MOON, BLUE	
blue-moon	Blue Moon	
blue-nananan-2020	Blue	
blue-nest	BLUE NEST	
blue-sakisaka-2006	BLUE	
blue-sky	Blue sky	
blue-wars	BLUE WARS	
blue	BLUE	
blues-2005	Blues	
blush-dc	/Blush-DC	
bna	BNA	
body-girl	Body girl	
body-killer	Body-killer!	
body-shooting	BODY Shooting	
body-talk	BODY TALK	
body	BODY	
boing	Boing	
bolts-and-nuts-prologue	BOLTS AND NUTS!Prologue	
bomber-girl	Bomber girl	
bon	Bon	
bone-crusher	Bone crusher	
boo-boo	Boo Boo	
boom-town	Boom town	
border-45cm	Border 45cm	
border-kotegawa-2014	BORDER	
born-2-die	BORN 2 DIE	
boruto	BORUTO	
boss	Boss	
bounty-hunter	BOUNTY HUNTER	
bounty-sword-double-edge	BOUNTY SWORD DOUBLE EDGE	
bounty-sword	Bounty sword	
bounty-xxx	Bounty XXX	
bowing	Bowing!	
box-1991	BOX	
box-2015	BOX!	
box-rokuda-2002	Box	
boxer-s-blast	BOXER's BLAST	
boxer	BOXER	
boy-meets-girl-girl-meets-boy	boy meets girl girl meets boy	
boy-meets-girl	Boy meets girl	
boy	BOY	
boys-in-heaven	BOYS IN HEAVEN	
boys-kingdom	Boys' kingdom	
boys-life-kojima-1997	Boys life	
boys-love-tachibana-2007	BOYS LOVE	
boys-love	Boys Love	
boys-n-girl	Boys'n girl	
boys-of-summer	BOYS OF SUMMER	
boys-of-the-dead	BOYS OF THE DEAD	
boys	Boys	
bozebeats	BOZEBEATS	
bq-cooking	BQ cooking!	
brain-powerd	BRAIN POWERD	
brains-1997	BRAINS	
bran-new	Bran-new	
brave-10	BRAVE 10	
brave-bell	BRAVE BELL	
brave10s	BRAVE10S	
break-back	BREAK BACK	
break-free	BREAK FREE	
break-the-border	BREAK THE BORDER	
breath-1999	BREATH	
breath	breath	
brind	BRIND	
bronze	Bronze	
brother-2010	BROTHER	
brother	Brother	
brothers-conflict-feat-natsume	BROTHERS CONFLICT feat.Natsume	
brothers	BROTHERS	
btooom-u-18	Btooom! U-18	
btooom	BTOOOM!	
bub	BUB	
bud-boy	BUD BOY	
buddies	Buddies	
buddy-antique	BUDDY ANTIQUE	
buddy-cat	BUDDY CAT	
bugdebugbug	Bugdebugbug	
bugs-land	BUGS LAND	
bugs	BUGS	
bugsy	Bugsy	
build-king	BUILD KING	
bullet-armors	BULLET ARMORS	
bullet-ballet-bad-girls	BULLET BALLET BAD GIRLS	
bullets	Bullets	
bun-bun-bee	BUN BUN BEE	
bungo-unreal	BUNGO-unreal-	
bungo	BUNGO	
buraiden	BURAIDEN	
buraiken	Buraiken	
burn-the-witch	BURN THE WITCH	
burning-blood	Burning blood	
bus-gamer	Bus gamer	
buster-dress	BUSTER DRESS	
buster-keel	BUSTER KEEL!	
butaman	Butaman	
butter	BUTTER!!!	
buyo-buyo	BUYO BUYO	
buyuden	BUYUDEN	
buzzer-beater	BUZZER BEATER	
bw	BW	
bwh	BWH	
bx	BX	
c-2011	C-	
c-blossom	C-blossom	
c-live	C-live	
c-m-b	C.M.B.	
c-sword-and-cornett	+ C sword and cornett	
c-v	C.V.	
c	C	
c0de-breaker	C0DE:BREAKER	
cafe	cafe	
calendar-film	Calendar film	
call-my-name	CALL MY NAME	
calling	Calling	
canaan	CANAAN	
candy-cigarettes	CANDY & CIGARETTES	
candy-pop-nightmare	CANDY POP NIGHTMARE	
candy-samurai-wars	Candy samurai wars!	
candy	Candy	
canis	Canis	
canon-1995	CANON	
canvas2	Canvas2	
capeta	capeta	
captain-red	CAPTAIN RED	
carmine	CARMINE	
cash-boy	CASH BOY	
cat-s-paw	cat's-paw	
cat-s-world	CAT'S WORLD	
cat-shit-one-80	Cat shit one'80	
cat-shit-one-jp	Cat Shit One JP	
cat-walk	CAT WALK	
caution	Caution!	
cgh	CGH!	
challenge-up	Challenge Up!	
change-2018	Change!	
change-hashiba-2000	Change!	
change-r	CHANGE-R	
change-the-world-chiyoda-2025	CHANGE THE WORLD	
change-up-2022	CHANGE UP!!	
chaos-child	Chaos;Child	
charger-500	Charger 500	
charlotte	Charlotte	
charm-the-cat	Charm the cat	
charming	Charming	
charon	CHARON	
check	Check!!	
cheer-up	Cheer up!	
cheers	Cheers!	
cheese	Cheese	
cherish-boy	CHERISH BOY	
