slug	title	authors	nvol	pubgrps	yearspan	cm104_editions
silver-diamond	SILVER DIAMOND	杉浦志保	27	864,887	2003-2012	0
slime-taoshite-300-nen-shiranai-uchi-ni-level-max-ni-nattemashita	スライム倒して300年、知らないうちにレベルmaxになってました	シバユウスケ	17	301,757	2018-2025	0
sodateko	ソダテコ	宇仁田ゆみ	3	801,812	2010-2016	0
soil	Soil	カネコアツシ	11	047,757	2004-2011	0
sonna-yatsua-inee	そんな奴ァいねえ!!	駒井悠	15	061,063	1995-2009	0
sono-keisatsukan-tokidoki-yajuu	その警察官、ときどき野獣!	虎井シグマ	10	758,775	2020-2026	0
sono-onna-jiruba	その女、ジルバ	有間しのぶ	5	091,098	2013-2018	0
sora-no-otoshimono	そらのおとしもの	水無月すう	20	041,047	2007-2014	0
soredemo-ore-no-mono-ni-naru	それでも俺のものになる	いけがみ小5	4	041,801	2016-2022	0
sorejaa-yoshida-kun	それじゃあ吉田くん!	よしむらなつき	4	861,901	2003-2010	0
soubou-no-daichi-horobu	蒼茫の大地、滅ぶ	田辺節雄	3	253,418	1985-2003	0
souboutei-kowasubeshi	双亡亭壊すべし	藤田和日郎	25	091,098	2016-2021	0
souda-baikoku-shiyou-tensai-ouji-no-akaji-kokka-saiseijutsu	そうだ、売国しよう	えむだ	17	301,757	2020-2026	0
sougihime	葬儀姫	もとなおこ	3	593,596	2012-2018	0
soukyuu-boys	送球ボーイズ	サカズキ九	25	091,098	2016-2022	0
soukyuu-no-ariadne	蒼穹のアリアドネ	八木教広	22	091,098	2018-2023	0
soukyuu-no-fafunaa	蒼穹のファフナー	松下朋未	9	063,065	2015-2021	0
soushi-souai	そうしそうあい	りべるむ	15	040,046	2016-2023	0
sousou-no-furiiren	葬送のフリーレン	アベツカサ	15	098,099	2020-2025	0
souten-no-ken-regenesis	蒼天の拳リジェネシス	辻秀輝	6	199,867	2018-2025	0
soutennenshoku-baka-kyoudai	総天然色バカ姉弟	安達哲	5	063,065	2016-2023	0
sparrow-s-hotel	スパロウズホテル	山東ユカ	16	801,812	2010-2026	0
spectreman	スペクトルマン	一峰大二	7	048,253	1999-2018	0
ssb	SSB	慎本真	10	593,866	2013-2018	0
starting-gate	STARTING GATE!	桂イチホ	6	065,098	2017-2022	0
sugawa-maki-no-kyoufu-gakkou-densetsu	栖川マキの恐怖学校伝説	栖川マキ	4	091,098	2011-2021	0
sunabouzu	砂ぼうず	うすね正俊	22	047,757	1997-2020	0
super-lovers	SUPER LOVERS	あべ美幸	20	041,048	2010-2025	0
super-robot-taisen-oojii-ji-insupekutaa-record-obu-eeteiiekkusu-bad-beat-bankaa	スーパーロボット大戦OG-ジ・インスペクター-Record of ATX BAD BEAT BUNKER	八房龍之助	11	048,049	2016-2026	0
suugaku-joshi	数学女子	山口悠	5	801,812	2010-2015	0
suzumiya-haruhi-chan-no-yuuutsu	涼宮ハルヒちゃんの憂鬱	ぷよ	12	041,047	2008-2019	0
suzumiya-haruhi-no-yuuutsu	涼宮ハルヒの憂鬱	ツガノガク	20	041,047	2004-2013	0
sword-art-online-alternative-gun-gale-online	ソードアート・オンラインオルタナティブ ガンゲイル・オンライン	たもりただぢ	4	048,049	2016-2021	0
sword-art-online-girls-ops	ソードアート・オンラインガールズ・オプス	猫猫猫	8	048,049	2014-2021	0
sword-art-online-phantom-bullet	ソードアート・オンライン ファントム・バレット	山田孝太郎	4	048,049	2014-2022	0
sword-oratoria	ソード・オラトリア	矢樹貴	33	301,757	2014-2026	0
taa-tan	たーたん	西炯子	7	091,098	2016-2024	0
tableau-gate	タブロウ・ゲート	鈴木理華	26	048,253	2001-2022	0
taboo-tattoo	タブー・タトゥー	真じろう	13	040,840	2010-2017	0
taekwondoer-park	テコンダー朴	山戸大輔	9	792,866	2017-2023	0
taiari-deshita	対ありでした。	江島絵理	9	040,046	2020-2025	0
taihou-to-stamp	大砲とスタンプ	速水螺旋人	9	063,065	2011-2021	0
tajuu-jinkaku-tantei-psycho	多重人格探偵サイコ	田島昭宇	24	041,047	1997-2016	0
takako-san	タカコさん	新久千映	6	199,867	2016-2021	0
takarakuji-de-40-oku-atattandakedo-isekai-ni-ijuu-suru	宝くじで40億当たったんだけど異世界に移住する	FLOWERCHILD	19	040,046	2017-2026	0
takasugi-san-chi-no-obentou	高杉さん家のおべんとう	柳原望	10	040,840	2010-2015	0
takiyashahime-onmyouji-ezoushi	瀧夜叉姫	伊藤勢	8	040,046	2020-2026	0
tanuki-to-kitsune	タヌキとキツネ	アタモト	9	861,866	2016-2023	0
tasuuketsu	多数欠	宮川大河	6	867,896	2015-2020	0
tate-no-yuusha-no-nariagari	盾の勇者の成り上がり	あいやーぼーる	28	040,046	2014-2025	0
tayama-yukinori-pachipuro-nikki	田山幸憲パチプロ日記	伊賀和洋	4	862,893	1996-2010	0
teihen-suit-cheat-madoushi-ni-tenshoku-suru	底辺戦士、チート魔導師に転職する!	たしろたくや	12	301,757	2020-2026	0
tejina-senpai	手品先輩	ささのゆゆすけ	8	063,065	2016-2021	0
tengai-retrogical	天外レトロジカル	浅野りん	7	861,901	2002-2007	0
tenkuu-shoujo-kishidan	天空少女騎士団	松田未来	3	802,863	2010-2015	0
tenohira-kaitakumura-de-isekai-kenkokuki	てのひら開拓村で異世界建国記	サカガキ	10	040,046	2018-2025	0
tensei-kenja-no-isekai-life	転生賢者の異世界ライフ	彭傑	30	301,757	2018-2026	0
tensei-majo-wa-horobi-o-tsugeru	転生魔女は滅びを告げる	柴宮幸	9	040,046	2019-2026	0
tensei-reijou-wa-boukensha-o-kokorozasu	転生令嬢は冒険者を志す	櫻太助	6	040,046	2020-2026	0
tensei-reijou-wa-seirei-ni-aisarete-saikyou-desu	転生令嬢は精霊に愛されて最強です……だけど普通に恋したい!@comic	はなpub. 2021	6	866,867	2021-2026	0
tensei-shitara-slime-datta-ken	転生したらスライムだった件	川上泰樹	31	063,065	2015-2026	0
tensei-shite-inaka-de-slow-life-o-okuritai	転生して田舎でスローライフをおくりたい	小杉繭	14	299,800	2017-2025	0
tetsu-bon	テツぼん	永松潔	41	091,098	2010-2026	0
tetsunaki-no-kirinji	鉄鳴きの麒麟児 歌舞伎町制圧編	ウヒョ助	11	801,812	2012-2018	0
the-fable	ザ・ファブル	南勝久	22	063,065	2015-2020	0
the-idolm-ster-million-live-blooming-clover	アイドルマスターミリオンライブ!Blooming Clover	稲山覚也	16	048,049	2017-2024	0
the-rapeman	THE レイプマン	みやわき心太郎	13	845,883	1986-1999	0
time-slip-otagirl	タイムスリップオタガール	佐々木陽子	8	593,866	2017-2022	0
toaru-hi-no-kuru	とある日のクル	竹本泉	4	056,864	2009-2021	0
toaru-kagaku-no-accelerator	とある科学の一方通行	鎌池和馬	12	048,049	2014-2020	0
toaru-majutsu-no-index	とある魔術の禁書目録	近木野中哉	32	301,757	2007-2026	0
todenka	とでんか	樹生ナト	7	041,048	2009-2014	0
togainu-no-chi	咎狗の血	茶屋町勝呂	10	047,757	2006-2013	0
tokachi-hitoribocchi-nouen	十勝ひとりぼっち農園	横山裕二	18	091,098	2019-2026	0
tokusatsu-gagaga	トクサツガガガ	丹羽庭	20	091,098	2014-2020	0
tokyo-aliens	東京エイリアンズ	NAOE	12	301,757	2020-2026	0
tokyo-esp	東京ESP	瀬川はじめ	16	041,047	2010-2016	0
tokyo-nyuusei-kanrikyoku	東京入星管理局	窓口基	5	814,823	2019-2026	0
tokyo-ravens	東京レイヴンズ	鈴見敦	15	041,047	2010-2017	0
tokyo-revengers	東京卍リベンジャーズ	和久井健	31	063,065	2017-2023	0
tokyo-under-ground	東京アンダーグラウンド	有楽彰展	14	757,870	1998-2005	0
tomodachi-game	トモダチゲーム	佐藤友生	25	063,065	2014-2024	0
tomodachi-no-imouto-ga-ore-ni-dake-uzai	友達の妹が俺にだけウザい	(unknown)	10	301,757	2020-2025	0
tonari-no-kyuuketsuki-san	となりの吸血鬼さん	甘党	8	040,046	2015-2021	0
tonari-no-onee-san-to-himitsu-no	隣のオネエさんと秘密の	九重千花	4	861,867	2017-2023	0
tonari-no-seki-kun	となりの関くん	森繁拓真	10	040,840	2011-2017	0
tondemo-skill-de-isekai-hourou-meshi-sui-no-daibouken	とんでもスキルで異世界放浪メシ スイの大冒険	綿桐さや	8	824,865	2019-2024	0
tondemo-skill-de-isekai-houroumeshi	とんでもスキルで異世界放浪メシ	赤岸K	11	824,865	2017-2025	0
tongari-boushi-no-atelier	とんがり帽子のアトリエ	白浜鴎	15	063,065	2017-2025	0
tonikaku-kawaii	トニカクカワイイ	畑健二郎	35	091,098	2018-2026	0
tono-to-isshokenmei	殿といっしょ	大羽快	11	040,840	2007-2017	0
toppuu-gp	トップウGP	藤島康介	16	063,065	2016-2026	0
torikae-baya	とりかえ・ばや	さいとうちほ	13	091,098	2013-2018	0
torimania	トリマニア	久世岳	6	592,757	2016-2023	0
toripan	とりぱん	とりのなん子	35	063,065	2006-2025	0
toritsu-mizushou2	都立水商!2	猪熊しのぶ	8	091,098	2012-2018	0
toroketemo-ii-desuka	トロけてもいいですか?	瓜生花子	8	091,098	2018-2024	0
totsugeki-papparatai	突撃!パッパラ隊	松沢夏樹	18	757,870	1992-2000	0
totsuon	とつおん!	永田まりあ	6	801,812	2013-2023	0
tou-no-kanri-o-shitemiyou	塔の管理をしてみよう	ぷにちゃん/えかきびと/リスノ	28	040,046	2018-2026	0
toujima-tanzaburou-wa-kamen-rider-ni-naritai	東島丹三郎は仮面ライダーになりたい	柴田ヨクサル	16	864,868	2018-2025	0
toumei-na-yurikago	透明なゆりかご	沖田×華	9	063,065	2015-2021	0
trace	トレース	古賀慶	13	199,867	2016-2023	0
triage-x	トリアージX	佐藤ショウジ	30	040,047	2009-2025	0
trinity-7-shichinin-no-masho-tsukai	トリニティセブン 7人の魔書使い	奈央晃徳	18	040,047	2011-2018	0
tsubasa-kun-wa-akanuketai-noni	翼くんはあかぬけたいのに	小花オト	14	091,098	2017-2024	0
tsugi-wa-sasetene	次はさせてね	榎木りか	11	048,049	2016-2022	0
tsuihousareta-sareta-bannou-mahou-kenshi-wa-koujo-denka-no-shishou-to-naru-comic	追放された万能魔法剣士は、皇女殿下の師匠となる@COMIC	鳴原千	5	866,867	2021-2026	0
tsuihousha-shokudou-e-youkoso	追放者食堂へようこそ!	つむみ	10	824,865	2020-2025	0
tsuki-ni-hoerannee	月に吠えらんねえ	清家雪子	11	063,065	2014-2019	0
tsuki-no-sango	月の珊瑚	佐々木少年	2	063,065	2014-2019	0
tsuki-tsuki	つきツキ!	柴嶺タカシ	7	040,840	2011-2016	0
tsukiatte-agetemo-iikana	付き合ってあげてもいいかな	たみふる	14	091,098	2019-2025	0
tsumi-to-batsu	罪と罰	岩下博美	4	107,418	1996-2013	0
tsuribaka-nisshi	釣りバカ日誌	北見けんいち	117	091,098	1980-2025	0
tsuyoshi	TSUYOSHI	丸山恭右/麦子	29	091,098	2019-2026	0
twin-signal	ツインシグナル	大清水さち	19	757,870	1993-2002	0
u-31	U-31	吉原基貴	3	062,063	2003-2008	0
uchi-no-3-neko	うちの3ねこ	松本ぷりっつ	6	801,812	2013-2023	0
uchi-no-neko-ga-mata-hen-na-koto-shiteru	うちの猫がまた変なことしてる。	卵山玉子	7	040,046	2016-2023	0
uchi-no-toko-dewa	うちのトコでは	もぐら	6	864,870	2010-2019	0
uchi-no-tsukaima-ga-sumimasen	ウチの使い魔がすみません	櫓刃鉄火	11	063,065	2016-2022	0
uchi-wa-oppeke	うちはおっぺけ	松本ぷりっつ	10	801,812	2012-2025	0
ultra-heaven	ウルトラヘヴン	小池桂一	3	047,757	2002-2009	0
ultra-seven-1978	ウルトラセブン	一峰大二	4	257,775	1978-2004	0
ultraman-2012	ULTRAMAN	下口智裕/清水栄一	21	864,868	2012-2025	0
ultraman-choutoushi-gekiden	ウルトラマン超闘士激伝	栗原仁	8	063,253	1993-2016	0
umehara	ウメハラ	格 折笠/ケンゴロー 西出/マキ 友井	8	041,569	2013-2018	0
uq-holder	UQ HOLDER!	赤松健	28	063,065	2013-2022	0
uragiri-wa-boku-no-namae-o-shitteiru	裏切りは僕の名前を知っている	小田切ほたる	13	041,048	2006-2017	0
urasekai-picnic	裏世界ピクニック	水野英多	15	301,757	2018-2025	0
urin-ranse-o-kakeru	羽林、乱世を翔る	藤科遥市	5	866,867	2021-2026	0
uruha-no-sekai-de-arisugawa	麗の世界で有栖川	安西信行	10	091,098	2018-2025	0
usagi-wa-seigi	うさぎは正義	井口病院	13	861,866	2016-2023	0
usagi	兎	伊藤誠	17	801,812	1997-2017	0
usotsuki-na-hatsukoi-ouji-sama-wa-doesu-host	嘘つきな初恋～王子様はドSホスト～	鈴井アラタ	8	091,098	2017-2024	0
vampire-hunter-d	バンパイアハンターD	鷹木骰子	8	040,840	2007-2014	0
vassalord	Vassalord.	黒乃奈々絵	7	800,861	2006-2013	0
violence-action	バイオレンスアクション	浅井蓮次	7	091,098	2017-2022	0
vs-lupin	VSルパン	さいとうちほ	7	091,098	2014-2023	0
wagamama-diy	わがままDIY	ざら	3	295,844	2011-2018	0
wagaya-no-oinari-sama	我が家のお稲荷さま。	松風水蓮	11	048,840	2008-2013	0
wakakozake	ワカコ酒	新久千映	26	199,867	2013-2026	0
wakuwaku-working	わくわくワーキング	おーはしるい	13	801,812	2003-2019	0
wanagirl	罠ガール	緑山のぶひろ	9	048,049	2017-2024	0
watashi-dake-ga-shitte-iru	わたしだけが知っている	チョコドーナツ/野原のん	2	061,865	1994-2025	0
