label_slug	label_title	label_author	誤ISBN	他在数	真題	真著	真作slug(既存)	空化	計画
saihate-no-kimi-e	最果ての君へ	ミナミ遥	1	0	ふしだらな脚本（シナリオ）	鹿住槇		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
sandman-1998	SANDMAN	サムキース;ニールゲイマン;マイクド	1	0	サンドマン（3）	クリスバチャロ			CREATE_NEW(真作をDBに新規作成して保全)
sangokushi-sou-sou-den	三国志曹操伝	影丸穣也	1	0	三國志曹操伝	影丸譲也		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
satsui-no-soko	殺意の底	竹宮惠子	1	0	竹宮恵子SF短篇集（3）	竹宮恵子		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
sayonara-ganpeki-sensei	さよなら!!岸壁先生	一文字鈴;小池一夫	1	0	さよなら岩壁先生（5）	石綿周一			CREATE_NEW(真作をDBに新規作成して保全)
sega-no-game-wa-sekaiichiiii	セガのゲームは世界いちぃぃぃ!	吉松孝博	1	0	ドリドリキャス子さん	サムシング吉松			CREATE_NEW(真作をDBに新規作成して保全)
seihaseyo-sekai-saikouhou-race	制覇せよ世界最高峰レース	横山アキラ	1	0	プロジェクトX挑戦者たち（〔12〕）	日本放送協会		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
shikei-shikkounin-blue	死刑執行人ブルー	倉科遼	1	0	列刑執行人・ブルー	司敬		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
shinreijoumonogatari	真・隷嬢物語	woody-rinn	1	0	新・隷嬢物語	森林リンゴ		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
shisaku-nansensu-senshuu	思索ナンセンス選集	久里洋二	1	0	佐々木マキのナンセンス世界	佐々木マキ			CREATE_NEW(真作をDBに新規作成して保全)
shuunen-ga-unda-shinkansen	執念が生んだ新幹線	六田登	1	0	プロジェクトX挑戦者たち（〔2〕）〔	日本放送協会		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
snow-2006	SNOW	村上モトカ	1	1	スノウ	藤谷コマキ		空	DELETE(全て他作に在り=消すだけ) +RE_ISBN(ラベル本物要)
soccer-boy	サッカーボーイ	大武ユキ	1	0	SOCCER　BOY	柴田文明		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
speace-ship-ee	Speace ship EE	タカノ綾	1	0	Space　ship　EE	高野綾		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
street-fighter-tsuu-bui-rendetsu	ストリートファイターⅡ V列伝	馬場康誌	1	0	ストリートファイター2V烈伝	馬場康士			CREATE_NEW(真作をDBに新規作成して保全)
supeshiyaru-banguutara-mama	スペシャル版 ぐうたらママ	古谷三敏	1	0	てっちゃんのつばさ	上野紀子;中江嘉男		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
tange-sazen	丹下左膳	伊藤隆夫;林不忘;湖玉次吉	1	0	手塚治虫漫画全集（68）	手塚治虫			CREATE_NEW(真作をDBに新規作成して保全)
tenma-no-sora	天馬の空	倉科遼	1	0	鬼が疾る	北森鴻;智中天			CREATE_NEW(真作をDBに新規作成して保全)
the-next-generation	The NEXT GENERATION	麻宮騎亜	1	0	ザ　ネクストジェネレーション	菊池通隆		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
third-street	サードストリート	須本壮一	1	0	3rd-street（1）	本ソウイチ		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
tokiwasou-seishun-monogatari	トキワ荘青春物語	手塚治虫	1	0	アイヌ語イラスト辞典	横山孝雄;知里高央		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
tokyo-tower-koibito-tachi-no-tatakai	東京タワー恋人たちの戦い	菊池トシヲ;門脇正法	1	0	プロジェクトX挑戦者たち（〔11〕）	日本放送協会		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
tomo-no-shi-o-koete	友の死を越えて	高岩ヨシヒロ	1	0	プロジェクトX挑戦者たち（〔28〕）	日本放送協会		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
tsubasa-wa-yomigaetta	翼はよみがえった	大石ケンイチ;石川森彦	1	0	プロジェクトX挑戦者たち（〔7〕）	日本放送協会		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
tsuppari-seito-to-nakimushi-sensei	ツッパリ生徒と泣き虫先生	六田登	1	0	プロジェクトX挑戦者たち（〔4〕）	日本放送協会		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
ude-to-dokyou-no-torakkubin	腕と度胸のトラック便	ハヤセ淳	1	0	プロジェクトX挑戦者たち（〔10〕）	日本放送協会		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
uesugi-kenshin	上杉謙信	岡村賢二	1	0	ゴルゴ13	サイトウタカヲ	golgo-13		MOVE→golgo-13(真作既存)
valkyrie-profile	VALKYRIE PROFILE	藍山恵	1	0	ヴァルキリープロファイル（2）	土方悠			CREATE_NEW(真作をDBに新規作成して保全)
wahhahha-sports-news	ワッハッハスポーツニュース	ヤクミツル	1	0	ワッハハスポーツニュース（1）	ハタ山ハッチ		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
with-2000	ウィズ	真柴ヒロミ	1	0	With（ウィズ）-きみといっしょに	翼多翔			CREATE_NEW(真作をDBに新規作成して保全)
yorozuya-kagyou-tadaima-seigyouchuu	よろず屋稼業只今盛業中	霧嶋珠生	1	0	よろずや稼業只今盛業中（1）	霧島珠樹			CREATE_NEW(真作をDBに新規作成して保全)
younenki-abe-seimei-ibun-mimei-no-kemono	幼年期安倍清明異聞未明の獣	稲荷家房之介	1	0	幼年期安倍晴明異聞未明の獣	九条友淀		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
yume-no-rootarii-engine-tanjou	夢のロータリーエンジン誕生	広井テツオ;石上耕平	1	0	プロジェクトX挑戦者たち（〔6〕）	日本放送協会		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
