title	kana_slug	v2_slug	new_slug	type	changed	flag
「雑魚には鍛冶がお似合いだwww」と言われた鍛冶レベル9999の俺、追放されたので冒険者に転職する	zako-niwa-kaji-ga-oniai-da-to-iwareta-kaji-reberu-kyusen-kyuhyaku-kyujukyu-no-ore-tsuiho-sareta-node-bokensha-ni-tenshoku-suru	zako-niwa-kaji-ga-oniai-da-to-iwareta-kaji-reberu-kyusen-kyuhyaku-kyujukyu-no-ore-tsuiho-sareta-node-bokensha-ni-tenshoku-suru	zako-niwa-kaji-ga-oniai-da-to-iwareta-kaji-reberu-kyusen-kyuhyaku-kyujukyu-no-ore-tsuiho-sareta-node-bokensha-ni-tenshoku-suru	latin-mixed		latin混じり(別処理)
新世紀エヴァンゲリオン鋼鉄のガールフレンド2nd4コママンガ劇場	shinseiki-evangerion-kotetsu-no-gaarufurendo-sekando-yonkoma-manga-gekijo	shinseiki-evangerion-kotetsu-no-gaarufurendo-sekando-yonkoma-manga-gekijo	shinseiki-evangerion-kotetsu-no-gaarufurendo-sekando-yonkoma-manga-gekijo	latin-mixed		latin混じり(別処理)
99回断罪されたループ令嬢ですが今世は「超絶愛されモード」ですって!?	kyujukyukai-danzai-sareta-rupu-reijo-desuga-konse-wa-chozetsu-aisare-modo-desutte	kyujukyukai-danzai-sareta-rupu-reijo-desuga-konse-wa-chozetsu-aisare-modo-desutte	99-kai-danzai-sareta-rupu-reijo-desuga-konse-wa-chozetsu-aisare-modo-desutte	音読み→数字(先頭分割)	CHANGED	
つくねちゃん + 30	tsukune-chan-30	tsukune-chan-30	tsukunechan-30	訓読み/当て字 or sandhi	CHANGED	数字の読みがtoken分割と不一致(sandhi等)→要確認
133cmの景色	hyakusanju-san-senchi-no-keshiki	hyakusanju-san-senchi-no-keshiki	hyakusanju-san-senchi-no-keshiki	latin-mixed		latin混じり(別処理)
異世界クラス召喚されたらR1〇のスキルを獲得したので、〇りたい放題させてもらいます!	isekai-kurasu-shokan-saretara-aaru-juhachi-no-sukiru-wo-kakutoku-shita-node-yaritai-hodai-sasete-moraimasu	isekai-kurasu-shokan-saretara-aaru-juhachi-no-sukiru-wo-kakutoku-shita-node-yaritai-hodai-sasete-moraimasu	isekai-kurasu-shokan-saretara-aaru-juhachi-no-sukiru-wo-kakutoku-shita-node-yaritai-hodai-sasete-moraimasu	latin-mixed		latin混じり(別処理)
ファイナルファンタジー14ララフェル先生の教えてやるよ!	fainaru-fantajii-foteiin-raraferu-sensei-no-oshiete-yaruyo	fainaru-fantajii-foteiin-raraferu-sensei-no-oshiete-yaruyo	fainaru-fantajii-14-raraferu-sensei-no-oshiete-yaruyo	英語読み付随→数字	CHANGED	
LV999の村人	reberu-kyuhyakukyujukyu-no-murabito	reberu-kyuhyakukyujukyu-no-murabito	reberu-kyuhyakukyujukyu-no-murabito	latin-mixed		latin混じり(別処理)
わたしの知らない、先輩の100コのこと	watashi-no-shiranai-senpai-no-hyakko-no-koto	watashi-no-shiranai-senpai-no-hyakko-no-koto	watashi-no-shiranai-senpai-no-100-ko-no-koto	音読み→数字(先頭分割)	CHANGED	
ロマンスは剣の輝き2	romansu-wa-ken-no-kagayaki-tsu	romansu-wa-ken-no-kagayaki-tsu	romansu-wa-ken-no-kagayaki-2	英語読み付随→数字	CHANGED	
インフィニティ8	infinitei-eito	infinitei-eito	infinitei-8	英語読み付随→数字	CHANGED	
機動戦士ガンダムF90クラスター	kido-senshi-gandamu-efu-kyuju-kurasutaa	kido-senshi-gandamu-efu-kyuju-kurasutaa	kido-senshi-gandamu-efu-kyuju-kurasutaa	latin-mixed		latin混じり(別処理)
D4DJ-4コマmix!-	diifo-diijiee-yonkoma-mikkusu	diifo-diijiee-yonkoma-mikkusu	diifo-diijiee-yonkoma-mikkusu	latin-mixed		latin混じり(別処理)
探偵オペラミルキィホームズ2	tantei-opera-mirukii-homuzu-tsu	tantei-opera-mirukii-homuzu-tsu	tantei-opera-mirukii-homuzu-2	英語読み付随→数字	CHANGED	
PSO2ニュージェネシスせんとらるっ!	piiesuotsu-nyu-jieneshisu-sentoraru	piiesuotsu-nyu-jieneshisu-sentoraru	piiesuotsu-nyu-jieneshisu-sentoraru	latin-mixed		latin混じり(別処理)
アイドル声優★上村とまり17歳	aidoru-seiyu-kamimura-tomari-17sai	aidoru-seiyu-kamimura-tomari-17sai	aidoru-seiyu-kamimura-tomari-17sai	訓読み/当て字 or sandhi		数字の読みがtoken分割と不一致(sandhi等)→要確認
異世界帰りのアラフォーリーマン、17歳の頃に戻って無双する	isekai-gaeri-no-arafo-riiman-junanasai-no-koro-ni-modotte-muso-suru	isekai-gaeri-no-arafo-riiman-junanasai-no-koro-ni-modotte-muso-suru	isekai-gaeri-no-arafo-riiman-17-sai-no-koro-ni-modotte-muso-suru	音読み→数字(先頭分割)	CHANGED	
異世界帰りのアラフォーリーマン、17歳の頃に戻って無双する	isekai-gaeri-no-arafo-riiman-junanasai-no-koro-ni-modotte-muso-suru	isekai-gaeri-no-arafo-riiman-junanasai-no-koro-ni-modotte-muso-suru	isekai-gaeri-no-arafo-riiman-17-sai-no-koro-ni-modotte-muso-suru	音読み→数字(先頭分割)	CHANGED	
もっと!えっちは週7希望ですっ!	motto-etchi-wa-shu-nana-kibo-desu	motto-etchi-wa-shu-nana-kibo-desu	motto-etchi-wa-shu-7-kibo-desu	音読み→数字	CHANGED	
100人めのスマーフ	hyakuninme-no-sumaafu	hyakuninme-no-sumaafu	100-ninme-no-sumaafu	音読み→数字(先頭分割)	CHANGED	
10年間身体(からだ)を乗っ取られ悪女になっていた私に、二度と顔を見せるなと婚約破棄してきた騎士様が今日も縋ってくる	junenkan-karada-wo-nottorare-akujo-ni-natte-ita-watashi-ni-nido-to-kao-wo-miseru-na-to-konyaku-haki-shitekita-kishi-sama-ga-kyo-mo-sugatte-kuru	junenkan-karada-wo-nottorare-akujo-ni-natte-ita-watashi-ni-nido-to-kao-wo-miseru-na-to-konyaku-haki-shitekita-kishi-sama-ga-kyo-mo-sugatte-kuru	10-nenkan-karada-wo-nottorare-akujo-ni-natte-ita-watashi-ni-nido-to-kao-wo-miseru-na-to-konyaku-haki-shitekita-kishisama-ga-kyo-mo-sugatte-kuru	音読み→数字(先頭分割)	CHANGED	
1億1千万のわたし	ichioku-issenman-no-watashi	ichioku-issenman-no-watashi	1-oku-issenman-no-watashi	音読み→数字(先頭分割)	CHANGED	
7つのマーブル	nanatsu-no-maaburu	nanatsu-no-maaburu	nanatsu-no-maaburu	訓読み/当て字 or sandhi		数字の読みがtoken分割と不一致(sandhi等)→要確認
狂四郎2030	kyoshiro-2030	kyoshiro-2030	kyoshiro-2030	訓読み/当て字 or sandhi		数字の読みがtoken分割と不一致(sandhi等)→要確認
