slug	title	title_kana	romaji(kana)	slug一致度	flag
azufareo-no-sobayounin	蒼竜(アズファレオ)の側用人	アズファレオノソバヨウニン|蒼竜の側用人	azufuareonosobayouninno	1.0	漢字残
basara-2592	「少年忍者バサラくん」芙蓉姫退屈記	少年忍者バサラ君芙蓉姫退屈記	basara	1.0	漢字残
basara-3001	戦国群笑伝少年忍者バサラくん	少年忍者バサラ君戦国群笑伝	basara	1.0	漢字残
black-clover-esudii-asuta-kun-mahoutei-e-no-michi	ブラッククローバーSDアスタくん魔法帝への道	アスタくん登場!|ブラッククローバーエスディーアスタクンマホウテイエノミチ	asutakunburakukurobaesudeiasutakunmahouteienomichi	1.0	漢字残
boku-no-hero-academia-chiimuappu-mission	僕のヒーローアカデミアチームアップミッション	ボクノヒーローアカデミアチームアップミッション|始まれ新制度	bokunohiroakademiachimuapumishonmare	1.0	漢字残
bokura-no-ketsumei	ぼくらの血盟	ボクラノケツメイ|血盟の兄弟	bokuranoketsumeino	1.0	漢字残
buru	死刑執行人ブル	列刑執行人・ブルー	buru	1.0	漢字残
chikyuu-no-ko	地球の子	チキュウノコ|君は地球、僕は月	chikyuunokohaha	1.0	漢字残
chin-piece	CHIN PIECE	OCHINKODON!-冒険の夜明け?-|チンピース	ochinkodonnokechinpisu	1.0	漢字残
d-no-gorugota	Dの十字架(ゴルゴタ)	DaVinci'sGolgothaDの十字架|ディーノゴルゴタ	davincisgolgothadnodeinogorugota	1.0	漢字残
dai-tokyo-oniyome-den	大東京鬼嫁伝	ダイトウキョウオニヨメデン|鬼嫁顕る	daitoukyouoniyomedenru	1.0	漢字残
dobe-to-nora	ドベとノラ	ドベトノラ|犬が結んだご縁	dobetonoragandago	1.0	漢字残
doridorikyasusan	ドリドリキャス子さん	ドリドリキャス子サン	doridorikyasusan	1.0	漢字残
doron-dororon	ドロンドロロン	ドロンドロロン|侍とモノノケ	dorondororontomononoke	1.0	漢字残
dotabata-henachoko-tanteidan	どたばたへなちょこ探偵団	ドタバタヘナチョコタンテイダン|超特急からきえたブラウン	dotabatahenachokotanteidankarakietaburaun	1.0	漢字残
douyara-watashi-no-karada-wa-kanzen-muteki-no-you-desu-ne	どうやら私の身体(からだ)は完全無敵のようですね	どうやら私の身体は完全無敵のようですね|ドウヤラワタシノカラダワカンゼンムテキノヨウデスネ	douyaranohanoyoudesunedouyarawatashinokaradawakanzenmutekinoyoudesune	1.0	漢字残
esudii-komando-senki	SDコマンド戦記	エスディーコマンドセンキ|ガンダムフォース編	esudeikomandosenkigandamufuosu	1.0	漢字残
fueaueino	フェアウエイの侍	フェアウエイノ侍	fueaueino	1.0	漢字残
fushidarana	ふしだらな脚本	フシダラナ脚本	fushidarana	1.0	漢字残
futari-nara-dokoedemo	夫婦ならどこへでも	フタリナラドコエデモ|夫婦(ふたり)ならどこへでも	futarinaradokoedemofutarinaradokohedemo	1.0	漢字残
garu	天馬の空	鬼ガ疾ル	garu	1.0	漢字残
gifuu-doudou-kaze-no-gunshi-kuroda-kanbei	義風堂々!!疾風 (かぜ) の軍師黒田官兵衛	ギフウドウドウ!!カゼノグンシクロダカンベエ|義風堂々!!疾風の軍師黒田官兵衛	gifuudoudoukazenogunshikurodakanbeeno	1.0	漢字残
goze-hotaru	ごぜほたる	ゴゼホタル|玻璃にさす音	gozehotarunisasu	1.0	漢字残
hitokowa	人怖	ヒトコワ|日常に隠された原初の恐怖	hitokowanisaretano	1.0	漢字残
hitozuma-no-kuchibiru-wa-kan-chuuhai-no-aji-ga-shite	人妻の唇は缶チューハイの味がして	ヒトズマノクチビルワカンチューハイノアジガシテ|夏香るギャルと叔母	hitozumanokuchibiruwakanchuhainoajigashiterugyaruto	1.0	漢字残
hontou-ni-atta-chibi-waraeru-hanashi	本当にあったちび笑える話	ちび本当にあった笑える話|ホントウニアッタチビワラエルハナシ	chibiniataeruhontouniatachibiwaraeruhanashi	1.0	漢字残
ichigooki-soujuuchuu	イチゴーキ!操縦中	イチゴーキソウジュウチュウ|イチゴーキ!操縦中	ichigokisoujuuchuuichigoki	1.0	漢字残
ichinoseke-no-taizai	一ノ瀬家の大罪	イチノセケノタイザイ|一ノ瀬家の復活	ichinosekenotaizainono	1.0	漢字残
indulgence-hotel	Indulgence hotel	Indulgencehotel=タンデキホテル|耽溺ホテル	indulgencehoteltandekihoteruhoteru	1.0	漢字残
iyorimosetsunakute	思い出よりもせつなくて	想イ出ヨリモセツナクテ	iyorimosetsunakute	1.0	漢字残
jun-waidan	純猥談	ジュンワイダン|一度寝ただけの女になりたくなかった	junwaidantadakenoninaritakunakata	1.0	漢字残
kaara	カーラ	アナタとワタシだけの誰にも言えないヒミツ|カーラ	anatatowatashidakenonimoenaihimitsukara	1.0	漢字残
kaiki-kuukan-zozozozoon	怪奇空間ゾゾゾゾーン	カイキクウカンゾゾゾゾーン|表と裏の風紀委員	kaikikuukanzozozozontono	1.0	漢字残
kanarinokanata	遙かなり夢のかなた	遙カナリ夢ノカナタ	kanarinokanata	1.0	漢字残
katei-kyoushi-hitman-reborn-chaos-destiny	家庭教師ヒットマンreborn!カオスデスティニー	カテキョーヒットマンリボーン!カオスデスティニー|家庭教師(かてきょー)ヒットマンreborn!カオスデスティニー	katekyohitomanribonkaosudesuteinikatekyohitomanrebornkaosudesuteini	1.0	漢字残
kaze-densetsu-bukkomi-no-taku-after-dikeido	疾風(かぜ)伝説特攻(ぶっこみ)の拓～AfterDecade～	カゼデンセツブッコミノタクアフターデケイド|疾風伝説特攻の拓～AfterDecade～	kazedensetsubukominotakuafutadekeidonoafterdecade	1.0	漢字残
kimetsu-gakuen	キメツ学園!	キメツガクエン|キメツ学園は遅刻厳禁	kimetsugakuenkimetsuha	1.0	漢字残
kimi-no-sumire	きみの春花	きみの春花(すみれ)|キミノスミレ	kiminosumirekiminosumire	1.0	漢字残
kimi-o-shinasenai-tame-no-storia	きみを死なせないための物語(ストーリア)	きみを死なせないための物語|キミオシナセナイタメノストーリア	kimionasenaitamenokimioshinasenaitamenosutoria	1.0	漢字残
koisuru-asteroid	恋する小惑星	コイスルアステロイド|恋する小惑星(アステロイド)	koisuruasuteroidosuruasuteroido	1.0	漢字残
koisuru-wan-piisu	恋するワンピース	LOVEROMANCE-恋の幕開け-|コイスルワンピース	loveromancenokekoisuruwanpisu	1.0	漢字残
kousha-no-sora-dewa-akuma-ga-waratte-iru	校舎の天(そら)では悪魔が嗤っている	L'angedemoniaquevitencieldel'ecole校舎の天では悪魔が嗤っている|コウシャノソラデワアクマガワラッテイル	langedemoniaquevitencieldelecolenodehagateirukoushanosoradewaakumagawarateiru	1.0	漢字残
kumauchi-no-samurai	羆撃ちのサムライ	クマウチノサムライ|羆(クマ)撃ちのサムライ	kumauchinosamuraikumachinosamurai	1.0	漢字残
like-the-beast	Like the beast	Likethebeast=ホントヤジュウ|ほんと野獣	likethebeasthontoyajuuhonto	1.0	漢字残
magajin-1888	少年マガジン大全集復刻版	少年マガジン大全集復刻版	magajin	1.0	漢字残
magajin	少年マガジン大全集復刻版	少年マガジン大全集復刻版	magajin	1.0	漢字残
maid-in-akatsuka-fujio	メイドイン赤塚不二夫	メイドインアカツカフジオ|六つ子	meidoinakatsukafujiotsu	1.0	漢字残
makinonansensu	佐々木マキのナンセンサス世界	佐々木マキノナンセンス世界	makinonansensu	1.0	漢字残
mama-yuuyuu	魔々勇々	ママユウユウ|決意の朝に	mamayuuyuunoni	1.0	漢字残
mamore-shugomaru	守れ!しゅごまる	さなぎを守れ!しゅごまる|マモレシュゴマル	sanagioreshugomarumamoreshugomaru	1.0	漢字残
manga	マンガ三國志	マンガ三國志)	manga	1.0	漢字残
mangaka-shinagara-tsuaa-nurse-shite-imasu	漫画家しながらツアーナースしています。	こどもの病気別役立ちセレクション|マンガカシナガラツアーナースシテイマス	kodomonochiserekushonmangakashinagaratsuanasushiteimasu	1.0	漢字残
marugoshi-deka-super-collection	まるごし刑事スーパーコレクション	まるごし刑事(デカ)スーパーコレクション|マルゴシデカスーパーコレクション	marugoshidekasupakorekushonmarugoshidekasupakorekushon	1.0	漢字残
mata-no-okoshi-o-suzune-2018	来世(また)のお越しを!	マタノオコシオ|来世のお越しを!	matanookoshionooshio	1.0	漢字残
meitantei-conan-zero-no-teiitaimu	名探偵コナンゼロの日常(ティータイム)	DetectiveCONANZERO'sTeaTime名探偵コナンゼロの日常|メイタンテイコナンゼロノティータイム	detectiveconanzerosteatimekonanzeronomeitanteikonanzeronoteitaimu	1.0	漢字残
mina-sama-no-omocha-desu	皆様の玩具(オモチャ)です	ミナサマノオモチャデス|皆様の玩具です	minasamanoomochadesunodesu	1.0	漢字残
mokutekichi-ni-touchaku-shimashita	目的地に到着しました。	サービスエリアニトウチャクシマシタ。|目的地(サービスエリア)に到着しました	sabisuerianitouchakushimashitasabisuerianishimashita	1.0	漢字残
momiji-no-kisetsu	紅葉の棋節	モミジノキセツ|桜散り紅葉舞う	momijinokisetsuriu	1.0	漢字残
mue48	Mue48時間	Mue48時間	mue48	1.0	漢字残
musume-to-yakiniku	義娘と焼肉	ムスメトヤキニク|義娘(むすめ)と焼肉	musumetoyakinikumusumeto	1.0	漢字残
niikyonshikun	你好キョンシーくん	ニイ好キョンシークン	niikyonshikun	1.0	漢字残
ninpu-to-kuiiji	にんぷとくいいじ	ニンプトクイイジ|妊婦と食い意地	ninputokuiijitoi	1.0	漢字残
nodarutanyan	風のダルタニヤン	風ノダルタニャン	nodarutanyan	1.0	漢字残
ooban-sangokushi	大判三国志	オオバンサンゴクシ|出師の表	oobansangokushino	1.0	漢字残
purojiekutoxtachi-0044	海底3000メートルの大捜索	プロジェクトX挑戦者タチ	purojiekutoxtachi	1.0	漢字残
purojiekutoxtachi-0204	富士山レーダー巨大台風から日本を守れ	プロジェクトX挑戦者タチ	purojiekutoxtachi	1.0	漢字残
purojiekutoxtachi-0266	救命救急ER誕生	プロジェクトX挑戦者タチ	purojiekutoxtachi	1.0	漢字残
purojiekutoxtachi-0983	日本初のハイウエー勝負は天王山	プロジェクトX挑戦者タチ	purojiekutoxtachi	1.0	漢字残
purojiekutoxtachi-0990	魔の山大遭難決死の救出劇	プロジェクトX挑戦者タチ	purojiekutoxtachi	1.0	漢字残
purojiekutoxtachi-1027	友の死を越えて	プロジェクトX挑戦者タチ	purojiekutoxtachi	1.0	漢字残
purojiekutoxtachi-8394	ツッパリ生徒と泣き虫先生	プロジェクトX挑戦者タチ	purojiekutoxtachi	1.0	漢字残
purojiekutoxtachi-8424	82億食の奇跡	プロジェクトX挑戦者タチ	purojiekutoxtachi	1.0	漢字残
purojiekutoxtachi-8431	夢のロータリーエンジン誕生	プロジェクトX挑戦者タチ	purojiekutoxtachi	1.0	漢字残
purojiekutoxtachi-8455	翼はよみがえった	プロジェクトX挑戦者タチ	purojiekutoxtachi	1.0	漢字残
purojiekutoxtachi-8462	炎上男たちは飛び込んだ	プロジェクトX挑戦者タチ	purojiekutoxtachi	1.0	漢字残
purojiekutoxtachi-8509	腕と度胸のトラック便	プロジェクトX挑戦者タチ	purojiekutoxtachi	1.0	漢字残
purojiekutoxtachi-8592	東京タワー恋人たちの戦い	プロジェクトX挑戦者タチ	purojiekutoxtachi	1.0	漢字残
purojiekutoxtachi-8684	制覇せよ世界最高峰レース	プロジェクトX挑戦者タチ	purojiekutoxtachi	1.0	漢字残
purojiekutoxtachi-8769	厳冬黒四ダムに挑む	プロジェクトX挑戦者タチ	purojiekutoxtachi	1.0	漢字残
purojiekutoxtachi-8875	男たち不屈のドラマ瀬戸大橋	プロジェクトX挑戦者タチ	purojiekutoxtachi	1.0	漢字残
purojiekutoxtachi	8ミリの悪魔vs特命班	プロジェクトX挑戦者タチ	purojiekutoxtachi	1.0	漢字残
purojiekutoxtachi2	執念が生んだ新幹線	プロジェクトX挑戦者タチ〔第2版〕	purojiekutoxtachi2	1.0	漢字残
raiano	ライアー〜嘘の箱庭〜	ライアー〜嘘ノ箱庭〜	raiano	1.0	漢字残
ribonmanga-5227	7枚のポートレート	リボン新人マンガ傑作集	ribonmanga	1.0	漢字残
ribonmanga	虹を渡る7人	リボン新人マンガ傑作集	ribonmanga	1.0	漢字残
rikudou-no-onnatachi	六道の悪女(おんな)たち	ロクドウノオンナタチ|六道の悪女たち	rokudounoonnatachinotachi	1.0	漢字残
rinjin-o-maiseyo	隣人を妹 (まい) せよ!	リンジンオマイセヨ!|隣人を妹せよ!	rinjinomaiseyooseyo	1.0	漢字残
rokudenashi-majutsu-koushi-to-akashic-record	ロクでなし魔術講師と禁忌教典(アカシックレコード)	ロクでなし魔術講師と禁忌教典|ロクデナシマジュツコウシトアカシックレコード	rokudenashitorokudenashimajutsukoushitoakashikurekodo	1.0	漢字残
ruirui-senki	累々戦記	ルイルイセンキ|累成る影	ruiruisenkiru	1.0	漢字残
sanshimai-ga-ore-o-yuuwaku-shitekuru	三姉妹が俺をユウワクしてくる!!	ヒノエンマガオレオユウワクシテクル!!|三姉妹(ヒノエンマ)が俺をユウワクしてくる!!	hinoenmagaoreoyuuwakushitekuruhinoenmagaoyuuwakushitekuru	1.0	漢字残
sasayananae-3186	真貴子	ササヤナナエ作品集	sasayananae	1.0	漢字残
sasayananae	あほんだら	ササヤナナエ作品集	sasayananae	1.0	漢字残
sayonara	さよなら!!岸壁先生	サヨナラ岩壁先生	sayonara	1.0	漢字残
seiketsu-no-kemono	聖血の海獣(けもの)	セイケツノケモノ|聖血の海獣	seiketsunokemonono	1.0	漢字残
sekkyaku-musou	接客無双	その男、ナスノスケ|セッキャクムソウ	sononasunosukesekyakumusou	1.0	漢字残
sensei-to-watashi-takahashi-2019	師匠(せんせい)と弟子(わたし)	センセイトワタシ|師匠と弟子	senseitowatashito	1.0	漢字残
shachiku-diiteiipii-opereetaa-no-boku-ga-isekai-de-gijutsu-kakushin-shitemo-ii-desu-ka	社畜DTPオペレーターの僕が異世界で技術革新してもいいですか?	シャチクDTPオペレーターノボクガイセカイデイノベーションシテモイイデスカ?|社畜DTPオペレーターの僕が異世界で技術革新(イノベーション)してもいいですか?	shachikudtpoperetanobokugaisekaideinobeshonshitemoiidesukadtpoperetanogadeinobeshonshitemoiidesuka	1.0	漢字残
shinderera	シンデレラ特急	シンデレラ特急	shinderera	1.0	漢字残
shirubesutanokara	シルベスターの星から	シルベスターノ星カラ	shirubesutanokara	1.0	漢字残
sora-meshi	宇宙(そら)めし!	ソラメシ|宇宙めし!	sorameshimeshi	1.0	漢字残
sora-yorimo-tooi-basho	宇宙(そら)よりも遠い場所	ソラヨリモトオイバショ|宇宙よりも遠い場所	sorayorimotooibashoyorimoi	1.0	漢字残
sraifu	望'sらいふ	望’sライフ	sraifu	1.0	漢字残
sugomori-hontou-ni-atta-nama-koko-dake-no-hanashi-kiwami-ultra	スゴ盛!本当にあった(生)ここだけの話極 (ウルトラ)	スゴモリ!ホントウニアッタマルナマココダケノハナシウルトラ|スゴ盛!本当にあった(生)ここだけの話極	sugomorihontouniatamarunamakokodakenohanashiurutorasugoniatakokodakeno	1.0	漢字残
supesharu	餓狼伝説スペシャル	餓狼伝説スペシャル	supesharu	1.0	漢字残
sutoritofuaita2v	ストリートファイターII V列伝	ストリートファイター2V烈伝	sutoritofuaita2v	1.0	漢字残
tada-no-mefure-desu	ただの飯フレです	ただの飯フレ(メフレ)です|タダノメフレデス	tadanofuremefuredesutadanomefuredesu	1.0	漢字残
tanin-ni-wa-mienai-oryouri-no-sensei	他人には見えないお料理の先生	ヒトニワミエナイオリョウリノセンセイ|他人(ひと)には見えないお料理の先生	hitoniwamienaioryourinosenseihitonihaenaiono	1.0	漢字残
tesouka-michiru	手相家MICHIRU	テソウカミチル|旅立ち編	tesoukamichiruchi	1.0	漢字残
toaru-kagaku-no-railgun-toarumajutsunokinshomokurokugaiden	とある科学の超電磁砲(レールガン)	とある科学の超電磁砲|トアルカガクノレールガン	toarunotoarukagakunorerugan	1.0	漢字残
toaru-majutsu-no-baacharon	とある魔術の電脳戦機(バーチャロン)	とある魔術の電脳戦機|トアルマジュツノバーチャロン	toarunotoarumajutsunobacharon	1.0	漢字残
tokkyuu-tansakushi-e-no-kakusei	特級探索師への覚醒	トッキュウタンサクシエノカクセイ|鬼と成るもの	tokyuutansakushienokakuseitorumono	1.0	漢字残
tokyo-toyboxes	Tokyo toyboxes	Tokyotoyboxes=トウキョウトイボクシーズ|東京トイボクシーズ	tokyotoyboxestoukyoutoibokushizutoibokushizu	1.0	漢字残
tomodachi-ga-watashi-o-wakarase-ni-kuru-node-shouri-no-megami-no-chikara-o-karite-kocchi-mo	友達が私を理解らせにくるので勝利の女神の力を借りてこっちも理解らせにいきます。	メスガキガワタクシオワカラセニクルノデメスガキノチカラオカリテコッチモワカラセニイキマス。|友達(メスガキ)が私を理解(わか)らせにくるので勝利の女神(メスガキ)の力を借りてこっちも理解(わか)らせにいきます。	mesugakigawatakushiowakarasenikurunodemesugakinochikaraokaritekochimowakaraseniikimasumesugakigaowakarasenikurunodenomesugakinooritekochimowakaraseniikimasu	1.0	漢字残
tonotatakai	豊臣秀吉と天下統一のたたかい	豊臣秀吉ト天下統一ノタタカイ	tonotatakai	1.0	漢字残
uchi-no-kore-ga-kore-na-monde	うちの相方(コレ)が腐(コレ)なもんで。	うちの相方が腐なもんで。|ウチノコレガコレナモンデ	uchinoganamondeuchinokoregakorenamonde	1.0	漢字残
uwasa-no-onna	うわさの女	うわさの女(ひと)|ウワサノオンナ	uwasanohitouwasanoonna	1.0	漢字残
wagaya-wa-machi-no-ogamiya-san	わが家は祇園(まち)の拝み屋さん	わが家は祇園の拝み屋さん|ワガヤワマチノオガミヤサン	wagahanomisanwagayawamachinoogamiyasan	1.0	漢字残
wakarase-kyoko-maid-chan	わからせ♥巨娘メイドちゃん	わからせ♥巨娘(デカ)メイドちゃん|ワカラセ♥デカメイドチャン	wakarasedekameidochanwakarasedekameidochan	1.0	漢字残
would-you-suck-my-blood	Would you suck my blood?	Wouldyousuckmyblood?=ボクノチスッテクレマセンカ|僕の血吸ってくれませんか	wouldyousuckmybloodbokunochisutekuremasenkanotekuremasenka	1.0	漢字残
yabamori-hontou-ni-atta-nama-koko-dake-no-hanashi-kiwami-ultra	ヤバ盛!本当にあった(生)ここだけの話極 (ウルトラ)	ヤバモリ!ホントウニアッタマルナマココダケノハナシウルトラ|ヤバ盛!本当にあった(生)ここだけの話極	yabamorihontouniatamarunamakokodakenohanashiurutorayabaniatakokodakeno	1.0	漢字残
yama-to-hawai	山とハワイ	ヤマトハワイ|登れ!世界最大の山ハワイ島篇	yamatohawairenohawai	1.0	漢字残
yamindoru-hikaru-chan	闇んドル☆光ちゃん	ヤンドル☆ヒカリチャン|闇(や)んドル☆光ちゃん	yandoruhikarichanyandoruchan	1.0	漢字残
yatchae-ukita-san	殺っちゃえ!!宇喜多さん	ヤッチャエ!!ウキタサン|殺(や)っちゃえ!!宇喜多さん	yachaeukitasanyachaesan	1.0	漢字残
yorozuya	よろず屋稼業只今盛業中	ヨロズヤ稼業只今盛業中	yorozuya	1.0	漢字残
yuugiou-goorasshu	遊☆戯☆王ゴーラッシュ!!	ユウギオウゴーラッシュ|未知との決闘!?	yuugiougorashutono	1.0	漢字残
yuusha-no-kuzu	勇者のクズ	ユウシャノクズ|レッスン1:厄介事には死んでも関わるな	yuushanokuzuresun1nihandemowaruna	1.0	漢字残
