slug	title	tv	need_synopsis	need_catch	genres	caption
umarekawattemo-yoroshiku	生まれ変わってもよろしく	6	1	1	romance	"何度も生まれ変わり、18回目の人生を生きていた少女・沙織は、駿と出かけた先で事故に遭い命を落としてしまう。「立花遥」として生まれ変わった沙織は、19回目の人生を始めることに──。
突然の雨に降られた遥・駿・香織・信吾は、香織の別荘に宿泊。そこで香織は、遥の言動にある疑問を抱き始める。
そんな中、遥の兄の借金問題が深刻化。取り立てに巻き込まれる遥を守るため、駿は遥が驚くような行動をとる。
遥と駿がそれぞれ互いを守ろうとする一方で、沙織が命を落とすことになった事故には暗い秘密があるようで…!?"
isekai-teni-shite-kyoushi-ni-nattaga-majo-to-osorerarete-iru-ken	異世界転移して教師になったが、魔女と恐れられている件	6	1	1	fantasy,isekai	"ロックスの目に余る傍若無人ぶりに、保護者面談の実施を宣言したアオイは、
ロックスの両親であるヴァーテッド国王・ミドルトン、王妃・レアを学院に呼びつける。

「学院が潰されるのではないか」と教員・生徒問わず騒然とするなか、
ヴァーテッド国王夫妻が400名の近衛騎士団を率いて来校！

ロックスが真面目に学院生活を送っていると思っている夫妻に、
アオイは包み隠さず真実を伝える。

面談の場に次第に不穏な空気が流れはじめ、
夫妻はアオイに""""あること""""を告げる──。"
koutei-no-mago-ni-tensei-suru-koutei	皇帝の孫に転生する皇帝	6	1	1	action,adventure,fantasy	"奴隷から天賦の才で成り上がり、一代で帝国を築き上げた偉大なる皇帝・ティムールは無能な孫たちにより国が滅びることを案じて自らの孫に生まれ変わった！ 12歳の“皇帝の孫”として順調に教養を深めたティムールは許嫁のジーナと共に帝都を飛び出し、成金御用達ルートで“下級官吏”の身分を買い、本当の身分を隠して僻地の村へ繰り出す！
村に蔓延る悪習に、厄介なスライムも登場して──!? 前世の“俺”とはひと味違う！ 成り上がり皇族転生・無双ストーリー!!"
shuumatsu-no-hakoniwa	終末の箱庭	6	1	1	horror	"【鳥肌保証】予測不能の終末世界ホラー開幕 

 ここからあなたが覗くのは、人類終焉最悪のシナリオ。
まともじゃないこの世界で、あなたは正気を保てますか？

遺伝子改良を施した、生まれた時から優秀な才児。
一切の不健全を許さない徹底した教育。
死者の魂を呼び戻す儀式の流行。

利便性のために、管理のために、欲望のために…
生まれてしまったディストピア。

その果てに待つものは、
生きている意味を見失うレベルの恐怖。

予測不能のディストピアホラー。
壮大な終末の物語が始まる。 

 【編集担当からのおすすめ情報】 
 「笑顔の世界」で3300万超PVの伝説的バズを記録した、ホラー界の新星・岬かいり初連載作品待望のコミックス化！！
予想を裏切る圧倒的構成が価値観を揺さぶります。令和最重要ホラーを是非その目でお確かめください！"
hiitoteki-love-dan	非意図的恋愛談	6	1	1	bl,romance	"無事に互いの誤解が解かれ
晴れて恋人関係に戻ったウォニョンとテジュン。
二人はあずきと一緒に同居すると約束して
幸せな暮らしへの期待に胸を膨らませていた。
一方、ウォニョンは会社の同僚から
チョン室長とは関係なく人事部の調査結果によって
自分の復職が決まった事実を知らされる。
最後まで彼に利用されたことを悔しがるウォニョンを前に
テジュンはチョン室長への仕返しを企むが...?"
oyasumi-fumi-san	おやすみふみさん	6	1	1	drama,ecchi,romance	"「良い人でいられるのは、いつまでかな…？」
 
高嶺の花 ”ふみさん” の禁断の誘惑に、
理性崩壊まで試されるーー。
背徳ラブサスペンス、開幕。


春。田舎から上京し、大学生となった凛太は
大学一の美女ふみさんを飲み会帰りに送ることになったのだが…。
豹変した彼女に、強引にベッドに誘われて!?
誘惑と背徳の大学生活が幕を開けるーー。"
cherry-yuusha-to-sei-naru-tsurugi	チェリー勇者とせいなる剣	6	1	1	action,comedy,fantasy,romance	"予想を裏切り、突如として始まった“病”の魔王軍の侵攻。
レリアから聖剣を抜いたチェリオは、街の人々を守るため、
魔物との戦いに身を投じていく。
そんな中、魔王軍に対して並々ならぬ思いを持つロズマリーが遂に本気を出して…!?
ロズマリーの勇ノ力とは…!?
そして、レリアとサランも激闘を繰り広げ…!?
さらに、遂にチェリオがロズマリーから聖剣を…!?
過激さが増すチェリー“エロ”勇者譚 第3巻!!"
joou-no-rakuin	女王の烙印	6	0	1	ecchi,horror,supernatural	不死姫の呪いによって、人喰いの化け物が彷徨う地獄と化してしまった日本。巫女の美琴と自衛官の巽は、禁足の洞窟でついに、全ての元凶・不死姫と対峙する。銃撃すら効かない不死姫の力に圧倒されていたのも束の間、不死姫の使徒となった美琴の兄・由良の凶行に、秘められた美琴の“力”が爆発する…！ さらに絶体絶命の窮地に謎の二人組まで現れて…!? 『鬼獄の夜』の加藤キャシーが放つ、死闘と快楽入り乱れるエロティックホラー！
kaisei-no-ketsumeisha	廻生の血盟者	6	1	1	action,supernatural	"“アンチ・死に戻り”　頭脳アクションバトル 第2巻！

最愛の人を守るため世界最強の英雄を殺し、命を狙われることになったヨハン。
刺客として現れた風の能力を持つ祓魔執行官を578回目のループで倒すことに成功するが、
ヨハンの持つ【死に瀕した際に、過去へと時間を巻き戻す】能力の存在が敵にバレてしまう。

死んだときに時が戻るなら、死なせなければ良いだけの話ーー。

ヨハンは想い人である聖女・グレーテルが捕らわれている聖都の孤城へ潜入するが、
そこで待ち受けていた大祓魔執行官・クライノォトと闘うことになってしまう。
宝石を飛ばし攻撃してくる未知の能力者との戦い……敵の敷くループ対策を、どう破る！？"
isekai-kaeri-no-otsu-san-wa-shuumatsu-sekai-de-musou-suru	異世界還りのおっさんは終末世界で無双する	6	1	1	action,isekai	"織田たち避難民が滞在するデパートに響いた銃声ーーそれが惨劇の始まりだった。豊富な物資を狙って強襲した略奪者たちは明確な悪意をもって殺りくの限りを尽くしていく。防戦一方の織田を救ったアザミはモモの祖父から受け取った日本刀で略奪者を斬り捨てていくが、避難しそこねたカエデに最大のピンチが迫っていて……！？
終末世界での生き方を問う人気の無双アクション第5巻！！"
